BB McCullum,Ishan Kishan,6
Ishan Kishan,BB McCullum,12
SK Raina,Ishan Kishan,1
Ishan Kishan,SK Raina,24
AJ Finch,Ishan Kishan,0
Ishan Kishan,AJ Finch,2
Ishan Kishan,KD Karthik,4
KD Karthik,Ishan Kishan,2
Ishan Kishan,RA Jadeja,6
RA Jadeja,Ishan Kishan,20
RA Jadeja,JP Faulkner,8
JP Faulkner,RA Jadeja,3
IK Pathan,JP Faulkner,2
JP Faulkner,IK Pathan,3
AJ Tye,JP Faulkner,25
JP Faulkner,AJ Tye,15
Basil Thampi,JP Faulkner,0
JP Faulkner,Basil Thampi,0
Ankit Soni,Basil Thampi,7
Basil Thampi,Ankit Soni,2
BB McCullum,AJ Finch,1
AJ Finch,BB McCullum,1
