KS Williamson,Abhishek Sharma,16
Abhishek Sharma,KS Williamson,8
Abhishek Sharma,RA Tripathi,5
RA Tripathi,Abhishek Sharma,4
RA Tripathi,AK Markram,31
AK Markram,RA Tripathi,12
RA Tripathi,N Pooran,9
N Pooran,RA Tripathi,3
N Pooran,Washington Sundar,31
Washington Sundar,N Pooran,16
Washington Sundar,Abdul Samad,0
Abdul Samad,Washington Sundar,0
Washington Sundar,R Shepherd,2
R Shepherd,Washington Sundar,7
R Shepherd,B Kumar,1
B Kumar,R Shepherd,1
R Shepherd,Umran Malik,0
Umran Malik,R Shepherd,1
