D Padikkal,JC Buttler,0
JC Buttler,D Padikkal,28
R Ashwin,JC Buttler,8
JC Buttler,R Ashwin,20
JC Buttler,SV Samson,6
SV Samson,JC Buttler,3
HE van der Dussen,SV Samson,1
SV Samson,HE van der Dussen,8
SO Hetmyer,HE van der Dussen,9
HE van der Dussen,SO Hetmyer,5
SO Hetmyer,R Parag,20
R Parag,SO Hetmyer,5
R Parag,JDS Neesham,13
JDS Neesham,R Parag,9
M Prasidh Krishna,JDS Neesham,1
JDS Neesham,M Prasidh Krishna,8
M Prasidh Krishna,YS Chahal,3
YS Chahal,M Prasidh Krishna,5
M Prasidh Krishna,KR Sen,0
KR Sen,M Prasidh Krishna,0
