Shubman Gill,WP Saha,9
WP Saha,Shubman Gill,8
B Sai Sudharsan,WP Saha,0
WP Saha,B Sai Sudharsan,13
B Sai Sudharsan,HH Pandya,6
HH Pandya,B Sai Sudharsan,1
B Sai Sudharsan,DA Miller,12
DA Miller,B Sai Sudharsan,11
B Sai Sudharsan,R Tewatia,30
R Tewatia,B Sai Sudharsan,11
B Sai Sudharsan,Rashid Khan,0
Rashid Khan,B Sai Sudharsan,0
B Sai Sudharsan,PJ Sangwan,7
PJ Sangwan,B Sai Sudharsan,2
B Sai Sudharsan,LH Ferguson,2
LH Ferguson,B Sai Sudharsan,5
B Sai Sudharsan,AS Joseph,8
AS Joseph,B Sai Sudharsan,4
