F du Plessis,V Kohli,7
V Kohli,F du Plessis,18
F du Plessis,WG Jacks,0
WG Jacks,F du Plessis,8
WG Jacks,RM Patidar,47
RM Patidar,WG Jacks,52
RM Patidar,C Green,0
C Green,RM Patidar,0
C Green,SS Prabhudessai,6
SS Prabhudessai,C Green,6
SS Prabhudessai,MK Lomror,0
MK Lomror,SS Prabhudessai,4
KD Karthik,SS Prabhudessai,13
SS Prabhudessai,KD Karthik,18
KD Karthik,KV Sharma,12
KV Sharma,KD Karthik,2
Mohammed Siraj,KV Sharma,0
KV Sharma,Mohammed Siraj,18
Mohammed Siraj,LH Ferguson,0
LH Ferguson,Mohammed Siraj,1
