J Fraser-McGurk,PP Shaw,1
PP Shaw,J Fraser-McGurk,13
J Fraser-McGurk,Abishek Porel,11
Abishek Porel,J Fraser-McGurk,1
Abishek Porel,SD Hope,1
SD Hope,Abishek Porel,6
Abishek Porel,RR Pant,16
RR Pant,Abishek Porel,14
RR Pant,AR Patel,13
AR Patel,RR Pant,12
AR Patel,T Stubbs,2
T Stubbs,AR Patel,4
AR Patel,Kumar Kushagra,1
Kumar Kushagra,AR Patel,1
Kumar Kushagra,Kuldeep Yadav,0
Kuldeep Yadav,Kumar Kushagra,10
Kuldeep Yadav,Rasikh Salam,14
Rasikh Salam,Kuldeep Yadav,8
Kuldeep Yadav,LB Williams,11
LB Williams,Kuldeep Yadav,1
