JM Bairstow,P Simran Singh,7
P Simran Singh,JM Bairstow,1
P Simran Singh,RR Rossouw,0
RR Rossouw,P Simran Singh,0
Shashank Singh,P Simran Singh,27
P Simran Singh,Shashank Singh,25
SM Curran,P Simran Singh,2
P Simran Singh,SM Curran,4
JM Sharma,SM Curran,0
SM Curran,JM Sharma,1
SM Curran,Ashutosh Sharma,4
Ashutosh Sharma,SM Curran,3
Ashutosh Sharma,Harpreet Brar,0
Harpreet Brar,Ashutosh Sharma,1
Harpreet Brar,HV Patel,0
HV Patel,Harpreet Brar,12
Harpreet Brar,RD Chahar,11
RD Chahar,Harpreet Brar,16
Harpreet Brar,K Rabada,5
K Rabada,Harpreet Brar,11
