AC Gilchrist,TL Suman,28
TL Suman,AC Gilchrist,3
RG Sharma,AC Gilchrist,6
AC Gilchrist,RG Sharma,1
AC Gilchrist,DB Ravi Teja,35
DB Ravi Teja,AC Gilchrist,9
DB Ravi Teja,A Symonds,18
A Symonds,DB Ravi Teja,41
A Symonds,DR Smith,0
DR Smith,A Symonds,1
DR Smith,Y Venugopal Rao,0
Y Venugopal Rao,DR Smith,1
Y Venugopal Rao,WPUJC Vaas,0
WPUJC Vaas,Y Venugopal Rao,4
WPUJC Vaas,RP Singh,0
RP Singh,WPUJC Vaas,0
PP Ojha,WPUJC Vaas,0
WPUJC Vaas,PP Ojha,6
WPUJC Vaas,Shoaib Ahmed,0
Shoaib Ahmed,WPUJC Vaas,0
