M Klinger,BB McCullum,2
BB McCullum,M Klinger,7
PA Patel,BB McCullum,0
BB McCullum,PA Patel,0
PA Patel,DPMD Jayawardene,1
DPMD Jayawardene,PA Patel,11
DPMD Jayawardene,BJ Hodge,7
BJ Hodge,DPMD Jayawardene,14
BJ Hodge,RA Jadeja,13
RA Jadeja,BJ Hodge,14
RA Jadeja,B Akhil,3
B Akhil,RA Jadeja,13
RA Jadeja,R Vinay Kumar,14
R Vinay Kumar,RA Jadeja,11
R Vinay Kumar,RR Powar,0
RR Powar,R Vinay Kumar,0
R Vinay Kumar,S Sreesanth,0
S Sreesanth,R Vinay Kumar,0
R Vinay Kumar,RP Singh,0
RP Singh,R Vinay Kumar,1
