AC Gilchrist,Mandeep Singh,4
Mandeep Singh,AC Gilchrist,10
PC Valthaty,AC Gilchrist,6
AC Gilchrist,PC Valthaty,22
PC Valthaty,DJ Hussey,0
DJ Hussey,PC Valthaty,1
DJ Hussey,PP Chawla,16
PP Chawla,DJ Hussey,23
Gurkeerat Singh,DJ Hussey,11
DJ Hussey,Gurkeerat Singh,5
Azhar Mahmood,Gurkeerat Singh,4
Gurkeerat Singh,Azhar Mahmood,5
MS Gony,Gurkeerat Singh,0
Gurkeerat Singh,MS Gony,1
Gurkeerat Singh,M Vohra,0
M Vohra,Gurkeerat Singh,0
AD Mascarenhas,Gurkeerat Singh,0
Gurkeerat Singh,AD Mascarenhas,0
AD Mascarenhas,P Kumar,5
P Kumar,AD Mascarenhas,3
