SR Watson,AR Patel,1
Vishnu Vinod,AR Patel,1
Vishnu Vinod,Sandeep Sharma,1
AB de Villiers,Sandeep Sharma,23
Vishnu Vinod,MM Sharma,5
AB de Villiers,MM Sharma,27
KM Jadhav,Sandeep Sharma,0
AB de Villiers,VR Aaron,15
KM Jadhav,VR Aaron,1
Mandeep Singh,Sandeep Sharma,0
Mandeep Singh,VR Aaron,3
Mandeep Singh,MM Sharma,3
Mandeep Singh,T Natarajan,11
AB de Villiers,T Natarajan,1
AB de Villiers,MP Stoinis,20
Mandeep Singh,MP Stoinis,5
Mandeep Singh,AR Patel,6
AB de Villiers,AR Patel,3
STR Binny,VR Aaron,2
STR Binny,AR Patel,1
STR Binny,MP Stoinis,2
STR Binny,MM Sharma,12
STR Binny,Sandeep Sharma,1
