AM Rahane,B Kumar,2
DJM Short,B Kumar,4
SV Samson,B Stanlake,17
SV Samson,B Kumar,9
AM Rahane,Shakib Al Hasan,5
SV Samson,Shakib Al Hasan,14
AM Rahane,B Stanlake,5
SV Samson,S Kaul,7
AM Rahane,S Kaul,1
BA Stokes,Rashid Khan,1
SV Samson,Rashid Khan,2
BA Stokes,B Stanlake,4
RA Tripathi,Shakib Al Hasan,2
RA Tripathi,B Stanlake,2
RA Tripathi,Rashid Khan,10
RA Tripathi,S Kaul,3
JC Buttler,Shakib Al Hasan,2
JC Buttler,S Kaul,1
K Gowtham,S Kaul,0
S Gopal,S Kaul,1
S Gopal,Rashid Khan,8
JC Buttler,Rashid Khan,1
S Gopal,B Kumar,9
JC Buttler,B Kumar,2
DS Kulkarni,Rashid Khan,1
DS Kulkarni,B Kumar,1
JD Unadkat,S Kaul,1
B Laughlin,S Kaul,1
DS Kulkarni,S Kaul,1
