WP Saha,BB Sran,15
MJ Guptill,BB Sran,8
WP Saha,SL Malinga,1
MJ Guptill,SL Malinga,6
WP Saha,JJ Bumrah,9
MJ Guptill,JJ Bumrah,2
MK Pandey,SL Malinga,21
KS Williamson,JJ Bumrah,2
MK Pandey,RD Chahar,15
KS Williamson,RD Chahar,1
KS Williamson,KH Pandya,0
V Shankar,KH Pandya,7
MK Pandey,KH Pandya,12
V Shankar,RD Chahar,5
Abhishek Sharma,KH Pandya,2
MK Pandey,HH Pandya,12
Abhishek Sharma,HH Pandya,0
Mohammad Nabi,HH Pandya,8
Mohammad Nabi,SL Malinga,15
Mohammad Nabi,JJ Bumrah,14
MK Pandey,JJ Bumrah,12
