RD Gaikwad,Mohammed Shami,3
F du Plessis,Mohammed Shami,13
RD Gaikwad,Harpreet Brar,6
F du Plessis,Harpreet Brar,9
F du Plessis,Arshdeep Singh,28
RD Gaikwad,Arshdeep Singh,3
MM Ali,Mohammed Shami,0
MM Ali,Arshdeep Singh,0
RV Uthappa,Arshdeep Singh,1
RV Uthappa,CJ Jordan,1
F du Plessis,CJ Jordan,13
F du Plessis,Ravi Bishnoi,11
AT Rayudu,Ravi Bishnoi,2
AT Rayudu,CJ Jordan,2
MS Dhoni,CJ Jordan,1
MS Dhoni,Ravi Bishnoi,10
MS Dhoni,Harpreet Brar,1
RA Jadeja,Harpreet Brar,3
F du Plessis,MC Henriques,2
RA Jadeja,MC Henriques,6
RA Jadeja,Ravi Bishnoi,1
RA Jadeja,Arshdeep Singh,2
RA Jadeja,CJ Jordan,2
RA Jadeja,Mohammed Shami,1
DJ Bravo,Mohammed Shami,4
