MA Agarwal,Mohammed Shami,5
MA Agarwal,HH Pandya,0
S Dhawan,HH Pandya,6
S Dhawan,Mohammed Shami,5
JM Bairstow,Mohammed Shami,4
JM Bairstow,HH Pandya,4
S Dhawan,LH Ferguson,14
JM Bairstow,LH Ferguson,0
LS Livingstone,LH Ferguson,5
S Dhawan,Rashid Khan,7
LS Livingstone,Rashid Khan,9
LS Livingstone,DG Nalkande,32
S Dhawan,DG Nalkande,3
JM Sharma,Rashid Khan,3
LS Livingstone,HH Pandya,2
JM Sharma,HH Pandya,7
LS Livingstone,R Tewatia,11
JM Sharma,R Tewatia,13
JM Sharma,DG Nalkande,0
OF Smith,DG Nalkande,0
M Shahrukh Khan,DG Nalkande,1
LS Livingstone,Mohammed Shami,5
M Shahrukh Khan,Mohammed Shami,13
M Shahrukh Khan,Rashid Khan,1
K Rabada,Rashid Khan,1
RD Chahar,Rashid Khan,1
RD Chahar,LH Ferguson,8
VG Arora,LH Ferguson,1
VG Arora,Mohammed Shami,1
RD Chahar,Mohammed Shami,1
Arshdeep Singh,Mohammed Shami,2
Arshdeep Singh,LH Ferguson,4
RD Chahar,HH Pandya,12
Arshdeep Singh,HH Pandya,4
