Ishan Kishan,Mohsin Khan,1
RG Sharma,Mohsin Khan,5
Ishan Kishan,PVD Chameera,1
RG Sharma,PVD Chameera,5
Ishan Kishan,JO Holder,2
RG Sharma,JO Holder,16
RG Sharma,KH Pandya,11
Ishan Kishan,KH Pandya,4
Ishan Kishan,Ravi Bishnoi,0
D Brevis,Ravi Bishnoi,3
RG Sharma,Ravi Bishnoi,2
D Brevis,Mohsin Khan,0
SA Yadav,Mohsin Khan,1
SA Yadav,KH Pandya,1
Tilak Varma,KH Pandya,1
Tilak Varma,Ravi Bishnoi,17
SA Yadav,Ravi Bishnoi,5
Tilak Varma,A Badoni,2
SA Yadav,A Badoni,0
KA Pollard,A Badoni,4
KA Pollard,PVD Chameera,4
Tilak Varma,PVD Chameera,0
KA Pollard,Ravi Bishnoi,0
Tilak Varma,Mohsin Khan,5
KA Pollard,Mohsin Khan,9
Tilak Varma,JO Holder,13
KA Pollard,JO Holder,2
DR Sams,JO Holder,1
DR Sams,PVD Chameera,2
KA Pollard,KH Pandya,0
JD Unadkat,KH Pandya,1
DR Sams,KH Pandya,0
JJ Bumrah,KH Pandya,0
