V Kohli,MA Starc,33
F du Plessis,MA Starc,1
V Kohli,Harshit Rana,12
F du Plessis,Harshit Rana,7
C Green,MA Starc,4
C Green,Harshit Rana,4
V Kohli,AS Roy,3
C Green,AS Roy,3
V Kohli,SP Narine,21
C Green,SP Narine,15
C Green,AD Russell,7
V Kohli,AD Russell,5
V Kohli,CV Varun,9
GJ Maxwell,CV Varun,11
GJ Maxwell,AD Russell,0
GJ Maxwell,SP Narine,3
GJ Maxwell,Harshit Rana,14
RM Patidar,SP Narine,1
RM Patidar,MA Starc,1
RM Patidar,AD Russell,1
Anuj Rawat,AD Russell,3
Anuj Rawat,Harshit Rana,0
KD Karthik,Harshit Rana,1
KD Karthik,AD Russell,12
KD Karthik,MA Starc,7
