PP Shaw,Azmatullah Omarzai,10
J Fraser-McGurk,Azmatullah Omarzai,12
J Fraser-McGurk,S Sandeep Warrier,11
PP Shaw,S Sandeep Warrier,1
AR Patel,S Sandeep Warrier,2
SD Hope,S Sandeep Warrier,0
AR Patel,Azmatullah Omarzai,6
SD Hope,Azmatullah Omarzai,5
RR Pant,S Sandeep Warrier,0
RR Pant,Azmatullah Omarzai,0
AR Patel,Rashid Khan,26
RR Pant,Rashid Khan,9
RR Pant,Noor Ahmad,15
AR Patel,Noor Ahmad,20
RR Pant,MM Sharma,62
AR Patel,MM Sharma,5
RR Pant,M Shahrukh Khan,1
AR Patel,M Shahrukh Khan,7
T Stubbs,MM Sharma,5
T Stubbs,R Sai Kishore,21
RR Pant,R Sai Kishore,1
