V Sehwag,Harbhajan Singh,2
DA Warner,Harbhajan Singh,1
CA Ingram,Harbhajan Singh,1
CA Ingram,SL Malinga,0
NV Ojha,SL Malinga,0
V Sehwag,MM Patel,0
NV Ojha,MM Patel,1
Y Venugopal Rao,MM Patel,3
JR Hopes,MM Patel,14
Y Venugopal Rao,DS Kulkarni,5
JR Hopes,DS Kulkarni,13
Y Venugopal Rao,SL Malinga,1
JR Hopes,SL Malinga,5
JR Hopes,Harbhajan Singh,1
Y Venugopal Rao,Harbhajan Singh,5
Y Venugopal Rao,KA Pollard,7
JR Hopes,KA Pollard,15
JR Hopes,A Symonds,7
Y Venugopal Rao,A Symonds,16
IK Pathan,DS Kulkarni,1
IK Pathan,Harbhajan Singh,11
IK Pathan,MM Patel,10
Y Nagar,Harbhajan Singh,0
AB Agarkar,SL Malinga,2
IK Pathan,SL Malinga,1
M Morkel,SL Malinga,6
M Morkel,DS Kulkarni,2
AB Agarkar,DS Kulkarni,5
M Morkel,KA Pollard,2
S Nadeem,KA Pollard,0
