AJ Finch,Sandeep Sharma,11
BB McCullum,Sandeep Sharma,0
AJ Finch,MG Johnson,17
SK Raina,Sandeep Sharma,9
AJ Finch,MM Sharma,9
SK Raina,MM Sharma,4
SK Raina,MG Johnson,1
AJ Finch,MP Stoinis,16
SK Raina,MP Stoinis,6
AJ Finch,AR Patel,9
KD Karthik,AR Patel,7
KD Karthik,MP Stoinis,5
AJ Finch,P Sahu,12
KD Karthik,P Sahu,13
KD Karthik,Sandeep Sharma,1
RA Jadeja,P Sahu,4
KD Karthik,MM Sharma,6
RA Jadeja,MM Sharma,3
RA Jadeja,MG Johnson,1
KD Karthik,MG Johnson,9
Ishan Kishan,MG Johnson,5
Ishan Kishan,P Sahu,6
DJ Bravo,MM Sharma,2
