AM Rahane,M Morkel,12
F du Plessis,M Morkel,1
F du Plessis,AD Russell,2
AM Rahane,AD Russell,7
AM Rahane,Shakib Al Hasan,9
F du Plessis,Shakib Al Hasan,1
AM Rahane,SP Narine,5
SPD Smith,SP Narine,9
SPD Smith,Shakib Al Hasan,4
SPD Smith,AD Russell,7
SPD Smith,PP Chawla,8
AM Rahane,PP Chawla,17
AM Rahane,R Sathish,8
SPD Smith,R Sathish,3
NLTC Perera,R Sathish,8
NLTC Perera,SP Narine,4
JA Morkel,R Sathish,1
JA Morkel,PP Chawla,1
AM Rahane,UT Yadav,9
JA Morkel,UT Yadav,1
MS Dhoni,SP Narine,1
JA Morkel,SP Narine,13
R Bhatia,UT Yadav,1
MS Dhoni,UT Yadav,5
MS Dhoni,M Morkel,17
