M Vijay,P Kumar,21
MP Stoinis,P Kumar,1
M Vijay,DS Kulkarni,13
MP Stoinis,DS Kulkarni,7
M Vijay,RA Jadeja,6
MP Stoinis,RA Jadeja,19
SE Marsh,RA Jadeja,0
M Vijay,S Kaushik,9
SE Marsh,S Kaushik,1
GJ Maxwell,S Kaushik,0
Gurkeerat Singh,RA Jadeja,0
DA Miller,RA Jadeja,1
DA Miller,S Kaushik,8
M Vijay,DJ Bravo,2
DA Miller,DJ Bravo,11
DA Miller,JP Faulkner,9
M Vijay,JP Faulkner,4
WP Saha,S Kaushik,1
WP Saha,DJ Bravo,20
WP Saha,JP Faulkner,6
DA Miller,DS Kulkarni,2
WP Saha,DS Kulkarni,6
AR Patel,DJ Bravo,0
KC Cariappa,DJ Bravo,0
MM Sharma,P Kumar,1
KC Cariappa,P Kumar,1
Sandeep Sharma,P Kumar,1
