RV Uthappa,B Kumar,16
RV Uthappa,BB Sran,9
G Gambhir,B Kumar,3
G Gambhir,BB Sran,5
C Munro,BB Sran,0
G Gambhir,KS Williamson,2
C Munro,KS Williamson,5
G Gambhir,DJ Hooda,4
C Munro,DJ Hooda,5
MK Pandey,KV Sharma,21
G Gambhir,KV Sharma,2
MK Pandey,DJ Hooda,2
YK Pathan,DJ Hooda,5
YK Pathan,KV Sharma,15
YK Pathan,MC Henriques,8
MK Pandey,MC Henriques,6
MK Pandey,Mustafizur Rahman,10
YK Pathan,Mustafizur Rahman,15
MK Pandey,BB Sran,8
YK Pathan,BB Sran,5
YK Pathan,B Kumar,4
MK Pandey,B Kumar,1
JO Holder,B Kumar,1
JO Holder,Mustafizur Rahman,2
Shakib Al Hasan,Mustafizur Rahman,4
Shakib Al Hasan,BB Sran,3
Shakib Al Hasan,B Kumar,0
SA Yadav,B Kumar,6
