batsman,bowler,runs,times_dismissed
SR Watson,MJ McClenaghan,30,0
SR Watson,Mustafizur Rahman,7,2
SR Watson,JJ Bumrah,25,3
SR Watson,HH Pandya,9,1
SR Watson,R Vinay Kumar,64,1
SR Watson,PP Chawla,87,3
SR Watson,AD Russell,33,0
SR Watson,TK Curran,27,1
SR Watson,BB Sran,4,0
SR Watson,MM Sharma,60,2
SR Watson,STR Binny,22,0
SR Watson,K Gowtham,37,0
SR Watson,JD Unadkat,57,0
SR Watson,BA Stokes,22,2
SR Watson,B Laughlin,16,1
SR Watson,S Gopal,13,0
SR Watson,B Kumar,78,4
SR Watson,B Stanlake,0,0
SR Watson,Shakib Al Hasan,96,2
SR Watson,P Negi,24,3
SR Watson,KH Pandya,31,2
SR Watson,TA Boult,25,1
SR Watson,R Tewatia,17,1
SR Watson,LE Plunkett,27,0
SR Watson,Avesh Khan,19,0
SR Watson,A Mishra,79,6
SR Watson,V Shankar,28,0
SR Watson,GJ Maxwell,3,0
SR Watson,MG Johnson,26,1
SR Watson,Shivam Mavi,22,0
SR Watson,SP Narine,39,5
SR Watson,Kuldeep Yadav,12,0
SR Watson,TG Southee,17,0
SR Watson,YS Chahal,24,3
SR Watson,UT Yadav,43,2
SR Watson,Ankit Sharma,5,0
SR Watson,JC Archer,13,1
SR Watson,IS Sodhi,10,0
SR Watson,Sandeep Sharma,102,0
SR Watson,Rashid Khan,82,0
SR Watson,S Kaul,34,0
SR Watson,S Lamichhane,2,0
SR Watson,HV Patel,2,0
SR Watson,CR Brathwaite,37,0
SR Watson,NA Saini,0,0
SR Watson,I Sharma,54,2
SR Watson,AR Patel,53,6
SR Watson,K Rabada,17,0
SR Watson,DS Kulkarni,48,2
SR Watson,JP Behrendorff,1,0
SR Watson,SL Malinga,125,4
SR Watson,Mohammed Shami,18,1
SR Watson,R Ashwin,76,2
SR Watson,SM Curran,8,1
SR Watson,AJ Tye,11,0
SR Watson,M Ashwin,0,0
SR Watson,M Prasidh Krishna,6,0
SR Watson,HF Gurney,1,1
SR Watson,KK Ahmed,22,0
SR Watson,S Nadeem,38,2
SR Watson,DW Steyn,14,1
SR Watson,J Suchith,11,2
SR Watson,Harpreet Brar,27,0
SR Watson,RD Chahar,8,0
SR Watson,J Yadav,1,0
SR Watson,KMA Paul,29,0
SR Watson,PJ Cummins,22,0
SR Watson,CV Varun,9,1
SR Watson,KL Nagarkoti,19,0
SR Watson,TU Deshpande,9,0
SR Watson,A Nortje,2,1
SR Watson,SS Cottrell,22,0
SR Watson,CJ Jordan,12,0
SR Watson,Ravi Bishnoi,22,0
SR Watson,CH Morris,49,0
SR Watson,I Udana,5,0
SR Watson,Washington Sundar,5,1
SR Watson,T Natarajan,9,1
SR Watson,Kartik Tyagi,8,1
SR Watson,LH Ferguson,0,0
SR Watson,GD McGrath,10,0
SR Watson,B Geeves,13,0
