batsman,total_runs,total_innings
SR Watson,3880,143
AT Rayudu,4348,187
SK Raina,5536,201
KM Jadhav,1208,81
MS Dhoni,5243,229
RA Jadeja,2959,184
DJ Bravo,1560,113
DL Chahar,80,13
Harbhajan Singh,833,90
MA Wood,12,3
Imran Tahir,33,9
SW Billings,503,27
M Vijay,2619,106
F du Plessis,4571,138
KV Sharma,351,40
DR Shorey,13,2
SN Thakur,307,37
MM Sharma,124,31
MJ Santner,70,11
SM Curran,883,48
RD Gaikwad,2380,65
N Jagadeesan,162,10
MM Ali,1162,57
RV Uthappa,4954,198
DP Conway,924,22
S Dube,1502,61
D Pretorius,44,5
CJ Jordan,81,13
Mukesh Choudhary,6,2
Simarjeet Singh,7,3
M Theekshana,7,2
BA Stokes,935,44
AM Rahane,4642,171
TU Deshpande,21,4
R Ravindra,222,10
DJ Mitchell,351,15
Sameer Rizvi,51,5
RJ Gleeson,2,1
PA Patel,2848,137
ML Hayden,1107,33
MEK Hussey,1977,58
JDP Oram,106,12
S Badrinath,1441,67
SP Fleming,196,10
S Vidyut,145,8
JA Morkel,975,69
Joginder Sharma,36,6
MS Gony,99,17
M Muralitharan,20,9
M Ntini,11,2
S Anirudha,136,13
CK Kapugedera,16,3
L Balaji,36,15
A Mukund,19,2
A Flintoff,62,3
T Thushara,12,4
SB Jakati,28,8
S Tyagi,3,3
GJ Bailey,663,37
R Ashwin,800,94
JM Kemp,26,2
KB Arun Karthik,51,8
C Ganapathy,0,1
DE Bollinger,21,4
SB Styris,131,10
S Randiv,2,1
WP Saha,2934,145
KMDN Kulasekara,5,1
B Laughlin,5,4
AS Rajpoot,26,7
DP Nannes,4,3
CH Morris,618,51
DR Smith,2385,89
BB McCullum,2882,111
M Manhas,514,38
BW Hilfenhaus,0,1
DJ Hussey,1322,61
P Negi,365,35
A Nehra,41,22
RG More,2,1
AC Gilchrist,2069,80
Y Venugopal Rao,985,54
VVS Laxman,282,20
A Symonds,974,36
RG Sharma,6630,255
AS Yadav,49,6
SB Bangar,49,8
WPUJC Vaas,81,11
RP Singh,52,30
PP Ojha,16,23
Shahid Afridi,81,9
HH Gibbs,886,36
DNT Zoysa,11,2
D Kalyankrishna,3,1
LPC Silva,40,3
DB Ravi Teja,375,25
DP Vijaykumar,1,2
PM Sarvesh Kumar,1,1
H Das,2,1
FH Edwards,4,2
AA Bilakhia,69,7
TL Suman,676,40
Shoaib Ahmed,1,3
RJ Harris,117,21
Jaskaran Singh,8,5
Anirudh Singh,63,4
MD Mishra,237,17
R Sharma,66,20
KAJ Roach,10,1
Harmeet Singh,18,6
B Sumanth,35,4
MR Marsh,665,36
S Dhawan,6769,222
IR Jaggi,76,7
KC Sangakkara,1687,68
B Chipli,280,21
JP Duminy,2029,77
DT Christian,460,41
DW Steyn,167,37
A Mishra,381,57
I Sharma,57,28
S Sohal,368,20
CL White,971,46
I Malhotra,7,1
MJ Lumb,278,12
DJ Harris,111,4
Ankit Sharma,87,10
TP Sudhindra,0,1
AA Jhunjhunwala,217,16
A Ashish Reddy,280,23
V Pratap Singh,0,1
BB Samantray,125,8
PA Reddy,164,11
J Theron,10,4
CA Lynn,1329,42
PP Shaw,1892,80
SS Iyer,3131,117
CA Ingram,205,15
RR Pant,3297,113
KMA Paul,18,6
AR Patel,1653,113
R Tewatia,1013,65
GH Vihari,284,23
HV Patel,249,42
K Rabada,206,31
Avesh Khan,41,10
S Lamichhane,0,1
C Munro,177,12
SE Rutherford,106,9
J Suchith,70,10
TA Boult,83,27
SO Hetmyer,1243,66
MP Stoinis,1866,88
A Nortje,49,15
AT Carey,32,3
P Dubey,23,2
