bowler,batsman,runs,times_dismissed
MJ McClenaghan,SR Watson,30,1
MJ McClenaghan,AT Rayudu,19,1
MJ McClenaghan,SK Raina,50,1
MJ McClenaghan,DJ Bravo,35,1
MJ McClenaghan,Harbhajan Singh,1,1
MJ McClenaghan,Imran Tahir,5,1
MJ McClenaghan,MS Dhoni,31,1
MJ McClenaghan,SW Billings,1,1
MJ McClenaghan,F du Plessis,35,1
MJ McClenaghan,DR Smith,25,1
MJ McClenaghan,BB McCullum,18,1
MJ McClenaghan,P Negi,25,1
MJ McClenaghan,MEK Hussey,6,1
MJ McClenaghan,RA Jadeja,17,1
MJ McClenaghan,R Ashwin,8,1
MJ McClenaghan,MM Sharma,2,1
MJ McClenaghan,PP Shaw,4,1
MJ McClenaghan,SS Iyer,61,1
MJ McClenaghan,S Dhawan,69,1
MJ McClenaghan,CA Ingram,5,1
MJ McClenaghan,KMA Paul,3,1
MJ McClenaghan,RR Pant,10,1
MJ McClenaghan,KK Nair,27,1
MJ McClenaghan,SV Samson,22,1
MJ McClenaghan,CJ Anderson,0,1
MJ McClenaghan,CH Morris,23,1
MJ McClenaghan,K Rabada,3,1
MJ McClenaghan,MA Agarwal,3,1
MJ McClenaghan,JP Duminy,14,1
MJ McClenaghan,AD Mathews,14,1
MJ McClenaghan,Yuvraj Singh,38,1
MJ McClenaghan,SS Tiwary,4,1
MJ McClenaghan,Q de Kock,14,1
MJ McClenaghan,A Mishra,0,1
MJ McClenaghan,KD Karthik,16,1
MJ McClenaghan,Ishan Kishan,21,1
MJ McClenaghan,JJ Roy,0,1
MJ McClenaghan,AJ Tye,14,1
MJ McClenaghan,JP Faulkner,6,1
MJ McClenaghan,Basil Thampi,2,1
MJ McClenaghan,Ankit Soni,7,1
MJ McClenaghan,AJ Finch,16,1
MJ McClenaghan,AD Nath,0,1
MJ McClenaghan,P Kumar,1,1
MJ McClenaghan,DS Kulkarni,1,1
MJ McClenaghan,SE Marsh,18,1
MJ McClenaghan,HM Amla,12,1
MJ McClenaghan,WP Saha,38,1
MJ McClenaghan,GJ Maxwell,37,1
MJ McClenaghan,MP Stoinis,0,1
MJ McClenaghan,MJ Guptill,2,1
MJ McClenaghan,AR Patel,13,1
MJ McClenaghan,KL Rahul,75,1
MJ McClenaghan,CH Gayle,51,1
MJ McClenaghan,MK Tiwary,19,1
MJ McClenaghan,DA Miller,13,1
MJ McClenaghan,M Vijay,38,1
MJ McClenaghan,V Sehwag,2,1
MJ McClenaghan,GJ Bailey,5,1
MJ McClenaghan,M Vohra,4,1
MJ McClenaghan,MG Johnson,1,1
MJ McClenaghan,Gurkeerat Singh,1,1
MJ McClenaghan,CA Lynn,49,1
MJ McClenaghan,G Gambhir,39,1
MJ McClenaghan,MK Pandey,46,1
MJ McClenaghan,SA Yadav,3,1
MJ McClenaghan,SP Narine,4,1
MJ McClenaghan,Shubman Gill,10,1
MJ McClenaghan,RV Uthappa,20,1
MJ McClenaghan,N Rana,8,1
MJ McClenaghan,AD Russell,3,1
MJ McClenaghan,TK Curran,1,1
MJ McClenaghan,Kuldeep Yadav,0,1
MJ McClenaghan,RK Singh,2,1
MJ McClenaghan,YK Pathan,18,1
MJ McClenaghan,Shakib Al Hasan,7,1
MJ McClenaghan,PP Chawla,1,1
MJ McClenaghan,AM Rahane,76,1
MJ McClenaghan,RA Tripathi,21,1
MJ McClenaghan,BA Stokes,19,1
MJ McClenaghan,JC Buttler,12,1
MJ McClenaghan,SPD Smith,36,1
MJ McClenaghan,DJ Hooda,6,1
MJ McClenaghan,DT Christian,4,1
MJ McClenaghan,NLTC Perera,4,1
MJ McClenaghan,V Kohli,39,1
MJ McClenaghan,KM Jadhav,6,1
MJ McClenaghan,AB de Villiers,55,1
MJ McClenaghan,Mandeep Singh,11,1
MJ McClenaghan,STR Binny,1,1
MJ McClenaghan,AF Milne,0,1
MJ McClenaghan,CR Woakes,1,1
MJ McClenaghan,UT Yadav,1,1
