bowler,total_runs,total_dismisses
MJ McClenaghan,1726,75
Mustafizur Rahman,1703,70
JJ Bumrah,3613,182
HH Pandya,2083,70
M Markande,1051,37
R Vinay Kumar,2925,127
PP Chawla,5027,201
AD Russell,2561,125
TK Curran,416,13
SP Narine,4492,200
Kuldeep Yadav,2339,90
BB Sran,718,20
MM Sharma,3200,147
AJ Tye,949,48
Mujeeb Ur Rahman,564,20
R Ashwin,5178,198
Yuvraj Singh,1064,39
STR Binny,741,28
K Gowtham,797,22
JD Unadkat,3119,109
BA Stokes,956,31
B Laughlin,271,10
S Gopal,1340,53
B Kumar,4744,195
B Stanlake,194,7
Shakib Al Hasan,1802,71
S Kaul,1706,63
Rashid Khan,3222,157
DJ Hooda,518,10
P Negi,922,38
UT Yadav,4185,163
Washington Sundar,1309,39
Mohammed Siraj,2676,96
YS Chahal,4478,213
CJ Anderson,497,14
KH Pandya,2523,80
BCJ Cutting,422,12
TA Boult,3137,128
Avesh Khan,1909,81
R Tewatia,1088,36
LE Plunkett,221,4
A Mishra,4065,183
V Shankar,323,12
GJ Maxwell,1275,41
MG Johnson,1633,66
Shivam Mavi,903,33
TG Southee,1682,57
C de Grandhomme,301,7
M Ashwin,1131,35
Ankit Sharma,436,12
JC Archer,1125,49
IS Sodhi,201,9
Sandeep Sharma,3605,153
S Lamichhane,291,14
HV Patel,3003,151
AS Rajpoot,772,24
AR Patel,3707,131
CR Brathwaite,363,16
NA Saini,809,20
MM Ali,881,40
S Dube,175,6
I Sharma,3020,96
K Rabada,2486,126
KMA Paul,216,10
DS Kulkarni,2364,91
JP Behrendorff,535,22
SL Malinga,3194,188
RD Chahar,2102,76
Mohammed Shami,3286,144
SM Curran,1847,62
M Prasidh Krishna,1619,54
HF Gurney,231,7
R Parag,300,5
KK Ahmed,1808,78
S Nadeem,1753,54
DW Steyn,2406,105
MP Stoinis,1240,45
AS Roy,185,6
J Suchith,585,20
CH Morris,2220,107
SE Rutherford,54,1
Harpreet Brar,875,25
J Yadav,437,9
JL Pattinson,311,11
PJ Cummins,1852,66
CV Varun,1961,85
KL Nagarkoti,280,5
JDS Neesham,328,8
CJ Jordan,1033,36
Ravi Bishnoi,1784,68
CH Gayle,680,19
TU Deshpande,1184,46
A Nortje,1523,62
SS Cottrell,161,6
T Natarajan,1900,76
Abhishek Sharma,380,11
Abdul Samad,108,2
NM Coulter-Nile,1063,52
KA Pollard,2077,81
I Udana,274,8
Kartik Tyagi,675,16
LH Ferguson,1376,57
N Rana,247,10
CR Woakes,635,31
JA Richardson,152,3
Arshdeep Singh,1958,84
RP Meredith,572,21
C Sakariya,563,20
KA Jamieson,258,9
DT Christian,1152,40
Akash Singh,224,5
GD Phillips,39,2
JO Holder,1403,59
MC Henriques,1256,46
VR Iyer,140,3
AF Milne,313,9
Navdeep Saini,133,6
PWH de Silva,741,36
PVD Chameera,413,11
VG Arora,550,20
