batsman,innings
SR Watson,43
AT Rayudu,80
SK Raina,172
KM Jadhav,18
MS Dhoni,202
RA Jadeja,125
DJ Bravo,75
DL Chahar,12
Harbhajan Singh,4
MA Wood,1
Imran Tahir,3
SW Billings,9
M Vijay,70
F du Plessis,86
KV Sharma,1
DR Shorey,2
SN Thakur,13
MM Sharma,10
MJ Santner,11
SM Curran,15
RD Gaikwad,65
N Jagadeesan,4
MM Ali,40
RV Uthappa,15
DP Conway,22
S Dube,39
D Pretorius,5
CJ Jordan,2
Mukesh Choudhary,2
Simarjeet Singh,3
M Theekshana,2
BA Stokes,2
AM Rahane,23
TU Deshpande,2
R Ravindra,10
DJ Mitchell,13
Sameer Rizvi,5
RJ Gleeson,1
PA Patel,26
ML Hayden,33
MEK Hussey,49
JDP Oram,11
S Badrinath,67
SP Fleming,10
S Vidyut,8
JA Morkel,60
Joginder Sharma,6
MS Gony,9
M Muralitharan,6
M Ntini,2
S Anirudha,12
CK Kapugedera,3
L Balaji,8
A Mukund,1
A Flintoff,3
T Thushara,4
SB Jakati,7
S Tyagi,3
GJ Bailey,3
R Ashwin,31
JM Kemp,2
KB Arun Karthik,1
C Ganapathy,1
DE Bollinger,4
SB Styris,1
S Randiv,1
WP Saha,7
KMDN Kulasekara,1
B Laughlin,2
AS Rajpoot,1
DP Nannes,1
CH Morris,6
DR Smith,32
BB McCullum,28
M Manhas,5
BW Hilfenhaus,1
DJ Hussey,4
P Negi,9
A Nehra,4
RG More,1
