batsman,innings
AC Gilchrist,46
Y Venugopal Rao,28
VVS Laxman,17
A Symonds,27
RG Sharma,44
SB Styris,9
AS Yadav,6
SB Bangar,7
WPUJC Vaas,11
RP Singh,20
PP Ojha,14
Shahid Afridi,9
HH Gibbs,33
DNT Zoysa,2
D Kalyankrishna,1
LPC Silva,3
DB Ravi Teja,23
DP Vijaykumar,2
PM Sarvesh Kumar,1
H Das,1
FH Edwards,2
DR Smith,11
AA Bilakhia,7
TL Suman,26
Shoaib Ahmed,3
RJ Harris,10
Jaskaran Singh,5
Anirudh Singh,4
MD Mishra,11
R Sharma,4
KAJ Roach,1
Harmeet Singh,3
B Sumanth,4
MR Marsh,2
S Dhawan,29
IR Jaggi,5
KC Sangakkara,25
B Chipli,17
JP Duminy,19
DT Christian,20
DW Steyn,11
A Mishra,14
I Sharma,5
S Sohal,10
MS Gony,3
CL White,19
I Malhotra,1
MJ Lumb,1
DJ Harris,4
PA Patel,13
Ankit Sharma,4
TP Sudhindra,1
AA Jhunjhunwala,3
A Ashish Reddy,5
V Pratap Singh,1
BB Samantray,1
PA Reddy,4
J Theron,1
CA Lynn,1
