batsman,innings
PP Shaw,71
S Dhawan,50
SS Iyer,43
CA Ingram,12
RR Pant,75
KMA Paul,6
AR Patel,62
R Tewatia,4
GH Vihari,2
HV Patel,4
CH Morris,6
K Rabada,15
Avesh Khan,2
S Lamichhane,1
I Sharma,6
C Munro,4
A Mishra,4
SE Rutherford,7
J Suchith,1
TA Boult,3
SO Hetmyer,24
MP Stoinis,24
R Ashwin,11
A Nortje,15
AM Rahane,9
TU Deshpande,2
AT Carey,3
P Dubey,2
DR Sams,1
Lalit Yadav,21
TK Curran,2
CR Woakes,1
SPD Smith,7
RV Patel,7
TL Seifert,2
Mandeep Singh,3
R Powell,15
SN Thakur,10
Kuldeep Yadav,22
KK Ahmed,2
Mustafizur Rahman,2
DA Warner,34
SN Khan,9
MR Marsh,21
KS Bharat,2
RR Rossouw,9
Aman Hakim Khan,9
C Sakariya,2
Mukesh Kumar,5
Abishek Porel,16
MK Pandey,9
YV Dhull,3
PD Salt,9
PK Garg,2
SD Hope,9
RK Bhui,2
T Stubbs,13
Sumit Kumar,3
Rasikh Salam,4
Kumar Kushagra,3
JA Richardson,1
J Fraser-McGurk,9
LB Williams,1
Gulbadin Naib,1
