batsman,innings
AP Tare,3
SW Billings,10
KK Nair,25
SV Samson,28
RR Pant,38
CH Morris,20
CR Brathwaite,8
PJ Cummins,9
A Mishra,28
S Nadeem,19
Z Khan,5
CJ Anderson,11
SS Iyer,46
AD Mathews,12
Mohammed Shami,13
K Rabada,3
AR Bawne,1
MN Samuels,4
C Munro,5
G Gambhir,44
V Shankar,11
R Tewatia,5
DT Christian,3
GJ Maxwell,14
JJ Roy,5
TA Boult,1
PP Shaw,9
LE Plunkett,2
NV Ojha,33
HV Patel,2
Abhishek Sharma,3
V Sehwag,79
S Dhawan,14
Shoaib Malik,5
MK Tiwary,19
KD Karthik,49
R Bhatia,11
MF Maharoof,14
VY Mahesh,5
AB de Villiers,26
PJ Sangwan,9
Mohammad Asif,2
GD McGrath,3
TM Dilshan,26
DL Vettori,7
M Manhas,14
DA Warner,56
A Nehra,8
AB McDonald,5
Y Nagar,20
S Ladda,2
DP Nannes,2
MC Henriques,1
UT Yadav,14
KM Jadhav,37
PD Collingwood,7
UBT Chand,13
AJ Finch,8
Y Venugopal Rao,21
IK Pathan,38
RE van der Merwe,6
M Morkel,15
AB Dinda,1
MS Wade,3
JR Hopes,8
TR Birt,5
AB Agarkar,5
CA Ingram,3
S Sriram,1
VR Aaron,3
DAJ Bracewell,1
KP Pietersen,19
DPMD Jayawardene,30
LRPL Taylor,16
P Negi,10
AD Russell,4
Sunny Gupta,1
MC Juneja,7
J Botha,6
BMAJ Mendis,3
BJ Rohrer,9
CM Gautam,4
S Kaul,3
B Chipli,1
MA Agarwal,21
M Vijay,11
JP Duminy,35
JDS Neesham,3
NM Coulter-Nile,8
JD Unadkat,2
Q de Kock,23
WD Parnell,2
LR Shukla,3
R Shukla,3
Imran Tahir,5
JA Morkel,3
Yuvraj Singh,13
DJ Muthuswami,2
SS Tiwary,6
J Yadav,2
