batsman,innings
HM Amla,16
M Vohra,41
WP Saha,49
AR Patel,51
GJ Maxwell,64
DA Miller,78
MP Stoinis,15
MM Sharma,17
VR Aaron,2
Sandeep Sharma,13
EJG Morgan,4
KC Cariappa,4
I Sharma,3
SE Marsh,70
MJ Guptill,7
Anureet Singh,7
Swapnil Singh,3
R Tewatia,2
KL Rahul,44
MA Agarwal,36
Yuvraj Singh,49
KK Nair,16
AJ Finch,9
R Ashwin,15
AJ Tye,9
Mujeeb Ur Rahman,6
CH Gayle,32
BB Sran,4
MK Tiwary,4
AS Rajpoot,3
AD Nath,1
SN Khan,8
N Pooran,22
Mandeep Singh,57
SM Curran,8
GC Viljoen,3
M Ashwin,4
Mohammed Shami,5
Harpreet Brar,1
P Simran Singh,3
K Gowtham,2
CJ Jordan,5
DJ Hooda,6
Ravi Bishnoi,3
JDS Neesham,3
SS Cottrell,1
Arshdeep Singh,1
K Goel,17
JR Hopes,11
KC Sangakkara,34
SM Katich,11
IK Pathan,36
DPMD Jayawardene,36
S Sohal,10
B Lee,10
PP Chawla,52
WA Mota,8
RR Sarwan,4
S Sreesanth,8
VRV Singh,2
TM Srivastava,3
U Kaul,1
LA Pomersbach,12
RR Powar,7
RS Bopara,14
T Kohli,2
MS Bisla,10
M Kaif,3
YA Abdulla,1
AB Barath,3
Bipul Sharma,9
J Theron,2
SJ Srivastava,4
VS Malik,1
RS Sodhi,1
AC Gilchrist,34
PC Valthaty,21
KD Karthik,13
AM Nayar,13
Sunny Singh,5
R McLaren,4
P Kumar,21
NJ Rimmington,1
DJ Hussey,34
RJ Harris,11
L Ablish,1
SD Chitnis,5
BA Bhatt,2
JP Faulkner,2
Harmeet Singh,3
AD Mascarenhas,4
P Dogra,3
N Saini,10
Azhar Mahmood,20
P Awana,7
Gurkeerat Singh,24
R Sathish,8
MS Gony,5
CA Pujara,6
V Sehwag,25
GJ Bailey,29
MG Johnson,19
R Dhawan,13
L Balaji,2
Shivam Sharma,2
BE Hendricks,3
Karanveer Singh,4
M Vijay,25
NLTC Perera,2
SN Thakur,1
P Sahu,2
KJ Abbott,3
NS Naik,2
F Behardien,3
