batsman,innings
G Gambhir,108
CA Lynn,40
RV Uthappa,85
MK Pandey,54
YK Pathan,91
SA Yadav,42
CR Woakes,7
SP Narine,110
C de Grandhomme,9
Shakib Al Hasan,39
NM Coulter-Nile,3
UT Yadav,23
Kuldeep Yadav,11
DM Bravo,1
SP Jackson,8
TA Boult,1
IR Jaggi,2
PP Chawla,29
AS Rajpoot,1
N Rana,86
KD Karthik,60
RK Singh,40
AD Russell,102
R Vinay Kumar,5
TK Curran,4
Shubman Gill,55
Shivam Mavi,12
MG Johnson,2
M Prasidh Krishna,7
JPR Scantlebury-Searles,2
NS Naik,2
HF Gurney,1
JL Denly,1
CR Brathwaite,2
Y Prithvi Raj,1
KC Cariappa,1
RA Tripathi,27
T Banton,2
EJG Morgan,53
PJ Cummins,22
LH Ferguson,5
KL Nagarkoti,7
CV Varun,12
Harbhajan Singh,2
VR Iyer,49
TG Southee,6
TL Seifert,1
AM Rahane,7
SS Iyer,28
SW Billings,8
Rasikh Salam,1
AJ Finch,5
Aman Hakim Khan,1
B Indrajith,3
Harshit Rana,3
AS Roy,6
A Tomar,1
Mandeep Singh,5
Rahmanullah Gurbaz,13
SN Thakur,10
N Jagadeesan,6
JJ Roy,8
Liton Das,1
D Wiese,3
VG Arora,4
PD Salt,12
Ramandeep Singh,9
MA Starc,5
A Raghuvanshi,7
SC Ganguly,38
BB McCullum,36
RT Ponting,4
DJ Hussey,23
Mohammad Hafeez,8
WP Saha,24
LR Shukla,31
AB Agarkar,17
M Kartik,7
I Sharma,11
AB Dinda,6
DB Das,22
Salman Butt,7
BJ Hodge,19
Umar Gul,4
A Chopra,6
T Taibu,3
Iqbal Abdulla,8
Shoaib Akhtar,1
CH Gayle,17
MC Henriques,3
SB Bangar,1
Yashpal Singh,4
AN Ghosh,2
BAW Mendis,2
MN van Wyk,5
AD Mathews,12
Mashrafe Mortaza,1
SS Shaikh,1
MK Tiwary,49
CA Pujara,6
OA Shah,5
RS Gavaskar,1
SE Bond,1
CK Langeveldt,1
MS Bisla,27
JH Kallis,54
R Bhatia,22
B Lee,9
L Balaji,5
BJ Haddin,1
SP Goswami,4
RN ten Doeschate,22
MV Boucher,3
Mohammed Shami,1
R McLaren,2
PJ Sangwan,1
SMSM Senanayake,4
S Narwal,1
P Dogra,1
M Morkel,5
J Botha,3
GB Hogg,3
Azhar Mahmood,1
C Munro,3
R Sathish,3
JO Holder,4
