batsman,innings
PA Patel,40
JC Buttler,25
RG Sharma,211
N Rana,15
AT Rayudu,107
KH Pandya,72
KA Pollard,175
HH Pandya,101
TG Southee,5
MJ McClenaghan,24
Harbhajan Singh,84
MG Johnson,9
KV Sharma,6
JJ Bumrah,30
SL Malinga,25
LMP Simmons,29
SS Tiwary,30
E Lewis,16
Ishan Kishan,84
SA Yadav,95
BCJ Cutting,9
PJ Sangwan,1
M Markande,8
A Dananjaya,1
Mustafizur Rahman,2
JP Duminy,23
Q de Kock,44
Yuvraj Singh,4
Rasikh Salam,1
RD Chahar,10
AS Joseph,2
SD Lad,1
BB Sran,1
JL Pattinson,2
TA Boult,5
NM Coulter-Nile,5
DS Kulkarni,10
CA Lynn,1
M Jansen,2
J Yadav,3
JDS Neesham,2
PP Chawla,11
AF Milne,3
Anmolpreet Singh,3
Tilak Varma,38
TH David,34
DR Sams,10
M Ashwin,5
D Brevis,10
Ramandeep Singh,4
JD Unadkat,5
TS Mills,2
FA Allen,1
HR Shokeen,6
K Kartikeya,2
RP Meredith,2
T Stubbs,4
R Sanjay Yadav,1
C Green,16
N Wadhera,16
Arshad Khan,3
JC Archer,2
Arjun Tendulkar,1
JP Behrendorff,2
Vishnu Vinod,3
CJ Jordan,2
Naman Dhir,7
G Coetzee,5
SZ Mulani,1
R Shepherd,5
Akash Madhwal,1
Mohammad Nabi,5
L Wood,1
A Kamboj,1
L Ronchi,5
ST Jayasuriya,30
DJ Thornely,4
RV Uthappa,14
PR Shah,9
AM Nayar,24
SM Pollock,8
DJ Bravo,25
MA Khote,3
A Nehra,4
AM Rahane,9
MK Pandey,2
YV Takawale,5
RR Raje,5
SR Tendulkar,78
DR Smith,22
SD Chitnis,2
CRD Fernando,2
VS Yeligati,1
A Nel,1
S Dhawan,14
Z Khan,12
GR Napier,1
C Nanda,1
Mohammad Ashraful,1
AP Tare,23
R Sathish,14
R McLaren,7
AN Ahmed,2
C Madan,1
STR Binny,1
DJ Jacobs,7
JEC Franklin,16
A Symonds,9
AG Murtaza,1
TL Suman,9
AC Blizzard,7
MM Patel,5
RE Levi,6
KD Karthik,33
PP Ojha,9
CJ McKay,1
RP Singh,5
NLTC Perera,2
RJ Peterson,5
HH Gibbs,3
RT Ponting,5
R Dhawan,4
GJ Maxwell,3
MEK Hussey,9
CJ Anderson,15
CM Gautam,9
BR Dunk,3
S Gopal,3
M de Lange,1
P Kumar,1
AJ Finch,3
J Suchith,6
R Vinay Kumar,5
UBT Chand,6
MJ Guptill,3
