batsman,innings
GC Smith,4
JD Ryder,24
M Manhas,19
RV Uthappa,45
Yuvraj Singh,26
MD Mishra,6
WD Parnell,11
R Sharma,16
TD Paine,2
M Kartik,7
SB Wagh,2
AC Thomas,4
MK Pandey,25
NL McCullum,2
JE Taylor,2
MR Marsh,11
Harpreet Singh,3
AA Jhunjhunwala,2
CJ Ferguson,8
SC Ganguly,18
B Kumar,19
S Rana,1
SPD Smith,21
MN Samuels,10
AD Mathews,18
A Nehra,2
AB Dinda,6
MJ Clarke,6
AP Majumdar,4
K Upadhyay,2
AG Murtaza,2
LRPL Taylor,5
AM Nayar,9
TL Suman,5
AJ Finch,14
LJ Wright,6
IC Pandey,1
KW Richardson,2
BAW Mendis,1
M Rawat,2
UA Birla,1
Parvez Rasool,2
RV Gomez,1
