batsman,innings
KL Rahul,13
MA Agarwal,24
CH Gayle,10
DJ Hooda,11
N Pooran,11
M Shahrukh Khan,31
JA Richardson,2
M Ashwin,2
Mohammed Shami,4
RP Meredith,1
MC Henriques,4
FA Allen,3
Arshdeep Singh,11
CJ Jordan,2
Ravi Bishnoi,1
P Simran Singh,31
Harpreet Brar,23
DJ Malan,1
AK Markram,6
SN Khan,2
Mandeep Singh,1
NT Ellis,5
S Dhawan,30
PBB Rajapaksa,13
LS Livingstone,30
RA Bawa,2
OF Smith,6
RD Chahar,13
K Rabada,13
JM Sharma,36
VG Arora,4
JM Bairstow,22
R Dhawan,7
PN Mankad,1
Sikandar Raza,9
SM Curran,25
MW Short,6
Mohit Rathee,1
Atharva Taide,9
Harpreet Singh,5
Shashank Singh,14
Ashutosh Sharma,9
RR Rossouw,8
HV Patel,4
Shivam Singh,1
