batsman,innings
AM Rahane,93
DJM Short,7
SV Samson,135
BA Stokes,31
RA Tripathi,19
JC Buttler,82
K Gowtham,17
S Gopal,18
DS Kulkarni,7
JD Unadkat,15
B Laughlin,2
H Klaasen,4
STR Binny,54
JC Archer,23
MK Lomror,10
P Chopra,1
IS Sodhi,2
Anureet Singh,1
SPD Smith,45
R Parag,58
LS Livingstone,9
AJ Turner,4
VR Aaron,3
YBK Jaiswal,52
DA Miller,9
RV Uthappa,12
R Tewatia,23
TK Curran,4
AJ Tye,1
Kartik Tyagi,5
AS Rajpoot,2
M Vohra,4
S Dube,9
CH Morris,14
C Sakariya,6
Mustafizur Rahman,5
E Lewis,5
GD Phillips,3
K Yadav,1
T Shamsi,1
Anuj Rawat,1
D Padikkal,28
SO Hetmyer,37
NM Coulter-Nile,1
R Ashwin,31
Navdeep Saini,1
TA Boult,17
HE van der Dussen,3
JDS Neesham,2
M Prasidh Krishna,3
YS Chahal,2
KR Sen,1
KK Nair,25
DJ Mitchell,2
OC McCoy,1
Dhruv Jurel,22
JO Holder,3
A Zampa,3
Abdul Basith,1
Sandeep Sharma,2
JE Root,1
KM Asif,1
SB Dubey,3
Tanush Kotian,1
R Powell,7
KA Maharaj,1
Avesh Khan,3
D Ferreira,2
T Kohler-Cadmore,3
T Kohli,2
YK Pathan,43
SR Watson,78
M Kaif,14
DS Lehmann,2
RA Jadeja,22
M Rawat,10
D Salunkhe,3
SK Warne,29
SK Trivedi,15
Kamran Akmal,6
GC Smith,25
Pankaj Singh,2
SA Asnodkar,20
Sohail Tanvir,5
MM Patel,9
AD Mascarenhas,8
Niraj Patel,6
Younis Khan,1
T Henderson,2
Kamran Khan,2
PC Valthaty,2
RJ Quiney,7
AS Raut,16
LA Carseldine,5
NV Ojha,22
SM Harwood,2
M Morkel,3
SD Chitnis,1
J Botha,19
A Singh,5
AA Jhunjhunwala,11
P Dogra,8
A Uniyal,2
MJ Lumb,11
DR Martyn,1
S Narwal,3
FY Fazal,11
AC Voges,7
SW Tait,5
AP Dole,2
AG Paunikar,5
AJ Finch,1
R Dravid,45
LRPL Taylor,11
AL Menaria,23
DH Yagnik,17
PR Shah,1
JDP Oram,1
AA Chavan,3
ND Doshi,1
BJ Hodge,30
OA Shah,15
KK Cooper,14
SP Goswami,6
GB Hogg,3
A Chandila,2
MDKJ Perera,2
S Sreesanth,3
R Shukla,1
JP Faulkner,33
Sachin Baby,1
PV Tambe,5
AM Nayar,4
R Bhatia,8
TG Southee,4
KW Richardson,1
Ankit Sharma,4
BCJ Cutting,1
UBT Chand,1
VS Malik,1
DJ Hooda,9
J Theron,1
