batsman,innings
CH Gayle,86
Mandeep Singh,32
TM Head,10
KM Jadhav,17
SR Watson,22
Sachin Baby,10
STR Binny,13
S Aravind,12
TS Mills,3
YS Chahal,18
A Choudhary,3
Vishnu Vinod,3
P Negi,16
Iqbal Abdulla,5
AB de Villiers,146
V Kohli,231
AF Milne,3
S Badree,5
BB McCullum,6
Q de Kock,8
SN Khan,18
CR Woakes,4
Washington Sundar,21
CJ Anderson,3
UT Yadav,13
Mohammed Siraj,22
M Vohra,4
C de Grandhomme,12
TG Southee,5
PA Patel,32
M Ashwin,1
MM Ali,17
SO Hetmyer,5
S Dube,13
NA Saini,6
P Ray Barman,1
MP Stoinis,10
AD Nath,5
DW Steyn,10
H Klaasen,2
Gurkeerat Singh,8
D Padikkal,29
AJ Finch,12
JR Philippe,5
CH Morris,5
I Udana,4
Shahbaz Ahmed,25
RM Patidar,11
GJ Maxwell,41
DT Christian,9
KA Jamieson,7
HV Patel,32
DR Sams,2
KS Bharat,7
PWH de Silva,14
GHS Garton,3
TH David,1
F du Plessis,30
Anuj Rawat,15
KD Karthik,40
DJ Willey,5
SE Rutherford,2
SS Prabhudessai,9
Akash Deep,2
JR Hazlewood,6
MK Lomror,15
MG Bracewell,4
KV Sharma,3
WD Parnell,1
Vijaykumar Vyshak,2
R Dravid,37
W Jaffer,8
JH Kallis,42
CL White,13
MV Boucher,21
B Akhil,10
AA Noffke,1
P Kumar,24
Z Khan,15
SB Joshi,2
S Chanderpaul,3
LRPL Taylor,22
R Vinay Kumar,29
B Chipli,3
Misbah-ul-Haq,8
DT Patil,2
A Kumble,17
J Arunkumar,3
SP Goswami,6
Abdur Razzak,1
JD Ryder,5
RV Uthappa,27
KP Pietersen,13
R Bishnoi,3
Pankaj Singh,3
RE van der Merwe,9
MK Pandey,17
KP Appanna,3
D du Preez,1
EJG Morgan,4
A Mithun,8
S Sriram,1
MA Agarwal,24
TM Dilshan,24
SS Tiwary,30
AUK Pathan,7
CA Pujara,10
JJ van der Wath,3
DL Vettori,10
R Ninan,1
J Syed Mohammad,5
M Kaif,5
LA Pomersbach,4
KB Arun Karthik,7
CK Langeveldt,1
AB McDonald,4
RR Bhatkal,1
M Muralitharan,2
P Parameswaran,1
KK Nair,2
MC Henriques,9
M Kartik,2
JD Unadkat,2
R Rampaul,7
KL Rahul,14
A Mukund,1
NJ Maddinson,3
Yuvraj Singh,14
YV Takawale,5
JA Morkel,5
MA Starc,12
S Rana,7
AB Dinda,3
VR Aaron,5
RR Rossouw,5
VH Zol,2
AN Ahmed,4
DJG Sammy,2
SA Abbott,2
MS Bisla,2
D Wiese,8
KW Richardson,1
Parvez Rasool,1
CJ Jordan,1
