batsman,innings
DA Warner,97
S Dhawan,85
MC Henriques,37
Yuvraj Singh,21
DJ Hooda,36
BCJ Cutting,7
NV Ojha,39
V Shankar,28
Rashid Khan,35
B Kumar,49
A Nehra,4
Bipul Sharma,8
Mohammad Nabi,15
KS Williamson,76
S Kaul,9
CJ Jordan,1
WP Saha,28
MK Pandey,48
Shakib Al Hasan,14
YK Pathan,21
Sandeep Sharma,12
B Stanlake,1
RK Bhui,2
Basil Thampi,3
AD Hales,6
SP Goswami,5
CR Brathwaite,4
JM Bairstow,29
Abhishek Sharma,58
KK Ahmed,3
MJ Guptill,4
Abdul Samad,41
JO Holder,12
PK Garg,17
T Natarajan,4
S Nadeem,3
MR Marsh,1
Virat Singh,2
Mujeeb Ur Rahman,1
KM Jadhav,5
J Suchith,3
JJ Roy,5
RA Tripathi,33
N Pooran,13
AK Markram,36
R Shepherd,3
Washington Sundar,14
Umran Malik,6
Shashank Singh,5
M Jansen,11
SA Abbott,1
S Gopal,1
Kartik Tyagi,2
Fazalhaq Farooqi,2
MA Agarwal,14
HC Brook,11
GD Phillips,5
AU Rashid,2
Anmolpreet Singh,6
H Klaasen,26
M Markande,3
AJ Hosein,1
Sanvir Singh,5
Vivrant Sharma,1
Shahbaz Ahmed,12
PJ Cummins,10
TM Head,15
Nithish Kumar Reddy,11
JD Unadkat,5
V Viyaskanth,1
PA Reddy,7
PA Patel,13
KC Sangakkara,9
CL White,14
NLTC Perera,15
GH Vihari,21
A Ashish Reddy,18
DB Ravi Teja,2
A Mishra,10
DW Steyn,15
KV Sharma,27
Q de Kock,3
BB Samantray,7
X Thalaivan Sargunam,1
DJG Sammy,18
I Sharma,2
AJ Finch,13
KL Rahul,16
Y Venugopal Rao,5
IK Pathan,6
S Anirudha,1
Parvez Rasool,2
RS Bopara,8
EJG Morgan,15
P Kumar,4
AP Tare,2
BB Sran,4
