striker,non_striker,runs
AT Rayudu,SR Watson,331
SR Watson,AT Rayudu,405
SK Raina,AT Rayudu,227
AT Rayudu,SK Raina,295
KM Jadhav,AT Rayudu,30
AT Rayudu,KM Jadhav,23
KM Jadhav,MS Dhoni,54
MS Dhoni,KM Jadhav,54
KM Jadhav,RA Jadeja,26
RA Jadeja,KM Jadhav,53
KM Jadhav,DJ Bravo,13
DJ Bravo,KM Jadhav,9
DJ Bravo,DL Chahar,14
DL Chahar,DJ Bravo,1
Harbhajan Singh,DJ Bravo,8
DJ Bravo,Harbhajan Singh,12
MA Wood,DJ Bravo,1
DJ Bravo,MA Wood,10
DJ Bravo,Imran Tahir,39
Imran Tahir,DJ Bravo,2
Imran Tahir,KM Jadhav,0
KM Jadhav,Imran Tahir,10
SK Raina,MS Dhoni,759
MS Dhoni,SK Raina,668
MS Dhoni,SW Billings,46
SW Billings,MS Dhoni,58
SW Billings,RA Jadeja,26
RA Jadeja,SW Billings,3
DJ Bravo,RA Jadeja,154
RA Jadeja,DJ Bravo,164
M Vijay,SR Watson,43
SR Watson,M Vijay,80
AT Rayudu,M Vijay,26
M Vijay,AT Rayudu,39
SW Billings,AT Rayudu,18
AT Rayudu,SW Billings,9
AT Rayudu,MS Dhoni,368
MS Dhoni,AT Rayudu,407
MS Dhoni,RA Jadeja,841
RA Jadeja,MS Dhoni,665
DJ Bravo,MS Dhoni,321
MS Dhoni,DJ Bravo,460
SR Watson,SK Raina,290
SK Raina,SR Watson,227
MS Dhoni,SR Watson,11
SR Watson,MS Dhoni,22
SR Watson,SW Billings,7
SW Billings,SR Watson,3
SR Watson,DJ Bravo,50
DJ Bravo,SR Watson,39
F du Plessis,SR Watson,445
SR Watson,F du Plessis,370
F du Plessis,SK Raina,451
SK Raina,F du Plessis,562
AT Rayudu,RA Jadeja,233
RA Jadeja,AT Rayudu,123
DJ Bravo,SK Raina,63
SK Raina,DJ Bravo,88
SW Billings,SK Raina,3
SK Raina,SW Billings,14
RA Jadeja,SK Raina,78
SK Raina,RA Jadeja,87
KV Sharma,MS Dhoni,0
MS Dhoni,KV Sharma,4
AT Rayudu,DR Shorey,7
DR Shorey,AT Rayudu,8
DR Shorey,MS Dhoni,0
MS Dhoni,DR Shorey,0
DL Chahar,RA Jadeja,3
RA Jadeja,DL Chahar,18
F du Plessis,AT Rayudu,103
AT Rayudu,F du Plessis,127
SK Raina,Harbhajan Singh,8
Harbhajan Singh,SK Raina,19
SK Raina,DL Chahar,15
DL Chahar,SK Raina,39
F du Plessis,MS Dhoni,307
MS Dhoni,F du Plessis,260
F du Plessis,DJ Bravo,38
DJ Bravo,F du Plessis,37
F du Plessis,RA Jadeja,103
RA Jadeja,F du Plessis,62
F du Plessis,DL Chahar,20
DL Chahar,F du Plessis,10
Harbhajan Singh,F du Plessis,2
F du Plessis,Harbhajan Singh,18
SN Thakur,F du Plessis,15
F du Plessis,SN Thakur,11
SK Raina,KM Jadhav,32
KM Jadhav,SK Raina,52
DL Chahar,SN Thakur,12
SN Thakur,DL Chahar,2
MM Sharma,SN Thakur,0
SN Thakur,MM Sharma,11
F du Plessis,KM Jadhav,63
KM Jadhav,F du Plessis,57
RA Jadeja,MJ Santner,16
MJ Santner,RA Jadeja,24
SN Thakur,MS Dhoni,3
MS Dhoni,SN Thakur,48
M Vijay,SK Raina,363
SK Raina,M Vijay,327
M Vijay,KM Jadhav,5
KM Jadhav,M Vijay,6
M Vijay,DR Shorey,7
DR Shorey,M Vijay,5
M Vijay,DJ Bravo,25
DJ Bravo,M Vijay,62
DJ Bravo,MJ Santner,17
MJ Santner,DJ Bravo,14
DL Chahar,MJ Santner,0
MJ Santner,DL Chahar,1
Harbhajan Singh,MJ Santner,1
MJ Santner,Harbhajan Singh,1
Imran Tahir,MJ Santner,0
MJ Santner,Imran Tahir,6
DJ Bravo,AT Rayudu,0
AT Rayudu,DJ Bravo,1
SR Watson,RA Jadeja,4
RA Jadeja,SR Watson,5
RA Jadeja,SN Thakur,10
SN Thakur,RA Jadeja,23
F du Plessis,M Vijay,103
M Vijay,F du Plessis,72
F du Plessis,SM Curran,16
SM Curran,F du Plessis,52
