striker,non_striker,runs
Y Venugopal Rao,AC Gilchrist,14
AC Gilchrist,Y Venugopal Rao,11
AC Gilchrist,VVS Laxman,284
VVS Laxman,AC Gilchrist,136
A Symonds,AC Gilchrist,5
AC Gilchrist,A Symonds,19
A Symonds,RG Sharma,202
RG Sharma,A Symonds,133
A Symonds,SB Styris,3
SB Styris,A Symonds,6
A Symonds,AS Yadav,11
AS Yadav,A Symonds,26
SB Bangar,A Symonds,9
A Symonds,SB Bangar,22
WPUJC Vaas,SB Bangar,0
SB Bangar,WPUJC Vaas,1
SB Bangar,RP Singh,4
RP Singh,SB Bangar,1
PP Ojha,RP Singh,3
RP Singh,PP Ojha,0
VVS Laxman,Y Venugopal Rao,2
Y Venugopal Rao,VVS Laxman,12
Y Venugopal Rao,A Symonds,34
A Symonds,Y Venugopal Rao,69
RG Sharma,Shahid Afridi,25
Shahid Afridi,RG Sharma,16
RG Sharma,SB Bangar,18
SB Bangar,RG Sharma,14
RG Sharma,AS Yadav,33
AS Yadav,RG Sharma,8
AS Yadav,WPUJC Vaas,4
WPUJC Vaas,AS Yadav,1
RP Singh,WPUJC Vaas,1
WPUJC Vaas,RP Singh,11
VVS Laxman,Shahid Afridi,0
Shahid Afridi,VVS Laxman,11
VVS Laxman,A Symonds,7
A Symonds,VVS Laxman,35
VVS Laxman,HH Gibbs,46
HH Gibbs,VVS Laxman,44
RG Sharma,VVS Laxman,61
VVS Laxman,RG Sharma,46
Y Venugopal Rao,RG Sharma,54
RG Sharma,Y Venugopal Rao,159
DNT Zoysa,RG Sharma,1
RG Sharma,DNT Zoysa,20
RG Sharma,D Kalyankrishna,31
D Kalyankrishna,RG Sharma,3
RG Sharma,RP Singh,27
RP Singh,RG Sharma,6
HH Gibbs,AC Gilchrist,372
AC Gilchrist,HH Gibbs,494
AC Gilchrist,RG Sharma,109
RG Sharma,AC Gilchrist,82
LPC Silva,RG Sharma,0
RG Sharma,LPC Silva,0
Y Venugopal Rao,DB Ravi Teja,145
DB Ravi Teja,Y Venugopal Rao,94
Y Venugopal Rao,AS Yadav,4
AS Yadav,Y Venugopal Rao,8
SB Bangar,AS Yadav,17
AS Yadav,SB Bangar,3
AS Yadav,RP Singh,0
RP Singh,AS Yadav,1
DP Vijaykumar,RP Singh,0
RP Singh,DP Vijaykumar,0
AC Gilchrist,SB Styris,58
SB Styris,AC Gilchrist,25
SB Styris,RG Sharma,49
RG Sharma,SB Styris,71
Shahid Afridi,SB Styris,20
