striker,non_striker,runs
S Dhawan,PP Shaw,630
PP Shaw,S Dhawan,793
S Dhawan,SS Iyer,464
SS Iyer,S Dhawan,376
S Dhawan,CA Ingram,40
CA Ingram,S Dhawan,63
S Dhawan,RR Pant,179
RR Pant,S Dhawan,174
RR Pant,KMA Paul,40
KMA Paul,RR Pant,6
AR Patel,RR Pant,100
RR Pant,AR Patel,155
R Tewatia,RR Pant,9
RR Pant,R Tewatia,37
S Dhawan,KMA Paul,1
KMA Paul,S Dhawan,0
S Dhawan,AR Patel,6
AR Patel,S Dhawan,22
R Tewatia,AR Patel,12
AR Patel,R Tewatia,12
PP Shaw,SS Iyer,150
SS Iyer,PP Shaw,148
RR Pant,PP Shaw,140
PP Shaw,RR Pant,125
CA Ingram,PP Shaw,1
PP Shaw,CA Ingram,2
GH Vihari,CA Ingram,4
CA Ingram,GH Vihari,9
HV Patel,CA Ingram,0
CA Ingram,HV Patel,1
SS Iyer,RR Pant,393
RR Pant,SS Iyer,398
RR Pant,CA Ingram,50
CA Ingram,RR Pant,52
CA Ingram,CH Morris,0
CH Morris,CA Ingram,0
GH Vihari,HV Patel,0
HV Patel,GH Vihari,0
K Rabada,GH Vihari,0
GH Vihari,K Rabada,0
K Rabada,Avesh Khan,0
Avesh Khan,K Rabada,9
Avesh Khan,S Lamichhane,0
S Lamichhane,Avesh Khan,0
SS Iyer,R Tewatia,3
R Tewatia,SS Iyer,5
SS Iyer,CA Ingram,32
CA Ingram,SS Iyer,48
SS Iyer,CH Morris,10
CH Morris,SS Iyer,8
CH Morris,AR Patel,22
AR Patel,CH Morris,27
K Rabada,AR Patel,30
AR Patel,K Rabada,21
I Sharma,AR Patel,0
AR Patel,I Sharma,14
RR Pant,CH Morris,0
CH Morris,RR Pant,2
S Dhawan,C Munro,3
C Munro,S Dhawan,21
SS Iyer,C Munro,23
C Munro,SS Iyer,46
KMA Paul,AR Patel,7
AR Patel,KMA Paul,10
PP Shaw,C Munro,6
C Munro,PP Shaw,3
K Rabada,A Mishra,9
A Mishra,K Rabada,3
I Sharma,A Mishra,10
A Mishra,I Sharma,3
SS Iyer,AR Patel,30
AR Patel,SS Iyer,32
SS Iyer,SE Rutherford,8
SE Rutherford,SS Iyer,4
SE Rutherford,RR Pant,41
RR Pant,SE Rutherford,52
CA Ingram,SE Rutherford,10
SE Rutherford,CA Ingram,2
SE Rutherford,AR Patel,26
AR Patel,SE Rutherford,16
SS Iyer,J Suchith,0
J Suchith,SS Iyer,1
A Mishra,J Suchith,2
J Suchith,A Mishra,5
TA Boult,A Mishra,7
A Mishra,TA Boult,12
C Munro,RR Pant,14
RR Pant,C Munro,10
A Mishra,KMA Paul,1
KMA Paul,A Mishra,1
TA Boult,KMA Paul,0
KMA Paul,TA Boult,4
RR Pant,A Mishra,6
A Mishra,RR Pant,0
PP Shaw,SO Hetmyer,0
SO Hetmyer,PP Shaw,3
SS Iyer,SO Hetmyer,51
SO Hetmyer,SS Iyer,78
MP Stoinis,SS Iyer,20
SS Iyer,MP Stoinis,55
MP Stoinis,AR Patel,54
AR Patel,MP Stoinis,47
MP Stoinis,R Ashwin,26
R Ashwin,MP Stoinis,4
K Rabada,MP Stoinis,0
MP Stoinis,K Rabada,25
K Rabada,A Nortje,6
A Nortje,K Rabada,6
S Dhawan,AM Rahane,91
AM Rahane,S Dhawan,75
K Rabada,R Ashwin,9
R Ashwin,K Rabada,12
R Ashwin,TU Deshpande,9
TU Deshpande,R Ashwin,16
A Nortje,R Ashwin,0
R Ashwin,A Nortje,0
RR Pant,MP Stoinis,96
MP Stoinis,RR Pant,170
SO Hetmyer,MP Stoinis,25
MP Stoinis,SO Hetmyer,26
SO Hetmyer,HV Patel,36
HV Patel,SO Hetmyer,12
HV Patel,AR Patel,8
AR Patel,HV Patel,17
K Rabada,HV Patel,1
HV Patel,K Rabada,1
AM Rahane,SS Iyer,14
SS Iyer,AM Rahane,7
AM Rahane,RR Pant,7
RR Pant,AM Rahane,18
MP Stoinis,S Dhawan,102
S Dhawan,MP Stoinis,113
AT Carey,S Dhawan,18
S Dhawan,AT Carey,36
AM Rahane,MP Stoinis,6
MP Stoinis,AM Rahane,5
SO Hetmyer,AM Rahane,16
AM Rahane,SO Hetmyer,19
RR Pant,K Rabada,17
K Rabada,RR Pant,3
R Ashwin,RR Pant,9
RR Pant,R Ashwin,18
TU Deshpande,A Nortje,5
A Nortje,TU Deshpande,1
RR Pant,SO Hetmyer,97
SO Hetmyer,RR Pant,123
R Ashwin,SO Hetmyer,0
SO Hetmyer,R Ashwin,5
R Ashwin,P Dubey,12
P Dubey,R Ashwin,5
K Rabada,P Dubey,12
P Dubey,K Rabada,2
MP Stoinis,AT Carey,6
AT Carey,MP Stoinis,13
AR Patel,AT Carey,3
AT Carey,AR Patel,1
R Ashwin,AR Patel,0
AR Patel,R Ashwin,4
SO Hetmyer,S Dhawan,62
S Dhawan,SO Hetmyer,30
AR Patel,DR Sams,0
DR Sams,AR Patel,0
K Rabada,SS Iyer,0
SS Iyer,K Rabada,7
RR Pant,Lalit Yadav,113
Lalit Yadav,RR Pant,59
TK Curran,Lalit Yadav,6
Lalit Yadav,TK Curran,6
CR Woakes,TK Curran,13
TK Curran,CR Woakes,15
CR Woakes,R Ashwin,0
R Ashwin,CR Woakes,7
K Rabada,CR Woakes,9
CR Woakes,K Rabada,2
SPD Smith,S Dhawan,77
S Dhawan,SPD Smith,101
Lalit Yadav,MP Stoinis,12
MP Stoinis,Lalit Yadav,5
S Dhawan,Lalit Yadav,25
Lalit Yadav,S Dhawan,10
SO Hetmyer,Lalit Yadav,39
Lalit Yadav,SO Hetmyer,10
SPD Smith,RR Pant,54
RR Pant,SPD Smith,54
SO Hetmyer,SPD Smith,1
SPD Smith,SO Hetmyer,2
SPD Smith,MP Stoinis,11
MP Stoinis,SPD Smith,2
PP Shaw,SPD Smith,1
SPD Smith,PP Shaw,5
SS Iyer,SPD Smith,1
SPD Smith,SS Iyer,3
Lalit Yadav,AR Patel,43
AR Patel,Lalit Yadav,62
R Ashwin,Lalit Yadav,6
Lalit Yadav,R Ashwin,4
SO Hetmyer,RV Patel,12
RV Patel,SO Hetmyer,7
S Dhawan,RV Patel,4
RV Patel,S Dhawan,18
R Ashwin,S Dhawan,2
S Dhawan,R Ashwin,3
AR Patel,SO Hetmyer,5
SO Hetmyer,AR Patel,27
SO Hetmyer,K Rabada,0
K Rabada,SO Hetmyer,4
SS Iyer,R Ashwin,17
R Ashwin,SS Iyer,20
AR Patel,PP Shaw,11
PP Shaw,AR Patel,17
TK Curran,RR Pant,0
RR Pant,TK Curran,9
TL Seifert,PP Shaw,24
PP Shaw,TL Seifert,12
PP Shaw,Mandeep Singh,5
Mandeep Singh,PP Shaw,18
PP Shaw,Lalit Yadav,31
Lalit Yadav,PP Shaw,7
Lalit Yadav,R Powell,12
R Powell,Lalit Yadav,16
Lalit Yadav,SN Thakur,30
SN Thakur,Lalit Yadav,32
Mandeep Singh,RR Pant,0
RR Pant,Mandeep Singh,1
R Powell,RR Pant,78
RR Pant,R Powell,49
R Powell,AR Patel,21
AR Patel,R Powell,60
R Powell,SN Thakur,30
SN Thakur,R Powell,12
Kuldeep Yadav,R Powell,3
R Powell,Kuldeep Yadav,26
Kuldeep Yadav,KK Ahmed,0
KK Ahmed,Kuldeep Yadav,0
