striker,non_striker,runs
SW Billings,AP Tare,14
AP Tare,SW Billings,18
SW Billings,KK Nair,50
KK Nair,SW Billings,65
SW Billings,SV Samson,100
SV Samson,SW Billings,99
RR Pant,SV Samson,179
SV Samson,RR Pant,122
RR Pant,CH Morris,28
CH Morris,RR Pant,31
CR Brathwaite,RR Pant,8
RR Pant,CR Brathwaite,6
RR Pant,PJ Cummins,7
PJ Cummins,RR Pant,13
RR Pant,A Mishra,14
A Mishra,RR Pant,6
A Mishra,S Nadeem,2
S Nadeem,A Mishra,0
Z Khan,A Mishra,3
A Mishra,Z Khan,8
CJ Anderson,SV Samson,1
SV Samson,CJ Anderson,40
CJ Anderson,CH Morris,41
CH Morris,CJ Anderson,75
SW Billings,SS Iyer,15
SS Iyer,SW Billings,22
RR Pant,SW Billings,1
SW Billings,RR Pant,6
CJ Anderson,RR Pant,9
RR Pant,CJ Anderson,30
CJ Anderson,PJ Cummins,25
PJ Cummins,CJ Anderson,12
SV Samson,KK Nair,203
KK Nair,SV Samson,169
KK Nair,SS Iyer,105
SS Iyer,KK Nair,88
KK Nair,RR Pant,124
RR Pant,KK Nair,88
AD Mathews,RR Pant,1
RR Pant,AD Mathews,34
CH Morris,PJ Cummins,18
PJ Cummins,CH Morris,7
PJ Cummins,Mohammed Shami,0
Mohammed Shami,PJ Cummins,0
SV Samson,SS Iyer,54
SS Iyer,SV Samson,71
AD Mathews,SS Iyer,31
SS Iyer,AD Mathews,36
CH Morris,SS Iyer,15
SS Iyer,CH Morris,5
AP Tare,SV Samson,0
SV Samson,AP Tare,1
KK Nair,CJ Anderson,8
CJ Anderson,KK Nair,9
KK Nair,K Rabada,0
K Rabada,KK Nair,2
K Rabada,CH Morris,42
CH Morris,K Rabada,45
RR Pant,SS Iyer,342
SS Iyer,RR Pant,186
CH Morris,AR Bawne,2
AR Bawne,CH Morris,11
PJ Cummins,AR Bawne,0
AR Bawne,PJ Cummins,1
CJ Anderson,K Rabada,14
K Rabada,CJ Anderson,11
K Rabada,A Mishra,0
A Mishra,K Rabada,3
Mohammed Shami,A Mishra,20
A Mishra,Mohammed Shami,20
SS Iyer,CJ Anderson,43
CJ Anderson,SS Iyer,39
CJ Anderson,MN Samuels,4
MN Samuels,CJ Anderson,0
MN Samuels,PJ Cummins,1
PJ Cummins,MN Samuels,4
PJ Cummins,K Rabada,6
K Rabada,PJ Cummins,0
MN Samuels,SS Iyer,1
SS Iyer,MN Samuels,19
SS Iyer,CR Brathwaite,5
CR Brathwaite,SS Iyer,11
SS Iyer,PJ Cummins,37
PJ Cummins,SS Iyer,24
Mohammed Shami,SS Iyer,4
SS Iyer,Mohammed Shami,1
KK Nair,MN Samuels,6
MN Samuels,KK Nair,27
KK Nair,PJ Cummins,4
PJ Cummins,KK Nair,11
KK Nair,A Mishra,11
A Mishra,KK Nair,10
RR Pant,MN Samuels,0
MN Samuels,RR Pant,0
S Nadeem,Mohammed Shami,8
Mohammed Shami,S Nadeem,19
S Nadeem,Z Khan,1
Z Khan,S Nadeem,3
G Gambhir,C Munro,7
C Munro,G Gambhir,4
G Gambhir,SS Iyer,35
SS Iyer,G Gambhir,15
G Gambhir,V Shankar,9
V Shankar,G Gambhir,13
RR Pant,G Gambhir,35
G Gambhir,RR Pant,7
R Tewatia,G Gambhir,8
G Gambhir,R Tewatia,4
CH Morris,R Tewatia,1
R Tewatia,CH Morris,5
CH Morris,DT Christian,26
DT Christian,CH Morris,13
C Munro,GJ Maxwell,0
GJ Maxwell,C Munro,0
RR Pant,GJ Maxwell,118
GJ Maxwell,RR Pant,59
CH Morris,V Shankar,2
V Shankar,CH Morris,4
G Gambhir,JJ Roy,20
JJ Roy,G Gambhir,39
RR Pant,JJ Roy,47
JJ Roy,RR Pant,22
JJ Roy,GJ Maxwell,3
GJ Maxwell,JJ Roy,13
SS Iyer,JJ Roy,40
JJ Roy,SS Iyer,43
GJ Maxwell,R Tewatia,10
R Tewatia,GJ Maxwell,1
GJ Maxwell,V Shankar,20
V Shankar,GJ Maxwell,26
V Shankar,Mohammed Shami,0
Mohammed Shami,V Shankar,1
S Nadeem,TA Boult,1
TA Boult,S Nadeem,0
R Tewatia,RR Pant,9
RR Pant,R Tewatia,49
G Gambhir,PP Shaw,2
PP Shaw,G Gambhir,22
G Gambhir,GJ Maxwell,1
GJ Maxwell,G Gambhir,12
SS Iyer,DT Christian,9
DT Christian,SS Iyer,6
SS Iyer,R Tewatia,18
R Tewatia,SS Iyer,24
LE Plunkett,SS Iyer,0
SS Iyer,LE Plunkett,1
A Mishra,SS Iyer,1
SS Iyer,A Mishra,14
C Munro,PP Shaw,33
PP Shaw,C Munro,36
SS Iyer,PP Shaw,88
PP Shaw,SS Iyer,157
SS Iyer,GJ Maxwell,45
GJ Maxwell,SS Iyer,33
V Shankar,SS Iyer,8
SS Iyer,V Shankar,19
C Munro,SS Iyer,26
SS Iyer,C Munro,10
RR Pant,V Shankar,118
V Shankar,RR Pant,52
R Tewatia,V Shankar,3
V Shankar,R Tewatia,30
LE Plunkett,GJ Maxwell,1
GJ Maxwell,LE Plunkett,4
GJ Maxwell,PP Shaw,18
PP Shaw,GJ Maxwell,19
RR Pant,NV Ojha,5
NV Ojha,RR Pant,1
V Shankar,DT Christian,22
DT Christian,V Shankar,7
JJ Roy,PP Shaw,13
PP Shaw,JJ Roy,11
HV Patel,RR Pant,24
RR Pant,HV Patel,30
Abhishek Sharma,V Shankar,63
V Shankar,Abhishek Sharma,30
V Shankar,HV Patel,27
HV Patel,V Shankar,36
V Sehwag,G Gambhir,493
G Gambhir,V Sehwag,373
G Gambhir,S Dhawan,258
S Dhawan,G Gambhir,229
V Sehwag,S Dhawan,94
S Dhawan,V Sehwag,34
G Gambhir,Shoaib Malik,16
Shoaib Malik,G Gambhir,23
Shoaib Malik,MK Tiwary,2
MK Tiwary,Shoaib Malik,5
MK Tiwary,KD Karthik,32
KD Karthik,MK Tiwary,60
R Bhatia,MK Tiwary,25
MK Tiwary,R Bhatia,19
