striker,non_striker,runs
BB McCullum,JJ Roy,12
JJ Roy,BB McCullum,43
BB McCullum,SK Raina,281
SK Raina,BB McCullum,222
SK Raina,AJ Finch,146
AJ Finch,SK Raina,222
KD Karthik,SK Raina,307
SK Raina,KD Karthik,259
DR Smith,SK Raina,48
SK Raina,DR Smith,45
JJ Roy,SK Raina,2
SK Raina,JJ Roy,0
DR Smith,KD Karthik,100
KD Karthik,DR Smith,48
DS Kulkarni,KD Karthik,1
KD Karthik,DS Kulkarni,0
DS Kulkarni,P Kumar,9
P Kumar,DS Kulkarni,2
P Kumar,Basil Thampi,6
Basil Thampi,P Kumar,13
BB McCullum,DR Smith,175
DR Smith,BB McCullum,249
Ishan Kishan,BB McCullum,63
BB McCullum,Ishan Kishan,44
Ishan Kishan,KD Karthik,30
KD Karthik,Ishan Kishan,61
JJ Roy,KD Karthik,14
KD Karthik,JJ Roy,8
AJ Finch,BB McCullum,139
BB McCullum,AJ Finch,109
BB McCullum,KD Karthik,26
KD Karthik,BB McCullum,35
RA Jadeja,BB McCullum,32
BB McCullum,RA Jadeja,26
Ishan Kishan,RA Jadeja,34
RA Jadeja,Ishan Kishan,47
Ishan Kishan,AJ Tye,20
AJ Tye,Ishan Kishan,5
Basil Thampi,AJ Tye,0
AJ Tye,Basil Thampi,1
SK Raina,Ishan Kishan,39
Ishan Kishan,SK Raina,53
SK Raina,RA Jadeja,86
RA Jadeja,SK Raina,42
RA Jadeja,JP Faulkner,29
JP Faulkner,RA Jadeja,37
RA Jadeja,KD Karthik,87
KD Karthik,RA Jadeja,104
KD Karthik,AD Nath,0
AD Nath,KD Karthik,0
KD Karthik,AJ Tye,12
AJ Tye,KD Karthik,22
KD Karthik,Basil Thampi,20
Basil Thampi,KD Karthik,13
AJ Finch,Ishan Kishan,14
Ishan Kishan,AJ Finch,6
IK Pathan,JP Faulkner,2
JP Faulkner,IK Pathan,3
AJ Tye,JP Faulkner,25
JP Faulkner,AJ Tye,15
Basil Thampi,JP Faulkner,0
JP Faulkner,Basil Thampi,0
Ankit Soni,Basil Thampi,7
Basil Thampi,Ankit Soni,2
JP Faulkner,KD Karthik,6
KD Karthik,JP Faulkner,4
KD Karthik,PJ Sangwan,1
PJ Sangwan,KD Karthik,1
AJ Finch,KD Karthik,133
KD Karthik,AJ Finch,87
RA Jadeja,AJ Finch,52
AJ Finch,RA Jadeja,75
PJ Sangwan,RA Jadeja,1
RA Jadeja,PJ Sangwan,15
Ishan Kishan,DR Smith,93
DR Smith,Ishan Kishan,122
Ankit Soni,RA Jadeja,0
RA Jadeja,Ankit Soni,8
RA Jadeja,P Kumar,0
P Kumar,RA Jadeja,1
RA Jadeja,MM Patel,0
MM Patel,RA Jadeja,0
DJ Bravo,KD Karthik,6
KD Karthik,DJ Bravo,9
DJ Bravo,SK Raina,28
SK Raina,DJ Bravo,27
DJ Bravo,RA Jadeja,29
RA Jadeja,DJ Bravo,12
AJ Finch,DJ Bravo,26
DJ Bravo,AJ Finch,21
AJ Finch,AD Nath,30
AD Nath,AJ Finch,15
JP Faulkner,AJ Finch,7
AJ Finch,JP Faulkner,10
AJ Finch,P Kumar,14
P Kumar,AJ Finch,7
AJ Finch,DS Kulkarni,11
DS Kulkarni,AJ Finch,8
SK Raina,AD Nath,11
AD Nath,SK Raina,5
DW Steyn,AD Nath,0
AD Nath,DW Steyn,0
P Kumar,DW Steyn,1
DW Steyn,P Kumar,1
DJ Bravo,JP Faulkner,7
JP Faulkner,DJ Bravo,22
SK Raina,JP Faulkner,6
JP Faulkner,SK Raina,6
JP Faulkner,Ishan Kishan,9
Ishan Kishan,JP Faulkner,20
P Kumar,JP Faulkner,15
JP Faulkner,P Kumar,26
DS Kulkarni,JP Faulkner,0
JP Faulkner,DS Kulkarni,0
S Kaushik,DS Kulkarni,0
DS Kulkarni,S Kaushik,6
DR Smith,AJ Finch,1
AJ Finch,DR Smith,1
AJ Finch,PV Tambe,18
PV Tambe,AJ Finch,7
PV Tambe,S Kaushik,0
S Kaushik,PV Tambe,0
RA Jadeja,DR Smith,24
DR Smith,RA Jadeja,37
DR Smith,DJ Bravo,6
DJ Bravo,DR Smith,2
ER Dwivedi,DJ Bravo,19
DJ Bravo,ER Dwivedi,6
P Kumar,DJ Bravo,0
DJ Bravo,P Kumar,0
DS Kulkarni,SB Jakati,1
SB Jakati,DS Kulkarni,1
BB McCullum,ER Dwivedi,1
ER Dwivedi,BB McCullum,5
RA Jadeja,DS Kulkarni,1
DS Kulkarni,RA Jadeja,3
