striker,non_striker,runs
M Vohra,HM Amla,81
HM Amla,M Vohra,63
WP Saha,HM Amla,83
HM Amla,WP Saha,67
HM Amla,AR Patel,40
AR Patel,HM Amla,36
GJ Maxwell,AR Patel,12
AR Patel,GJ Maxwell,5
DA Miller,GJ Maxwell,176
GJ Maxwell,DA Miller,398
HM Amla,GJ Maxwell,131
GJ Maxwell,HM Amla,154
HM Amla,MP Stoinis,5
MP Stoinis,HM Amla,12
DA Miller,WP Saha,146
WP Saha,DA Miller,172
AR Patel,WP Saha,125
WP Saha,AR Patel,102
AR Patel,MM Sharma,35
MM Sharma,AR Patel,23
VR Aaron,MM Sharma,4
MM Sharma,VR Aaron,9
Sandeep Sharma,VR Aaron,0
VR Aaron,Sandeep Sharma,0
HM Amla,EJG Morgan,8
EJG Morgan,HM Amla,2
EJG Morgan,DA Miller,20
DA Miller,EJG Morgan,11
AR Patel,DA Miller,78
DA Miller,AR Patel,144
AR Patel,KC Cariappa,0
KC Cariappa,AR Patel,1
AR Patel,Sandeep Sharma,17
Sandeep Sharma,AR Patel,9
M Vohra,GJ Maxwell,32
GJ Maxwell,M Vohra,40
EJG Morgan,M Vohra,13
M Vohra,EJG Morgan,22
M Vohra,DA Miller,72
DA Miller,M Vohra,68
M Vohra,WP Saha,150
WP Saha,M Vohra,211
AR Patel,M Vohra,9
M Vohra,AR Patel,17
MM Sharma,M Vohra,10
M Vohra,MM Sharma,34
KC Cariappa,M Vohra,1
M Vohra,KC Cariappa,16
M Vohra,I Sharma,0
I Sharma,M Vohra,1
I Sharma,Sandeep Sharma,1
Sandeep Sharma,I Sharma,5
SE Marsh,HM Amla,114
HM Amla,SE Marsh,119
MP Stoinis,GJ Maxwell,0
GJ Maxwell,MP Stoinis,4
MP Stoinis,AR Patel,15
AR Patel,MP Stoinis,18
WP Saha,MM Sharma,16
MM Sharma,WP Saha,4
M Vohra,MJ Guptill,28
MJ Guptill,M Vohra,34
SE Marsh,M Vohra,93
M Vohra,SE Marsh,94
SE Marsh,GJ Maxwell,87
GJ Maxwell,SE Marsh,55
EJG Morgan,SE Marsh,26
SE Marsh,EJG Morgan,45
WP Saha,SE Marsh,72
SE Marsh,WP Saha,98
AR Patel,SE Marsh,10
SE Marsh,AR Patel,9
Anureet Singh,AR Patel,3
AR Patel,Anureet Singh,15
MM Sharma,Anureet Singh,2
Anureet Singh,MM Sharma,11
I Sharma,Anureet Singh,5
Anureet Singh,I Sharma,1
HM Amla,MJ Guptill,17
MJ Guptill,HM Amla,53
MJ Guptill,SE Marsh,9
SE Marsh,MJ Guptill,9
GJ Maxwell,WP Saha,262
WP Saha,GJ Maxwell,146
AR Patel,VR Aaron,18
VR Aaron,AR Patel,0
AR Patel,Swapnil Singh,6
Swapnil Singh,AR Patel,8
AR Patel,R Tewatia,1
R Tewatia,AR Patel,15
WP Saha,MJ Guptill,29
MJ Guptill,WP Saha,36
WP Saha,EJG Morgan,1
EJG Morgan,WP Saha,4
R Tewatia,WP Saha,4
WP Saha,R Tewatia,2
Swapnil Singh,MM Sharma,4
MM Sharma,Swapnil Singh,4
MM Sharma,I Sharma,1
I Sharma,MM Sharma,1
Sandeep Sharma,MM Sharma,1
MM Sharma,Sandeep Sharma,2
MA Agarwal,KL Rahul,559
KL Rahul,MA Agarwal,530
KL Rahul,Yuvraj Singh,0
Yuvraj Singh,KL Rahul,10
KK Nair,Yuvraj Singh,44
Yuvraj Singh,KK Nair,30
KK Nair,DA Miller,35
DA Miller,KK Nair,37
DA Miller,MP Stoinis,6
MP Stoinis,DA Miller,22
KL Rahul,AJ Finch,77
AJ Finch,KL Rahul,53
KK Nair,KL Rahul,83
KL Rahul,KK Nair,138
KK Nair,MP Stoinis,3
MP Stoinis,KK Nair,5
AR Patel,R Ashwin,1
R Ashwin,AR Patel,11
AJ Tye,R Ashwin,26
R Ashwin,AJ Tye,51
MM Sharma,R Ashwin,0
R Ashwin,MM Sharma,10
MM Sharma,Mujeeb Ur Rahman,1
Mujeeb Ur Rahman,MM Sharma,0
CH Gayle,KL Rahul,709
KL Rahul,CH Gayle,582
MA Agarwal,CH Gayle,119
CH Gayle,MA Agarwal,128
MA Agarwal,Yuvraj Singh,4
Yuvraj Singh,MA Agarwal,18
Yuvraj Singh,AJ Finch,0
AJ Finch,Yuvraj Singh,0
KK Nair,R Ashwin,33
R Ashwin,KK Nair,14
AJ Tye,KK Nair,1
KK Nair,AJ Tye,4
BB Sran,AJ Tye,0
AJ Tye,BB Sran,4
CH Gayle,KK Nair,56
KK Nair,CH Gayle,32
AJ Finch,CH Gayle,14
CH Gayle,AJ Finch,11
MA Agarwal,KK Nair,17
KK Nair,MA Agarwal,24
R Ashwin,DA Miller,2
DA Miller,R Ashwin,8
AJ Finch,KK Nair,2
KK Nair,AJ Finch,3
AJ Finch,MK Tiwary,6
MK Tiwary,AJ Finch,0
MK Tiwary,R Ashwin,1
R Ashwin,MK Tiwary,3
R Ashwin,BB Sran,1
BB Sran,R Ashwin,3
R Ashwin,AS Rajpoot,0
AS Rajpoot,R Ashwin,2
Mujeeb Ur Rahman,AS Rajpoot,10
AS Rajpoot,Mujeeb Ur Rahman,6
CH Gayle,Yuvraj Singh,22
Yuvraj Singh,CH Gayle,6
KK Nair,AR Patel,44
AR Patel,KK Nair,27
MA Agarwal,MP Stoinis,11
MP Stoinis,MA Agarwal,17
R Ashwin,MP Stoinis,0
MP Stoinis,R Ashwin,10
KL Rahul,AR Patel,21
AR Patel,KL Rahul,15
KL Rahul,MP Stoinis,82
MP Stoinis,KL Rahul,35
KL Rahul,R Ashwin,0
R Ashwin,KL Rahul,0
AD Nath,KL Rahul,9
KL Rahul,AD Nath,17
MK Tiwary,KL Rahul,9
KL Rahul,MK Tiwary,13
KL Rahul,AJ Tye,14
AJ Tye,KL Rahul,1
AR Patel,AJ Finch,23
AJ Finch,AR Patel,17
R Ashwin,AJ Finch,10
AJ Finch,R Ashwin,27
BB Sran,MM Sharma,0
MM Sharma,BB Sran,4
AJ Finch,MP Stoinis,7
MP Stoinis,AJ Finch,2
AJ Finch,MA Agarwal,8
MA Agarwal,AJ Finch,2
AJ Tye,AR Patel,0
AR Patel,AJ Tye,1
AR Patel,AS Rajpoot,2
AS Rajpoot,AR Patel,1
Yuvraj Singh,AR Patel,1
AR Patel,Yuvraj Singh,2
MK Tiwary,AR Patel,4
AR Patel,MK Tiwary,6
DA Miller,MK Tiwary,23
MK Tiwary,DA Miller,33
KK Nair,MM Sharma,17
MM Sharma,KK Nair,1
MM Sharma,AS Rajpoot,1
AS Rajpoot,MM Sharma,2
CH Gayle,SN Khan,59
SN Khan,CH Gayle,41
SN Khan,N Pooran,9
N Pooran,SN Khan,12
Mandeep Singh,SN Khan,5
SN Khan,Mandeep Singh,13
MA Agarwal,SN Khan,23
SN Khan,MA Agarwal,42
DA Miller,MA Agarwal,37
MA Agarwal,DA Miller,34
DA Miller,Mandeep Singh,132
Mandeep Singh,DA Miller,97
KL Rahul,DA Miller,98
DA Miller,KL Rahul,70
SM Curran,KL Rahul,13
KL Rahul,SM Curran,23
SM Curran,MA Agarwal,20
MA Agarwal,SM Curran,1
DA Miller,SN Khan,39
SN Khan,DA Miller,32
GC Viljoen,Mandeep Singh,1
Mandeep Singh,GC Viljoen,7
R Ashwin,Mandeep Singh,18
Mandeep Singh,R Ashwin,17
Mandeep Singh,M Ashwin,2
M Ashwin,Mandeep Singh,2
Mohammed Shami,Mandeep Singh,0
Mandeep Singh,Mohammed Shami,3
Mujeeb Ur Rahman,Mandeep Singh,0
Mandeep Singh,Mujeeb Ur Rahman,10
SN Khan,KL Rahul,55
KL Rahul,SN Khan,54
SM Curran,Mandeep Singh,29
Mandeep Singh,SM Curran,19
Mandeep Singh,KL Rahul,72
KL Rahul,Mandeep Singh,94
SM Curran,CH Gayle,1
CH Gayle,SM Curran,2
CH Gayle,Mandeep Singh,120
Mandeep Singh,CH Gayle,83
DA Miller,N Pooran,27
N Pooran,DA Miller,50
Mujeeb Ur Rahman,R Ashwin,0
R Ashwin,Mujeeb Ur Rahman,17
CH Gayle,DA Miller,12
DA Miller,CH Gayle,7
R Ashwin,Harpreet Brar,7
Harpreet Brar,R Ashwin,13
GC Viljoen,Harpreet Brar,2
Harpreet Brar,GC Viljoen,7
N Pooran,Mandeep Singh,39
Mandeep Singh,N Pooran,17
KL Rahul,N Pooran,89
N Pooran,KL Rahul,156
P Simran Singh,KL Rahul,26
KL Rahul,P Simran Singh,50
M Ashwin,P Simran Singh,0
P Simran Singh,M Ashwin,5
M Ashwin,Mujeeb Ur Rahman,0
Mujeeb Ur Rahman,M Ashwin,0
M Ashwin,Mohammed Shami,1
Mohammed Shami,M Ashwin,1
MA Agarwal,N Pooran,28
N Pooran,MA Agarwal,55
MA Agarwal,Mandeep Singh,10
Mandeep Singh,MA Agarwal,10
R Ashwin,SM Curran,0
SM Curran,R Ashwin,1
SM Curran,AJ Tye,31
AJ Tye,SM Curran,0
N Pooran,CH Gayle,24
CH Gayle,N Pooran,19
MA Agarwal,GJ Maxwell,0
GJ Maxwell,MA Agarwal,1
K Gowtham,MA Agarwal,20
MA Agarwal,K Gowtham,25
MA Agarwal,CJ Jordan,51
CJ Jordan,MA Agarwal,5
Mohammed Shami,CJ Jordan,0
CJ Jordan,Mohammed Shami,0
GJ Maxwell,N Pooran,47
N Pooran,GJ Maxwell,149
DJ Hooda,N Pooran,0
N Pooran,DJ Hooda,2
N Pooran,CJ Jordan,8
CJ Jordan,N Pooran,7
N Pooran,M Ashwin,1
M Ashwin,N Pooran,4
Ravi Bishnoi,N Pooran,0
N Pooran,Ravi Bishnoi,15
GJ Maxwell,JDS Neesham,2
JDS Neesham,GJ Maxwell,4
SN Khan,JDS Neesham,1
JDS Neesham,SN Khan,3
K Gowtham,SN Khan,3
SN Khan,K Gowtham,6
K Gowtham,Ravi Bishnoi,2
Ravi Bishnoi,K Gowtham,1
K Gowtham,Mohammed Shami,17
Mohammed Shami,K Gowtham,2
Mandeep Singh,DJ Hooda,11
DJ Hooda,Mandeep Singh,25
DJ Hooda,JDS Neesham,12
JDS Neesham,DJ Hooda,12
CJ Jordan,DJ Hooda,17
DJ Hooda,CJ Jordan,44
KL Rahul,GJ Maxwell,19
GJ Maxwell,KL Rahul,15
GJ Maxwell,SN Khan,11
SN Khan,GJ Maxwell,14
KL Rahul,DJ Hooda,27
DJ Hooda,KL Rahul,14
Mandeep Singh,GJ Maxwell,0
GJ Maxwell,Mandeep Singh,6
CJ Jordan,GJ Maxwell,0
GJ Maxwell,CJ Jordan,4
GJ Maxwell,CH Gayle,6
CH Gayle,GJ Maxwell,15
GJ Maxwell,DJ Hooda,16
DJ Hooda,GJ Maxwell,7
N Pooran,Mujeeb Ur Rahman,10
Mujeeb Ur Rahman,N Pooran,1
Ravi Bishnoi,Mohammed Shami,0
Mohammed Shami,Ravi Bishnoi,0
SS Cottrell,Ravi Bishnoi,0
Ravi Bishnoi,SS Cottrell,6
Ravi Bishnoi,Arshdeep Singh,0
Arshdeep Singh,Ravi Bishnoi,0
JR Hopes,K Goel,39
