striker,non_striker,runs
CA Lynn,G Gambhir,174
G Gambhir,CA Lynn,135
CA Lynn,RV Uthappa,256
RV Uthappa,CA Lynn,251
MK Pandey,CA Lynn,23
CA Lynn,MK Pandey,43
MK Pandey,YK Pathan,279
YK Pathan,MK Pandey,292
SA Yadav,MK Pandey,70
MK Pandey,SA Yadav,104
CR Woakes,MK Pandey,12
MK Pandey,CR Woakes,9
SP Narine,MK Pandey,2
MK Pandey,SP Narine,39
G Gambhir,SP Narine,72
SP Narine,G Gambhir,143
G Gambhir,RV Uthappa,784
RV Uthappa,G Gambhir,1011
MK Pandey,G Gambhir,356
G Gambhir,MK Pandey,420
RV Uthappa,MK Pandey,384
MK Pandey,RV Uthappa,251
SA Yadav,YK Pathan,151
YK Pathan,SA Yadav,183
YK Pathan,C de Grandhomme,9
C de Grandhomme,YK Pathan,5
YK Pathan,CR Woakes,1
CR Woakes,YK Pathan,1
C de Grandhomme,G Gambhir,31
G Gambhir,C de Grandhomme,16
YK Pathan,Shakib Al Hasan,160
Shakib Al Hasan,YK Pathan,163
SP Narine,RV Uthappa,149
RV Uthappa,SP Narine,87
SA Yadav,C de Grandhomme,3
C de Grandhomme,SA Yadav,13
SA Yadav,CR Woakes,18
CR Woakes,SA Yadav,19
NM Coulter-Nile,SA Yadav,14
SA Yadav,NM Coulter-Nile,19
UT Yadav,SA Yadav,3
SA Yadav,UT Yadav,18
UT Yadav,Kuldeep Yadav,5
Kuldeep Yadav,UT Yadav,10
DM Bravo,G Gambhir,1
G Gambhir,DM Bravo,0
MK Pandey,DM Bravo,0
DM Bravo,MK Pandey,5
G Gambhir,SP Jackson,13
SP Jackson,G Gambhir,22
YK Pathan,RV Uthappa,75
RV Uthappa,YK Pathan,107
YK Pathan,SP Jackson,8
SP Jackson,YK Pathan,10
C de Grandhomme,SP Jackson,17
SP Jackson,C de Grandhomme,6
C de Grandhomme,CR Woakes,7
CR Woakes,C de Grandhomme,14
MK Pandey,C de Grandhomme,37
C de Grandhomme,MK Pandey,52
SP Narine,CA Lynn,373
CA Lynn,SP Narine,320
CA Lynn,C de Grandhomme,2
C de Grandhomme,CA Lynn,1
MK Pandey,Kuldeep Yadav,10
Kuldeep Yadav,MK Pandey,10
UT Yadav,TA Boult,1
TA Boult,UT Yadav,5
IR Jaggi,G Gambhir,6
G Gambhir,IR Jaggi,33
IR Jaggi,C de Grandhomme,0
C de Grandhomme,IR Jaggi,0
SA Yadav,IR Jaggi,27
IR Jaggi,SA Yadav,27
SA Yadav,PP Chawla,10
PP Chawla,SA Yadav,4
AS Rajpoot,UT Yadav,4
UT Yadav,AS Rajpoot,2
RV Uthappa,N Rana,199
N Rana,RV Uthappa,248
KD Karthik,N Rana,200
N Rana,KD Karthik,225
KD Karthik,RK Singh,47
RK Singh,KD Karthik,11
KD Karthik,AD Russell,239
AD Russell,KD Karthik,419
R Vinay Kumar,KD Karthik,6
KD Karthik,R Vinay Kumar,6
KD Karthik,RV Uthappa,25
RV Uthappa,KD Karthik,42
AD Russell,TK Curran,34
TK Curran,AD Russell,2
CA Lynn,N Rana,118
N Rana,CA Lynn,151
KD Karthik,CA Lynn,122
CA Lynn,KD Karthik,114
Shubman Gill,KD Karthik,176
KD Karthik,Shubman Gill,227
Shivam Mavi,KD Karthik,3
KD Karthik,Shivam Mavi,13
Shivam Mavi,MG Johnson,4
MG Johnson,Shivam Mavi,4
AD Russell,N Rana,218
N Rana,AD Russell,161
N Rana,Shubman Gill,346
Shubman Gill,N Rana,327
TK Curran,Shubman Gill,3
Shubman Gill,TK Curran,1
TK Curran,PP Chawla,6
PP Chawla,TK Curran,11
Shivam Mavi,TK Curran,0
TK Curran,Shivam Mavi,0
Shubman Gill,PP Chawla,22
PP Chawla,Shubman Gill,18
SP Narine,N Rana,126
N Rana,SP Narine,58
Shubman Gill,AD Russell,130
AD Russell,Shubman Gill,197
AD Russell,Shivam Mavi,8
Shivam Mavi,AD Russell,2
PP Chawla,AD Russell,10
AD Russell,PP Chawla,44
PP Chawla,MG Johnson,0
MG Johnson,PP Chawla,2
Kuldeep Yadav,MG Johnson,7
MG Johnson,Kuldeep Yadav,10
CA Lynn,AD Russell,6
AD Russell,CA Lynn,17
CA Lynn,Shubman Gill,160
Shubman Gill,CA Lynn,81
Shubman Gill,SP Narine,49
SP Narine,Shubman Gill,62
Shubman Gill,RK Singh,11
RK Singh,Shubman Gill,16
Shubman Gill,RV Uthappa,63
RV Uthappa,Shubman Gill,66
SP Narine,KD Karthik,25
KD Karthik,SP Narine,74
PP Chawla,KD Karthik,7
KD Karthik,PP Chawla,11
RK Singh,N Rana,188
N Rana,RK Singh,188
TK Curran,RK Singh,4
RK Singh,TK Curran,5
Kuldeep Yadav,TK Curran,4
TK Curran,Kuldeep Yadav,8
M Prasidh Krishna,Kuldeep Yadav,1
Kuldeep Yadav,M Prasidh Krishna,1
RV Uthappa,AD Russell,100
AD Russell,RV Uthappa,154
JPR Scantlebury-Searles,Shubman Gill,6
Shubman Gill,JPR Scantlebury-Searles,9
JPR Scantlebury-Searles,AD Russell,2
AD Russell,JPR Scantlebury-Searles,25
Shubman Gill,Shivam Mavi,9
Shivam Mavi,Shubman Gill,6
Kuldeep Yadav,Shubman Gill,0
Shubman Gill,Kuldeep Yadav,0
CA Lynn,NS Naik,8
NS Naik,CA Lynn,7
PP Chawla,Kuldeep Yadav,10
Kuldeep Yadav,PP Chawla,12
AD Russell,Kuldeep Yadav,0
Kuldeep Yadav,AD Russell,0
M Prasidh Krishna,AD Russell,0
AD Russell,M Prasidh Krishna,2
AD Russell,HF Gurney,27
HF Gurney,AD Russell,1
Shubman Gill,JL Denly,0
JL Denly,Shubman Gill,0
CR Brathwaite,AD Russell,5
AD Russell,CR Brathwaite,34
CR Brathwaite,PP Chawla,1
PP Chawla,CR Brathwaite,9
CA Lynn,RK Singh,18
RK Singh,CA Lynn,30
PP Chawla,Y Prithvi Raj,4
Y Prithvi Raj,PP Chawla,0
Y Prithvi Raj,KC Cariappa,0
KC Cariappa,Y Prithvi Raj,9
KD Karthik,CR Brathwaite,6
CR Brathwaite,KD Karthik,5
RK Singh,RV Uthappa,4
RV Uthappa,RK Singh,4
SP Narine,RK Singh,32
RK Singh,SP Narine,37
RA Tripathi,Shubman Gill,154
Shubman Gill,RA Tripathi,151
Shubman Gill,T Banton,13
T Banton,Shubman Gill,8
KD Karthik,T Banton,0
T Banton,KD Karthik,10
KD Karthik,EJG Morgan,92
EJG Morgan,KD Karthik,101
EJG Morgan,PJ Cummins,77
PJ Cummins,EJG Morgan,89
Kuldeep Yadav,EJG Morgan,4
EJG Morgan,Kuldeep Yadav,13
Kuldeep Yadav,LH Ferguson,8
LH Ferguson,Kuldeep Yadav,19
N Rana,RA Tripathi,107
RA Tripathi,N Rana,154
EJG Morgan,N Rana,40
N Rana,EJG Morgan,77
SP Narine,RA Tripathi,27
RA Tripathi,SP Narine,20
RA Tripathi,EJG Morgan,114
EJG Morgan,RA Tripathi,115
AD Russell,RA Tripathi,18
RA Tripathi,AD Russell,17
RA Tripathi,KD Karthik,29
KD Karthik,RA Tripathi,31
KD Karthik,PJ Cummins,28
PJ Cummins,KD Karthik,38
PJ Cummins,KL Nagarkoti,30
KL Nagarkoti,PJ Cummins,0
Shivam Mavi,PJ Cummins,10
PJ Cummins,Shivam Mavi,43
PJ Cummins,CV Varun,17
CV Varun,PJ Cummins,1
AD Russell,EJG Morgan,74
EJG Morgan,AD Russell,50
EJG Morgan,KL Nagarkoti,20
KL Nagarkoti,EJG Morgan,9
EJG Morgan,NS Naik,0
NS Naik,EJG Morgan,1
NS Naik,PJ Cummins,0
PJ Cummins,NS Naik,2
Kuldeep Yadav,Shivam Mavi,1
Shivam Mavi,Kuldeep Yadav,4
KL Nagarkoti,RA Tripathi,3
RA Tripathi,KL Nagarkoti,13
KL Nagarkoti,Shivam Mavi,1
Shivam Mavi,KL Nagarkoti,1
EJG Morgan,Shubman Gill,108
Shubman Gill,EJG Morgan,124
KL Nagarkoti,Shubman Gill,6
Shubman Gill,KL Nagarkoti,6
Shubman Gill,PJ Cummins,0
PJ Cummins,Shubman Gill,1
Shubman Gill,LH Ferguson,6
LH Ferguson,Shubman Gill,16
LH Ferguson,CV Varun,9
CV Varun,LH Ferguson,2
LH Ferguson,M Prasidh Krishna,0
M Prasidh Krishna,LH Ferguson,0
PJ Cummins,RA Tripathi,1
RA Tripathi,PJ Cummins,3
KL Nagarkoti,CV Varun,3
CV Varun,KL Nagarkoti,5
M Prasidh Krishna,CV Varun,2
CV Varun,M Prasidh Krishna,2
Shakib Al Hasan,KD Karthik,3
KD Karthik,Shakib Al Hasan,22
Shakib Al Hasan,N Rana,9
N Rana,Shakib Al Hasan,5
KD Karthik,Harbhajan Singh,0
Harbhajan Singh,KD Karthik,2
EJG Morgan,Shakib Al Hasan,28
Shakib Al Hasan,EJG Morgan,25
AD Russell,Shakib Al Hasan,76
Shakib Al Hasan,AD Russell,28
AD Russell,PJ Cummins,37
PJ Cummins,AD Russell,24
Harbhajan Singh,AD Russell,0
AD Russell,Harbhajan Singh,1
Harbhajan Singh,CV Varun,2
CV Varun,Harbhajan Singh,2
M Prasidh Krishna,PJ Cummins,0
PJ Cummins,M Prasidh Krishna,1
M Prasidh Krishna,Shivam Mavi,0
Shivam Mavi,M Prasidh Krishna,0
VR Iyer,Shubman Gill,244
Shubman Gill,VR Iyer,239
AD Russell,VR Iyer,104
VR Iyer,AD Russell,70
TG Southee,N Rana,3
N Rana,TG Southee,1
LH Ferguson,N Rana,0
N Rana,LH Ferguson,4
RA Tripathi,VR Iyer,116
VR Iyer,RA Tripathi,86
N Rana,VR Iyer,257
VR Iyer,N Rana,220
TL Seifert,KD Karthik,2
KD Karthik,TL Seifert,1
Shakib Al Hasan,RA Tripathi,0
RA Tripathi,Shakib Al Hasan,1
LH Ferguson,RA Tripathi,0
RA Tripathi,LH Ferguson,6
EJG Morgan,LH Ferguson,0
LH Ferguson,EJG Morgan,2
LH Ferguson,Shivam Mavi,15
Shivam Mavi,LH Ferguson,20
VR Iyer,AM Rahane,104
AM Rahane,VR Iyer,67
AM Rahane,N Rana,45
N Rana,AM Rahane,57
SS Iyer,AM Rahane,31
AM Rahane,SS Iyer,21
SS Iyer,SW Billings,57
SW Billings,SS Iyer,64
SS Iyer,SP Jackson,7
SP Jackson,SS Iyer,4
N Rana,SS Iyer,195
SS Iyer,N Rana,153
SS Iyer,SP Narine,20
SP Narine,SS Iyer,28
SP Narine,SW Billings,11
SW Billings,SP Narine,14
SW Billings,SP Jackson,0
SP Jackson,SW Billings,0
AD Russell,SW Billings,114
SW Billings,AD Russell,69
AD Russell,TG Southee,15
TG Southee,AD Russell,0
TG Southee,UT Yadav,2
UT Yadav,TG Southee,3
UT Yadav,CV Varun,17
CV Varun,UT Yadav,11
SS Iyer,VR Iyer,243
VR Iyer,SS Iyer,189
SW Billings,N Rana,0
N Rana,SW Billings,0
SW Billings,VR Iyer,17
VR Iyer,SW Billings,13
VR Iyer,PJ Cummins,4
PJ Cummins,VR Iyer,56
SS Iyer,AD Russell,50
AD Russell,SS Iyer,56
AD Russell,SP Narine,47
SP Narine,AD Russell,46
AD Russell,UT Yadav,40
UT Yadav,AD Russell,17
