striker,non_striker,runs
JC Buttler,PA Patel,193
PA Patel,JC Buttler,186
JC Buttler,RG Sharma,110
RG Sharma,JC Buttler,105
JC Buttler,N Rana,139
N Rana,JC Buttler,178
N Rana,AT Rayudu,27
AT Rayudu,N Rana,20
N Rana,KH Pandya,23
KH Pandya,N Rana,55
KA Pollard,N Rana,60
N Rana,KA Pollard,66
KA Pollard,HH Pandya,412
HH Pandya,KA Pollard,456
HH Pandya,TG Southee,30
TG Southee,HH Pandya,8
MJ McClenaghan,HH Pandya,8
HH Pandya,MJ McClenaghan,22
N Rana,RG Sharma,33
RG Sharma,N Rana,25
HH Pandya,N Rana,28
N Rana,HH Pandya,49
HH Pandya,Harbhajan Singh,45
Harbhajan Singh,HH Pandya,9
PA Patel,RG Sharma,113
RG Sharma,PA Patel,103
PA Patel,N Rana,56
N Rana,PA Patel,52
RG Sharma,MJ McClenaghan,2
MJ McClenaghan,RG Sharma,20
KH Pandya,KA Pollard,249
KA Pollard,KH Pandya,284
HH Pandya,KH Pandya,228
KH Pandya,HH Pandya,167
RG Sharma,KA Pollard,686
KA Pollard,RG Sharma,607
RG Sharma,HH Pandya,221
HH Pandya,RG Sharma,179
MJ McClenaghan,MG Johnson,0
MG Johnson,MJ McClenaghan,7
KV Sharma,RG Sharma,20
RG Sharma,KV Sharma,33
Harbhajan Singh,RG Sharma,56
RG Sharma,Harbhajan Singh,86
MJ McClenaghan,Harbhajan Singh,16
Harbhajan Singh,MJ McClenaghan,40
MG Johnson,Harbhajan Singh,4
Harbhajan Singh,MG Johnson,33
PA Patel,KA Pollard,11
KA Pollard,PA Patel,18
Harbhajan Singh,KH Pandya,1
KH Pandya,Harbhajan Singh,8
KH Pandya,MJ McClenaghan,2
MJ McClenaghan,KH Pandya,1
JJ Bumrah,KH Pandya,1
KH Pandya,JJ Bumrah,13
SL Malinga,KH Pandya,0
KH Pandya,SL Malinga,3
KA Pollard,JC Buttler,47
JC Buttler,KA Pollard,56
RG Sharma,KH Pandya,90
KH Pandya,RG Sharma,153
PA Patel,LMP Simmons,399
LMP Simmons,PA Patel,399
LMP Simmons,KA Pollard,51
KA Pollard,LMP Simmons,77
KA Pollard,KV Sharma,13
KV Sharma,KA Pollard,24
KV Sharma,Harbhajan Singh,0
Harbhajan Singh,KV Sharma,1
N Rana,LMP Simmons,5
LMP Simmons,N Rana,2
KA Pollard,Harbhajan Singh,158
Harbhajan Singh,KA Pollard,112
LMP Simmons,SS Tiwary,0
SS Tiwary,LMP Simmons,9
SS Tiwary,RG Sharma,40
RG Sharma,SS Tiwary,51
SS Tiwary,AT Rayudu,235
AT Rayudu,SS Tiwary,193
KA Pollard,AT Rayudu,521
AT Rayudu,KA Pollard,463
PA Patel,AT Rayudu,94
AT Rayudu,PA Patel,87
HH Pandya,PA Patel,21
PA Patel,HH Pandya,19
PA Patel,KH Pandya,6
KH Pandya,PA Patel,15
PA Patel,MJ McClenaghan,0
MJ McClenaghan,PA Patel,1
MJ McClenaghan,KV Sharma,3
KV Sharma,MJ McClenaghan,4
MJ McClenaghan,JJ Bumrah,8
JJ Bumrah,MJ McClenaghan,15
JJ Bumrah,SL Malinga,1
SL Malinga,JJ Bumrah,7
AT Rayudu,RG Sharma,555
RG Sharma,AT Rayudu,566
LMP Simmons,AT Rayudu,152
AT Rayudu,LMP Simmons,132
KH Pandya,KV Sharma,0
KV Sharma,KH Pandya,1
KH Pandya,MG Johnson,32
MG Johnson,KH Pandya,13
E Lewis,RG Sharma,133
RG Sharma,E Lewis,123
RG Sharma,Ishan Kishan,822
Ishan Kishan,RG Sharma,947
SA Yadav,Ishan Kishan,515
Ishan Kishan,SA Yadav,422
Ishan Kishan,HH Pandya,175
HH Pandya,Ishan Kishan,157
Ishan Kishan,E Lewis,19
E Lewis,Ishan Kishan,76
SA Yadav,E Lewis,290
E Lewis,SA Yadav,210
KH Pandya,SA Yadav,134
SA Yadav,KH Pandya,143
