striker,non_striker,runs
JD Ryder,GC Smith,32
GC Smith,JD Ryder,22
JD Ryder,M Manhas,53
M Manhas,JD Ryder,55
JD Ryder,RV Uthappa,82
RV Uthappa,JD Ryder,80
RV Uthappa,Yuvraj Singh,104
Yuvraj Singh,RV Uthappa,115
GC Smith,M Manhas,14
M Manhas,GC Smith,8
Yuvraj Singh,M Manhas,19
M Manhas,Yuvraj Singh,24
RV Uthappa,MD Mishra,42
MD Mishra,RV Uthappa,27
MD Mishra,WD Parnell,1
WD Parnell,MD Mishra,1
R Sharma,MD Mishra,10
MD Mishra,R Sharma,21
JD Ryder,Yuvraj Singh,15
Yuvraj Singh,JD Ryder,1
Yuvraj Singh,MD Mishra,21
MD Mishra,Yuvraj Singh,7
Yuvraj Singh,WD Parnell,29
WD Parnell,Yuvraj Singh,10
TD Paine,JD Ryder,10
JD Ryder,TD Paine,35
M Manhas,TD Paine,0
TD Paine,M Manhas,0
TD Paine,RV Uthappa,0
RV Uthappa,TD Paine,0
RV Uthappa,M Kartik,21
M Kartik,RV Uthappa,11
WD Parnell,RV Uthappa,9
RV Uthappa,WD Parnell,14
R Sharma,WD Parnell,8
WD Parnell,R Sharma,5
SB Wagh,R Sharma,2
R Sharma,SB Wagh,5
R Sharma,AC Thomas,0
AC Thomas,R Sharma,0
MD Mishra,JD Ryder,11
JD Ryder,MD Mishra,27
JD Ryder,MK Pandey,129
MK Pandey,JD Ryder,83
RV Uthappa,MK Pandey,176
MK Pandey,RV Uthappa,162
Yuvraj Singh,NL McCullum,17
NL McCullum,Yuvraj Singh,14
NL McCullum,R Sharma,0
R Sharma,NL McCullum,1
NL McCullum,JE Taylor,1
JE Taylor,NL McCullum,2
M Kartik,NL McCullum,0
NL McCullum,M Kartik,8
AC Thomas,M Kartik,1
M Kartik,AC Thomas,1
MK Pandey,MD Mishra,0
MD Mishra,MK Pandey,0
MK Pandey,M Manhas,6
M Manhas,MK Pandey,1
MK Pandey,Yuvraj Singh,108
Yuvraj Singh,MK Pandey,119
Yuvraj Singh,MR Marsh,32
MR Marsh,Yuvraj Singh,23
JE Taylor,Yuvraj Singh,1
Yuvraj Singh,JE Taylor,17
RV Uthappa,M Manhas,18
M Manhas,RV Uthappa,22
Harpreet Singh,RV Uthappa,1
RV Uthappa,Harpreet Singh,15
Harpreet Singh,MK Pandey,1
MK Pandey,Harpreet Singh,1
M Manhas,Harpreet Singh,16
Harpreet Singh,M Manhas,12
NL McCullum,M Manhas,3
M Manhas,NL McCullum,8
MK Pandey,GC Smith,11
GC Smith,MK Pandey,6
MK Pandey,AA Jhunjhunwala,12
AA Jhunjhunwala,MK Pandey,10
SB Wagh,RV Uthappa,0
RV Uthappa,SB Wagh,11
RV Uthappa,R Sharma,0
R Sharma,RV Uthappa,0
Yuvraj Singh,CJ Ferguson,42
CJ Ferguson,Yuvraj Singh,16
CJ Ferguson,AA Jhunjhunwala,0
AA Jhunjhunwala,CJ Ferguson,0
CJ Ferguson,MR Marsh,1
MR Marsh,CJ Ferguson,2
MK Pandey,SC Ganguly,60
SC Ganguly,MK Pandey,35
SC Ganguly,RV Uthappa,28
RV Uthappa,SC Ganguly,66
SC Ganguly,Yuvraj Singh,20
Yuvraj Singh,SC Ganguly,2
SC Ganguly,CJ Ferguson,11
CJ Ferguson,SC Ganguly,31
