striker,non_striker,runs
DJM Short,AM Rahane,37
AM Rahane,DJM Short,78
AM Rahane,SV Samson,413
SV Samson,AM Rahane,507
BA Stokes,SV Samson,223
SV Samson,BA Stokes,220
RA Tripathi,SV Samson,62
SV Samson,RA Tripathi,65
JC Buttler,SV Samson,792
SV Samson,JC Buttler,772
K Gowtham,JC Buttler,33
JC Buttler,K Gowtham,32
JC Buttler,S Gopal,3
S Gopal,JC Buttler,15
S Gopal,DS Kulkarni,4
DS Kulkarni,S Gopal,7
DS Kulkarni,JD Unadkat,0
JD Unadkat,DS Kulkarni,1
DS Kulkarni,B Laughlin,1
B Laughlin,DS Kulkarni,1
AM Rahane,BA Stokes,17
BA Stokes,AM Rahane,29
JC Buttler,AM Rahane,247
AM Rahane,JC Buttler,207
JC Buttler,RA Tripathi,84
RA Tripathi,JC Buttler,51
RA Tripathi,K Gowtham,12
K Gowtham,RA Tripathi,34
SV Samson,DJM Short,12
DJM Short,SV Samson,9
RA Tripathi,DJM Short,10
DJM Short,RA Tripathi,44
RA Tripathi,BA Stokes,20
BA Stokes,RA Tripathi,21
JC Buttler,BA Stokes,104
BA Stokes,JC Buttler,83
JC Buttler,DS Kulkarni,12
DS Kulkarni,JC Buttler,3
JD Unadkat,JC Buttler,0
JC Buttler,JD Unadkat,0
H Klaasen,AM Rahane,7
AM Rahane,H Klaasen,11
STR Binny,BA Stokes,18
BA Stokes,STR Binny,13
K Gowtham,STR Binny,1
STR Binny,K Gowtham,3
STR Binny,S Gopal,13
S Gopal,STR Binny,1
S Gopal,JD Unadkat,24
JD Unadkat,S Gopal,22
S Gopal,B Laughlin,0
B Laughlin,S Gopal,0
RA Tripathi,AM Rahane,106
AM Rahane,RA Tripathi,90
H Klaasen,JC Buttler,0
JC Buttler,H Klaasen,0
H Klaasen,JC Archer,0
JC Archer,H Klaasen,0
JC Archer,K Gowtham,10
K Gowtham,JC Archer,31
JD Unadkat,K Gowtham,1
K Gowtham,JD Unadkat,10
AM Rahane,MK Lomror,21
MK Lomror,AM Rahane,11
AM Rahane,K Gowtham,3
K Gowtham,AM Rahane,8
AM Rahane,JC Archer,1
JC Archer,AM Rahane,2
JC Buttler,DJM Short,68
DJM Short,JC Buttler,19
BA Stokes,DJM Short,1
DJM Short,BA Stokes,6
RA Tripathi,JC Archer,2
JC Archer,RA Tripathi,0
RA Tripathi,S Gopal,8
S Gopal,RA Tripathi,7
BA Stokes,MK Lomror,1
MK Lomror,BA Stokes,3
JC Archer,MK Lomror,0
MK Lomror,JC Archer,1
JD Unadkat,MK Lomror,0
MK Lomror,JD Unadkat,5
P Chopra,JC Buttler,8
JC Buttler,P Chopra,2
JC Buttler,STR Binny,15
STR Binny,JC Buttler,22
JC Archer,JC Buttler,0
JC Buttler,JC Archer,12
BA Stokes,K Gowtham,21
K Gowtham,BA Stokes,12
JD Unadkat,BA Stokes,2
BA Stokes,JD Unadkat,2
JD Unadkat,IS Sodhi,20
IS Sodhi,JD Unadkat,1
JD Unadkat,JC Archer,1
JC Archer,JD Unadkat,17
Anureet Singh,JD Unadkat,3
JD Unadkat,Anureet Singh,3
RA Tripathi,H Klaasen,15
H Klaasen,RA Tripathi,32
SV Samson,H Klaasen,8
H Klaasen,SV Samson,9
