striker,non_striker,runs
Mandeep Singh,CH Gayle,36
CH Gayle,Mandeep Singh,33
CH Gayle,TM Head,6
TM Head,CH Gayle,2
KM Jadhav,TM Head,77
TM Head,KM Jadhav,50
TM Head,SR Watson,8
SR Watson,TM Head,8
Sachin Baby,SR Watson,26
SR Watson,Sachin Baby,26
STR Binny,SR Watson,33
SR Watson,STR Binny,20
SR Watson,S Aravind,2
S Aravind,SR Watson,0
TS Mills,S Aravind,0
S Aravind,TS Mills,4
TS Mills,YS Chahal,6
YS Chahal,TS Mills,1
A Choudhary,YS Chahal,10
YS Chahal,A Choudhary,7
SR Watson,CH Gayle,18
CH Gayle,SR Watson,6
SR Watson,Mandeep Singh,5
Mandeep Singh,SR Watson,28
SR Watson,KM Jadhav,17
KM Jadhav,SR Watson,22
KM Jadhav,STR Binny,47
STR Binny,KM Jadhav,16
KM Jadhav,Vishnu Vinod,12
Vishnu Vinod,KM Jadhav,9
P Negi,KM Jadhav,39
KM Jadhav,P Negi,24
P Negi,Iqbal Abdulla,10
Iqbal Abdulla,P Negi,5
Iqbal Abdulla,TS Mills,0
TS Mills,Iqbal Abdulla,0
Vishnu Vinod,SR Watson,1
SR Watson,Vishnu Vinod,1
AB de Villiers,Vishnu Vinod,10
Vishnu Vinod,AB de Villiers,6
KM Jadhav,AB de Villiers,51
AB de Villiers,KM Jadhav,34
Mandeep Singh,AB de Villiers,178
AB de Villiers,Mandeep Singh,216
STR Binny,AB de Villiers,39
AB de Villiers,STR Binny,76
V Kohli,CH Gayle,1142
CH Gayle,V Kohli,1508
V Kohli,AB de Villiers,1474
AB de Villiers,V Kohli,1566
P Negi,Mandeep Singh,37
Mandeep Singh,P Negi,13
P Negi,STR Binny,19
STR Binny,P Negi,17
Mandeep Singh,V Kohli,119
V Kohli,Mandeep Singh,123
AF Milne,STR Binny,1
STR Binny,AF Milne,1
S Badree,AF Milne,0
AF Milne,S Badree,1
AF Milne,S Aravind,0
S Aravind,AF Milne,5
S Aravind,YS Chahal,10
YS Chahal,S Aravind,5
V Kohli,TM Head,86
TM Head,V Kohli,26
CH Gayle,AB de Villiers,229
AB de Villiers,CH Gayle,239
CH Gayle,KM Jadhav,1
KM Jadhav,CH Gayle,9
CH Gayle,STR Binny,5
STR Binny,CH Gayle,8
P Negi,S Badree,13
S Badree,P Negi,8
S Badree,TS Mills,0
TS Mills,S Badree,2
AB de Villiers,TM Head,33
TM Head,AB de Villiers,10
Mandeep Singh,S Badree,2
S Badree,Mandeep Singh,3
