striker,non_striker,runs
S Dhawan,DA Warner,888
DA Warner,S Dhawan,1354
S Dhawan,MC Henriques,129
MC Henriques,S Dhawan,142
Yuvraj Singh,MC Henriques,115
MC Henriques,Yuvraj Singh,51
DJ Hooda,Yuvraj Singh,72
Yuvraj Singh,DJ Hooda,108
DJ Hooda,BCJ Cutting,1
BCJ Cutting,DJ Hooda,16
DA Warner,MC Henriques,346
MC Henriques,DA Warner,291
DJ Hooda,S Dhawan,28
S Dhawan,DJ Hooda,21
Yuvraj Singh,S Dhawan,57
S Dhawan,Yuvraj Singh,94
Yuvraj Singh,BCJ Cutting,36
BCJ Cutting,Yuvraj Singh,28
BCJ Cutting,NV Ojha,25
NV Ojha,BCJ Cutting,19
NV Ojha,V Shankar,9
V Shankar,NV Ojha,8
NV Ojha,Rashid Khan,4
Rashid Khan,NV Ojha,1
B Kumar,Rashid Khan,17
Rashid Khan,B Kumar,79
A Nehra,B Kumar,0
B Kumar,A Nehra,3
NV Ojha,Bipul Sharma,17
Bipul Sharma,NV Ojha,26
DA Warner,Yuvraj Singh,69
Yuvraj Singh,DA Warner,56
DA Warner,NV Ojha,194
NV Ojha,DA Warner,168
DA Warner,DJ Hooda,68
DJ Hooda,DA Warner,62
Mohammad Nabi,DA Warner,17
DA Warner,Mohammad Nabi,16
Rashid Khan,DA Warner,7
DA Warner,Rashid Khan,20
KS Williamson,S Dhawan,440
S Dhawan,KS Williamson,410
MC Henriques,DJ Hooda,69
DJ Hooda,MC Henriques,31
KS Williamson,DA Warner,135
DA Warner,KS Williamson,179
Yuvraj Singh,KS Williamson,70
KS Williamson,Yuvraj Singh,69
MC Henriques,KS Williamson,21
KS Williamson,MC Henriques,44
NV Ojha,Yuvraj Singh,9
Yuvraj Singh,NV Ojha,37
Bipul Sharma,Rashid Khan,5
Rashid Khan,Bipul Sharma,3
S Kaul,B Kumar,8
B Kumar,S Kaul,7
A Nehra,S Kaul,0
S Kaul,A Nehra,0
V Shankar,S Dhawan,15
S Dhawan,V Shankar,12
V Shankar,DA Warner,121
DA Warner,V Shankar,128
Yuvraj Singh,V Shankar,9
V Shankar,Yuvraj Singh,15
CJ Jordan,NV Ojha,0
NV Ojha,CJ Jordan,1
S Dhawan,WP Saha,88
WP Saha,S Dhawan,76
MK Pandey,S Dhawan,13
S Dhawan,MK Pandey,3
Shakib Al Hasan,MK Pandey,78
MK Pandey,Shakib Al Hasan,60
DJ Hooda,Shakib Al Hasan,26
Shakib Al Hasan,DJ Hooda,38
YK Pathan,DJ Hooda,47
DJ Hooda,YK Pathan,34
DJ Hooda,Rashid Khan,0
Rashid Khan,DJ Hooda,0
DJ Hooda,S Kaul,1
S Kaul,DJ Hooda,0
DJ Hooda,Sandeep Sharma,0
Sandeep Sharma,DJ Hooda,0
B Stanlake,DJ Hooda,5
DJ Hooda,B Stanlake,8
KS Williamson,MK Pandey,223
MK Pandey,KS Williamson,236
KS Williamson,Shakib Al Hasan,109
Shakib Al Hasan,KS Williamson,97
KS Williamson,DJ Hooda,24
DJ Hooda,KS Williamson,16
WP Saha,KS Williamson,56
KS Williamson,WP Saha,33
KS Williamson,YK Pathan,74
YK Pathan,KS Williamson,89
DJ Hooda,MK Pandey,26
MK Pandey,DJ Hooda,34
KS Williamson,RK Bhui,0
RK Bhui,KS Williamson,0
YK Pathan,WP Saha,15
WP Saha,YK Pathan,1
Rashid Khan,WP Saha,18
WP Saha,Rashid Khan,18
YK Pathan,Mohammad Nabi,10
Mohammad Nabi,YK Pathan,35
YK Pathan,Rashid Khan,24
Rashid Khan,YK Pathan,25
YK Pathan,Basil Thampi,3
Basil Thampi,YK Pathan,3
YK Pathan,S Kaul,1
S Kaul,YK Pathan,2
YK Pathan,Sandeep Sharma,9
Sandeep Sharma,YK Pathan,0
WP Saha,MK Pandey,110
MK Pandey,WP Saha,96
YK Pathan,MK Pandey,40
MK Pandey,YK Pathan,39
S Dhawan,AD Hales,77
AD Hales,S Dhawan,106
AD Hales,KS Williamson,42
KS Williamson,AD Hales,67
Basil Thampi,WP Saha,0
WP Saha,Basil Thampi,0
Shakib Al Hasan,YK Pathan,14
YK Pathan,Shakib Al Hasan,30
B Kumar,Sandeep Sharma,15
Sandeep Sharma,B Kumar,9
SP Goswami,S Dhawan,40
S Dhawan,SP Goswami,43
CR Brathwaite,MK Pandey,3
MK Pandey,CR Brathwaite,9
Rashid Khan,Shakib Al Hasan,0
Shakib Al Hasan,Rashid Khan,4
SP Goswami,KS Williamson,12
KS Williamson,SP Goswami,22
YK Pathan,CR Brathwaite,25
CR Brathwaite,YK Pathan,33
B Kumar,CR Brathwaite,7
CR Brathwaite,B Kumar,39
WP Saha,Shakib Al Hasan,19
Shakib Al Hasan,WP Saha,14
JM Bairstow,DA Warner,688
DA Warner,JM Bairstow,648
YK Pathan,V Shankar,1
V Shankar,YK Pathan,6
V Shankar,MK Pandey,169
MK Pandey,V Shankar,173
KS Williamson,JM Bairstow,133
JM Bairstow,KS Williamson,135
V Shankar,KS Williamson,92
KS Williamson,V Shankar,70
DA Warner,YK Pathan,22
YK Pathan,DA Warner,6
V Shankar,DJ Hooda,0
DJ Hooda,V Shankar,6
Mohammad Nabi,DJ Hooda,17
DJ Hooda,Mohammad Nabi,16
Mohammad Nabi,Rashid Khan,0
Rashid Khan,Mohammad Nabi,1
Mohammad Nabi,B Kumar,0
B Kumar,Mohammad Nabi,1
S Kaul,Sandeep Sharma,0
Sandeep Sharma,S Kaul,5
MK Pandey,DA Warner,392
DA Warner,MK Pandey,368
DA Warner,RK Bhui,15
RK Bhui,DA Warner,7
DJ Hooda,Abhishek Sharma,3
Abhishek Sharma,DJ Hooda,1
Abhishek Sharma,Rashid Khan,1
Rashid Khan,Abhishek Sharma,6
B Kumar,Abhishek Sharma,1
Abhishek Sharma,B Kumar,1
Sandeep Sharma,KK Ahmed,0
KK Ahmed,Sandeep Sharma,0
V Shankar,JM Bairstow,7
JM Bairstow,V Shankar,27
JM Bairstow,DJ Hooda,11
DJ Hooda,JM Bairstow,13
YK Pathan,JM Bairstow,0
JM Bairstow,YK Pathan,6
Shakib Al Hasan,V Shankar,3
V Shankar,Shakib Al Hasan,1
S Kaul,Rashid Khan,0
Rashid Khan,S Kaul,12
WP Saha,DA Warner,135
DA Warner,WP Saha,209
KS Williamson,Mohammad Nabi,20
Mohammad Nabi,KS Williamson,21
Rashid Khan,V Shankar,0
V Shankar,Rashid Khan,5
V Shankar,Abhishek Sharma,3
Abhishek Sharma,V Shankar,7
MJ Guptill,WP Saha,62
WP Saha,MJ Guptill,53
MK Pandey,MJ Guptill,37
MJ Guptill,MK Pandey,19
MK Pandey,Abhishek Sharma,11
Abhishek Sharma,MK Pandey,10
MK Pandey,Mohammad Nabi,44
Mohammad Nabi,MK Pandey,48
Rashid Khan,MK Pandey,9
MK Pandey,Rashid Khan,10
Mohammad Nabi,MJ Guptill,6
MJ Guptill,Mohammad Nabi,1
KS Williamson,Rashid Khan,12
Rashid Khan,KS Williamson,1
B Kumar,KS Williamson,7
KS Williamson,B Kumar,28
V Shankar,Mohammad Nabi,22
Mohammad Nabi,V Shankar,14
B Kumar,Basil Thampi,0
Basil Thampi,B Kumar,1
JM Bairstow,MK Pandey,145
MK Pandey,JM Bairstow,115
MK Pandey,Abdul Samad,12
Abdul Samad,MK Pandey,28
V Shankar,JO Holder,8
JO Holder,V Shankar,8
JO Holder,PK Garg,1
PK Garg,JO Holder,1
PK Garg,Rashid Khan,0
Rashid Khan,PK Garg,0
Sandeep Sharma,PK Garg,0
PK Garg,Sandeep Sharma,2
T Natarajan,PK Garg,0
PK Garg,T Natarajan,0
T Natarajan,KK Ahmed,0
KK Ahmed,T Natarajan,0
Abhishek Sharma,KS Williamson,285
KS Williamson,Abhishek Sharma,165
Abhishek Sharma,JO Holder,6
JO Holder,Abhishek Sharma,19
Abdul Samad,JO Holder,11
JO Holder,Abdul Samad,20
PK Garg,KS Williamson,39
KS Williamson,PK Garg,72
JM Bairstow,PK Garg,26
PK Garg,JM Bairstow,14
DA Warner,Abdul Samad,14
Abdul Samad,DA Warner,23
JM Bairstow,Abdul Samad,0
Abdul Samad,JM Bairstow,2
Abhishek Sharma,PK Garg,62
PK Garg,Abhishek Sharma,60
Abdul Samad,PK Garg,14
PK Garg,Abdul Samad,22
S Nadeem,Rashid Khan,5
Rashid Khan,S Nadeem,14
Sandeep Sharma,S Nadeem,2
S Nadeem,Sandeep Sharma,2
T Natarajan,Sandeep Sharma,3
Sandeep Sharma,T Natarajan,8
Abdul Samad,KS Williamson,45
KS Williamson,Abdul Samad,39
Abhishek Sharma,Abdul Samad,22
Abdul Samad,Abhishek Sharma,38
PK Garg,V Shankar,0
V Shankar,PK Garg,0
Rashid Khan,Sandeep Sharma,2
Sandeep Sharma,Rashid Khan,1
MR Marsh,Sandeep Sharma,0
Sandeep Sharma,MR Marsh,1
DA Warner,PK Garg,8
PK Garg,DA Warner,16
Abhishek Sharma,DA Warner,5
DA Warner,Abhishek Sharma,3
WP Saha,Mohammad Nabi,4
Mohammad Nabi,WP Saha,11
Mohammad Nabi,Abhishek Sharma,0
Abhishek Sharma,Mohammad Nabi,2
SP Goswami,DA Warner,0
DA Warner,SP Goswami,1
JO Holder,KS Williamson,35
KS Williamson,JO Holder,75
PK Garg,MK Pandey,38
MK Pandey,PK Garg,47
Rashid Khan,Abdul Samad,24
Abdul Samad,Rashid Khan,34
SP Goswami,Rashid Khan,0
Rashid Khan,SP Goswami,0
S Nadeem,SP Goswami,0
SP Goswami,S Nadeem,0
Abdul Samad,V Shankar,7
V Shankar,Abdul Samad,19
JO Holder,Rashid Khan,23
