batsman,bowler,runs
SR Watson,MJ McClenaghan,21
AT Rayudu,MJ McClenaghan,19
SR Watson,Mustafizur Rahman,5
AT Rayudu,Mustafizur Rahman,4
SR Watson,JJ Bumrah,17
AT Rayudu,JJ Bumrah,60
SR Watson,HH Pandya,9
AT Rayudu,HH Pandya,31
SK Raina,MJ McClenaghan,18
SK Raina,HH Pandya,24
AT Rayudu,M Markande,6
MS Dhoni,M Markande,14
KM Jadhav,M Markande,11
KM Jadhav,JJ Bumrah,19
MS Dhoni,JJ Bumrah,30
RA Jadeja,M Markande,3
KM Jadhav,HH Pandya,7
RA Jadeja,HH Pandya,4
RA Jadeja,Mustafizur Rahman,29
KM Jadhav,Mustafizur Rahman,11
DJ Bravo,M Markande,7
DL Chahar,M Markande,0
DJ Bravo,Mustafizur Rahman,18
Harbhajan Singh,Mustafizur Rahman,7
DJ Bravo,MJ McClenaghan,35
Harbhajan Singh,MJ McClenaghan,1
DJ Bravo,JJ Bumrah,35
MA Wood,JJ Bumrah,1
DJ Bravo,HH Pandya,7
MA Wood,HH Pandya,0
Imran Tahir,HH Pandya,1
Imran Tahir,MJ McClenaghan,1
SR Watson,R Vinay Kumar,16
AT Rayudu,PP Chawla,34
SR Watson,PP Chawla,24
SR Watson,AD Russell,4
AT Rayudu,AD Russell,19
SR Watson,TK Curran,27
AT Rayudu,TK Curran,6
SK Raina,TK Curran,4
SK Raina,AD Russell,22
SK Raina,SP Narine,92
AT Rayudu,SP Narine,27
AT Rayudu,Kuldeep Yadav,12
SK Raina,Kuldeep Yadav,20
MS Dhoni,Kuldeep Yadav,36
MS Dhoni,SP Narine,33
SW Billings,SP Narine,6
MS Dhoni,PP Chawla,64
SW Billings,PP Chawla,13
SW Billings,Kuldeep Yadav,1
MS Dhoni,TK Curran,37
SW Billings,TK Curran,22
RA Jadeja,PP Chawla,24
SW Billings,AD Russell,14
RA Jadeja,AD Russell,48
RA Jadeja,TK Curran,10
DJ Bravo,TK Curran,1
DJ Bravo,R Vinay Kumar,34
RA Jadeja,R Vinay Kumar,33
SR Watson,BB Sran,3
M Vijay,BB Sran,10
SR Watson,MM Sharma,8
AT Rayudu,BB Sran,11
AT Rayudu,MM Sharma,25
M Vijay,MM Sharma,2
M Vijay,AJ Tye,0
AT Rayudu,AJ Tye,21
SW Billings,AJ Tye,2
AT Rayudu,Mujeeb Ur Rahman,7
SW Billings,Mujeeb Ur Rahman,5
AT Rayudu,R Ashwin,37
SW Billings,R Ashwin,2
MS Dhoni,R Ashwin,33
AT Rayudu,Yuvraj Singh,3
MS Dhoni,Yuvraj Singh,59
MS Dhoni,Mujeeb Ur Rahman,6
