batsman,bowler,runs
AC Gilchrist,AB Dinda,27
Y Venugopal Rao,AB Dinda,16
Y Venugopal Rao,I Sharma,12
AC Gilchrist,I Sharma,30
VVS Laxman,I Sharma,15
VVS Laxman,AB Dinda,4
A Symonds,AB Dinda,0
AC Gilchrist,AB Agarkar,31
A Symonds,M Kartik,16
AC Gilchrist,M Kartik,8
AC Gilchrist,Mohammad Hafeez,1
A Symonds,Mohammad Hafeez,3
RG Sharma,M Kartik,24
SB Styris,M Kartik,5
SB Styris,Mohammad Hafeez,1
AS Yadav,Mohammad Hafeez,2
AS Yadav,DJ Hussey,8
A Symonds,DJ Hussey,19
SB Bangar,DJ Hussey,7
SB Bangar,I Sharma,1
A Symonds,I Sharma,5
A Symonds,AB Agarkar,24
SB Bangar,AB Agarkar,2
WPUJC Vaas,AB Agarkar,0
RP Singh,M Kartik,1
SB Bangar,M Kartik,4
AC Gilchrist,GD McGrath,5
Y Venugopal Rao,GD McGrath,13
AC Gilchrist,Mohammad Asif,17
VVS Laxman,Mohammad Asif,1
Y Venugopal Rao,Mohammad Asif,9
VVS Laxman,GD McGrath,1
A Symonds,Mohammad Asif,2
A Symonds,GD McGrath,8
Y Venugopal Rao,MF Maharoof,24
A Symonds,MF Maharoof,1
RG Sharma,VY Mahesh,18
A Symonds,VY Mahesh,1
RG Sharma,MF Maharoof,32
Shahid Afridi,MF Maharoof,10
Shahid Afridi,R Bhatia,0
SB Bangar,R Bhatia,4
RG Sharma,R Bhatia,35
SB Bangar,VY Mahesh,3
SB Bangar,Mohammad Asif,1
RG Sharma,Mohammad Asif,7
AS Yadav,R Bhatia,12
WPUJC Vaas,R Bhatia,3
WPUJC Vaas,VY Mahesh,11
AS Yadav,VY Mahesh,0
RP Singh,VY Mahesh,1
AC Gilchrist,MM Patel,39
VVS Laxman,SR Watson,10
AC Gilchrist,SR Watson,24
AC Gilchrist,YK Pathan,29
Shahid Afridi,YK Pathan,10
A Symonds,SR Watson,10
A Symonds,MM Patel,21
