batsman,bowler,runs
PP Shaw,Rasikh Salam,8
S Dhawan,Rasikh Salam,6
PP Shaw,MJ McClenaghan,4
SS Iyer,MJ McClenaghan,7
S Dhawan,MJ McClenaghan,12
SS Iyer,Rasikh Salam,9
CA Ingram,MJ McClenaghan,5
S Dhawan,JJ Bumrah,34
CA Ingram,JJ Bumrah,3
S Dhawan,HH Pandya,9
CA Ingram,HH Pandya,14
CA Ingram,Rasikh Salam,1
CA Ingram,KH Pandya,19
S Dhawan,KH Pandya,17
CA Ingram,BCJ Cutting,5
S Dhawan,BCJ Cutting,7
RR Pant,HH Pandya,18
RR Pant,BCJ Cutting,15
KMA Paul,HH Pandya,0
KMA Paul,MJ McClenaghan,3
RR Pant,MJ McClenaghan,9
AR Patel,JJ Bumrah,42
RR Pant,JJ Bumrah,47
RR Pant,Rasikh Salam,19
R Tewatia,Rasikh Salam,1
R Tewatia,JJ Bumrah,8
PP Shaw,DL Chahar,79
PP Shaw,SN Thakur,42
S Dhawan,DL Chahar,74
PP Shaw,Harbhajan Singh,5
S Dhawan,Harbhajan Singh,29
SS Iyer,DL Chahar,45
SS Iyer,Harbhajan Singh,17
SS Iyer,RA Jadeja,15
S Dhawan,RA Jadeja,52
SS Iyer,Imran Tahir,13
S Dhawan,Imran Tahir,11
RR Pant,Imran Tahir,26
RR Pant,RA Jadeja,41
RR Pant,DJ Bravo,37
S Dhawan,DJ Bravo,34
RR Pant,Harbhajan Singh,10
CA Ingram,DJ Bravo,2
KMA Paul,DJ Bravo,1
KMA Paul,RA Jadeja,0
AR Patel,RA Jadeja,40
AR Patel,DJ Bravo,11
R Tewatia,DJ Bravo,9
AR Patel,SN Thakur,7
R Tewatia,SN Thakur,2
PP Shaw,M Prasidh Krishna,33
S Dhawan,M Prasidh Krishna,44
S Dhawan,LH Ferguson,25
PP Shaw,LH Ferguson,36
PP Shaw,PP Chawla,50
S Dhawan,PP Chawla,25
SS Iyer,PP Chawla,13
PP Shaw,AD Russell,24
SS Iyer,AD Russell,16
SS Iyer,M Prasidh Krishna,9
SS Iyer,Kuldeep Yadav,13
PP Shaw,Kuldeep Yadav,22
SS Iyer,LH Ferguson,26
PP Shaw,N Rana,6
RR Pant,N Rana,4
RR Pant,M Prasidh Krishna,32
RR Pant,PP Chawla,26
RR Pant,LH Ferguson,28
RR Pant,Kuldeep Yadav,15
CA Ingram,LH Ferguson,6
GH Vihari,LH Ferguson,1
GH Vihari,Kuldeep Yadav,1
CA Ingram,Kuldeep Yadav,4
PP Shaw,R Ashwin,5
SS Iyer,R Ashwin,18
S Dhawan,R Ashwin,20
S Dhawan,SM Curran,59
SS Iyer,SM Curran,26
S Dhawan,Mohammed Shami,72
SS Iyer,Mohammed Shami,12
SS Iyer,GC Viljoen,18
SS Iyer,Mujeeb Ur Rahman,2
S Dhawan,Mujeeb Ur Rahman,7
RR Pant,GC Viljoen,4
RR Pant,Mujeeb Ur Rahman,13
RR Pant,R Ashwin,36
CA Ingram,R Ashwin,3
CA Ingram,Mujeeb Ur Rahman,13
CA Ingram,M Ashwin,13
RR Pant,M Ashwin,8
CA Ingram,GC Viljoen,24
CA Ingram,Mohammed Shami,3
RR Pant,Mohammed Shami,20
CH Morris,Mohammed Shami,0
GH Vihari,SM Curran,2
CA Ingram,SM Curran,1
HV Patel,SM Curran,0
GH Vihari,Mohammed Shami,0
Avesh Khan,Mohammed Shami,4
K Rabada,SM Curran,0
S Lamichhane,SM Curran,0
PP Shaw,B Kumar,30
S Dhawan,Mohammad Nabi,16
PP Shaw,Mohammad Nabi,19
SS Iyer,B Kumar,18
S Dhawan,B Kumar,27
SS Iyer,Mohammad Nabi,6
S Dhawan,S Kaul,4
SS Iyer,S Kaul,11
RR Pant,S Kaul,13
SS Iyer,Rashid Khan,51
RR Pant,Sandeep Sharma,16
SS Iyer,Sandeep Sharma,27
RR Pant,Mohammad Nabi,20
R Tewatia,Mohammad Nabi,1
R Tewatia,Sandeep Sharma,4
CA Ingram,Sandeep Sharma,2
CA Ingram,Rashid Khan,2
CA Ingram,S Kaul,1
CH Morris,S Kaul,5
CH Morris,Rashid Khan,3
CH Morris,B Kumar,4
AR Patel,Rashid Khan,56
CH Morris,Sandeep Sharma,7
AR Patel,Sandeep Sharma,17
AR Patel,B Kumar,33
K Rabada,B Kumar,11
K Rabada,S Kaul,0
AR Patel,S Kaul,14
PP Shaw,TG Southee,17
S Dhawan,TG Southee,10
SS Iyer,TG Southee,5
SS Iyer,NA Saini,20
PP Shaw,NA Saini,13
SS Iyer,YS Chahal,50
PP Shaw,YS Chahal,39
PP Shaw,P Negi,1
SS Iyer,P Negi,12
SS Iyer,Mohammed Siraj,12
PP Shaw,Mohammed Siraj,41
CA Ingram,P Negi,13
CA Ingram,MM Ali,2
SS Iyer,MM Ali,12
CA Ingram,YS Chahal,7
RR Pant,MM Ali,25
RR Pant,NA Saini,13
RR Pant,YS Chahal,44
CH Morris,NA Saini,0
RR Pant,Mohammed Siraj,38
R Tewatia,Mohammed Siraj,1
AR Patel,Mohammed Siraj,15
S Dhawan,AD Russell,17
RR Pant,AD Russell,40
S Dhawan,Kuldeep Yadav,13
S Dhawan,CR Brathwaite,12
RR Pant,CR Brathwaite,1
S Dhawan,N Rana,7
CA Ingram,N Rana,3
CA Ingram,PP Chawla,11
PP Shaw,KK Ahmed,43
S Dhawan,KK Ahmed,13
C Munro,KK Ahmed,21
C Munro,Sandeep Sharma,8
C Munro,B Kumar,1
SS Iyer,KK Ahmed,13
SS Iyer,DJ Hooda,7
C Munro,DJ Hooda,2
C Munro,Abhishek Sharma,8
SS Iyer,Abhishek Sharma,5
SS Iyer,V Shankar,13
RR Pant,V Shankar,27
RR Pant,Rashid Khan,66
RR Pant,B Kumar,37
CH Morris,KK Ahmed,2
RR Pant,KK Ahmed,23
AR Patel,KK Ahmed,1
KMA Paul,Sandeep Sharma,1
KMA Paul,B Kumar,6
PP Shaw,HH Pandya,12
S Dhawan,RD Chahar,47
PP Shaw,SL Malinga,1
S Dhawan,SL Malinga,9
S Dhawan,J Yadav,33
PP Shaw,J Yadav,12
PP Shaw,JJ Bumrah,11
PP Shaw,RD Chahar,27
C Munro,RD Chahar,1
C Munro,J Yadav,2
SS Iyer,RD Chahar,7
SS Iyer,KH Pandya,30
C Munro,KH Pandya,0
RR Pant,KH Pandya,63
AR Patel,RD Chahar,10
AR Patel,J Yadav,2
RR Pant,J Yadav,25
AR Patel,KH Pandya,7
CH Morris,JJ Bumrah,9
AR Patel,SL Malinga,19
CH Morris,SL Malinga,2
A Mishra,JJ Bumrah,1
K Rabada,JJ Bumrah,3
K Rabada,SL Malinga,3
A Mishra,SL Malinga,2
K Rabada,HH Pandya,6
A Mishra,HH Pandya,3
PP Shaw,Mohammed Shami,46
PP Shaw,SM Curran,28
S Dhawan,GC Viljoen,14
S Dhawan,Harpreet Brar,18
SS Iyer,Harpreet Brar,14
SS Iyer,M Ashwin,9
S Dhawan,M Ashwin,33
RR Pant,SM Curran,12
AR Patel,Mohammed Shami,18
SE Rutherford,Mohammed Shami,1
SE Rutherford,SM Curran,1
PP Shaw,STR Binny,2
S Dhawan,STR Binny,1
PP Shaw,DS Kulkarni,7
