batsman,bowler,runs
AP Tare,B Stanlake,9
SW Billings,B Stanlake,9
SW Billings,YS Chahal,13
AP Tare,YS Chahal,2
SW Billings,Iqbal Abdulla,6
AP Tare,Iqbal Abdulla,7
SW Billings,TS Mills,1
AP Tare,TS Mills,0
KK Nair,TS Mills,4
KK Nair,B Stanlake,0
SV Samson,B Stanlake,8
SV Samson,YS Chahal,14
SV Samson,Iqbal Abdulla,2
RR Pant,Iqbal Abdulla,18
RR Pant,YS Chahal,39
RR Pant,TS Mills,21
SV Samson,TS Mills,1
RR Pant,B Stanlake,1
CH Morris,B Stanlake,1
CH Morris,SR Watson,14
RR Pant,SR Watson,35
CH Morris,Iqbal Abdulla,7
CR Brathwaite,SR Watson,1
CR Brathwaite,YS Chahal,0
PJ Cummins,YS Chahal,0
PJ Cummins,TS Mills,2
PJ Cummins,SR Watson,4
A Mishra,SR Watson,2
A Mishra,TS Mills,4
RR Pant,P Negi,0
S Nadeem,P Negi,1
A Mishra,P Negi,9
Z Khan,P Negi,2
AP Tare,AB Dinda,0
SW Billings,AB Dinda,5
AP Tare,DL Chahar,0
SV Samson,DL Chahar,18
SW Billings,DL Chahar,15
SV Samson,AB Dinda,32
SV Samson,BA Stokes,15
SW Billings,BA Stokes,1
SV Samson,Imran Tahir,14
SW Billings,Imran Tahir,2
SW Billings,A Zampa,1
SV Samson,A Zampa,23
RR Pant,Imran Tahir,6
RR Pant,R Bhatia,17
SV Samson,R Bhatia,4
RR Pant,A Zampa,22
RR Pant,BA Stokes,20
CJ Anderson,BA Stokes,1
CJ Anderson,Imran Tahir,1
CH Morris,A Zampa,20
CH Morris,BA Stokes,22
SV Samson,Sandeep Sharma,19
SW Billings,MM Sharma,17
SW Billings,Sandeep Sharma,5
SW Billings,AR Patel,10
SV Samson,AR Patel,13
SW Billings,VR Aaron,18
SV Samson,VR Aaron,1
SV Samson,MM Sharma,22
SW Billings,KC Cariappa,10
SV Samson,KC Cariappa,15
KK Nair,VR Aaron,0
SS Iyer,VR Aaron,12
