batsman,bowler,runs
JJ Roy,TA Boult,8
BB McCullum,PP Chawla,11
JJ Roy,PP Chawla,5
BB McCullum,SP Narine,19
JJ Roy,SP Narine,1
SK Raina,PP Chawla,12
SK Raina,SP Narine,26
SK Raina,CR Woakes,41
BB McCullum,Kuldeep Yadav,11
SK Raina,Kuldeep Yadav,31
BB McCullum,CR Woakes,1
AJ Finch,Kuldeep Yadav,2
SK Raina,YK Pathan,7
AJ Finch,YK Pathan,13
KD Karthik,Kuldeep Yadav,2
SK Raina,TA Boult,17
KD Karthik,TA Boult,18
KD Karthik,SP Narine,12
KD Karthik,PP Chawla,10
KD Karthik,CR Woakes,12
JJ Roy,Bipul Sharma,13
BB McCullum,Bipul Sharma,6
JJ Roy,B Kumar,11
BB McCullum,B Kumar,7
JJ Roy,A Nehra,6
BB McCullum,A Nehra,1
JJ Roy,Rashid Khan,1
BB McCullum,Rashid Khan,2
SK Raina,Rashid Khan,3
AJ Finch,B Kumar,10
SK Raina,B Kumar,34
AJ Finch,Rashid Khan,4
KD Karthik,Rashid Khan,8
SK Raina,A Nehra,8
KD Karthik,A Nehra,9
KD Karthik,Bipul Sharma,21
DR Smith,Bipul Sharma,4
KD Karthik,BCJ Cutting,6
DR Smith,BCJ Cutting,13
DR Smith,Rashid Khan,18
DR Smith,MC Henriques,21
KD Karthik,MC Henriques,9
DR Smith,A Nehra,7
KD Karthik,B Kumar,2
DR Smith,B Kumar,9
DS Kulkarni,A Nehra,1
P Kumar,A Nehra,2
Basil Thampi,A Nehra,1
P Kumar,BCJ Cutting,2
Basil Thampi,BCJ Cutting,11
P Kumar,B Kumar,9
Basil Thampi,B Kumar,1
DR Smith,Ankit Sharma,15
BB McCullum,Ankit Sharma,1
BB McCullum,LH Ferguson,8
DR Smith,LH Ferguson,13
BB McCullum,SN Thakur,13
DR Smith,SN Thakur,2
BB McCullum,BA Stokes,21
DR Smith,BA Stokes,1
DR Smith,Imran Tahir,9
BB McCullum,Imran Tahir,41
DR Smith,RD Chahar,10
SK Raina,SN Thakur,7
SK Raina,LH Ferguson,2
SK Raina,BA Stokes,10
BB McCullum,RD Chahar,0
KD Karthik,RD Chahar,2
SK Raina,RD Chahar,9
KD Karthik,Imran Tahir,13
SK Raina,Imran Tahir,16
AJ Finch,Imran Tahir,13
AJ Finch,RD Chahar,5
AJ Finch,BA Stokes,1
AJ Finch,SN Thakur,2
AJ Finch,LH Ferguson,19
DR Smith,MJ McClenaghan,6
SK Raina,MJ McClenaghan,32
BB McCullum,MJ McClenaghan,9
BB McCullum,SL Malinga,26
SK Raina,SL Malinga,10
SK Raina,Harbhajan Singh,13
BB McCullum,Harbhajan Singh,24
SK Raina,JJ Bumrah,15
BB McCullum,JJ Bumrah,27
SK Raina,KH Pandya,25
BB McCullum,KH Pandya,27
Ishan Kishan,Harbhajan Singh,18
Ishan Kishan,JJ Bumrah,8
Ishan Kishan,SL Malinga,9
KD Karthik,SL Malinga,4
KD Karthik,HH Pandya,19
Ishan Kishan,HH Pandya,1
KD Karthik,MJ McClenaghan,13
KD Karthik,JJ Bumrah,17
Ishan Kishan,MJ McClenaghan,21
JJ Roy,MJ McClenaghan,0
JJ Roy,SL Malinga,8
JJ Roy,JJ Bumrah,6
DR Smith,P Negi,1
BB McCullum,P Negi,19
DR Smith,YS Chahal,45
BB McCullum,YS Chahal,15
SK Raina,YS Chahal,23
BB McCullum,S Aravind,12
SK Raina,S Aravind,19
AJ Finch,YS Chahal,28
BB McCullum,AF Milne,21
AJ Finch,AF Milne,9
AJ Finch,SR Watson,3
BB McCullum,SR Watson,20
AJ Finch,P Negi,14
KD Karthik,P Negi,0
KD Karthik,S Aravind,2
RA Jadeja,P Negi,1
RA Jadeja,AF Milne,6
RA Jadeja,SR Watson,9
RA Jadeja,YS Chahal,16
Ishan Kishan,TM Head,10
RA Jadeja,TM Head,7
Ishan Kishan,S Aravind,33
RA Jadeja,S Aravind,9
AJ Tye,TM Head,2
AJ Tye,AF Milne,4
Ishan Kishan,AF Milne,0
Basil Thampi,AF Milne,0
AJ Finch,Shakib Al Hasan,29
BB McCullum,Shakib Al Hasan,18
AJ Finch,SP Narine,28
BB McCullum,NM Coulter-Nile,15
AJ Finch,NM Coulter-Nile,0
SK Raina,Shakib Al Hasan,6
KD Karthik,NM Coulter-Nile,2
Ishan Kishan,NM Coulter-Nile,1
SK Raina,NM Coulter-Nile,16
Ishan Kishan,CR Woakes,1
Ishan Kishan,Kuldeep Yadav,1
Ishan Kishan,SP Narine,1
DR Smith,Kuldeep Yadav,4
SK Raina,UT Yadav,17
DR Smith,UT Yadav,1
RA Jadeja,UT Yadav,2
RA Jadeja,Kuldeep Yadav,4
RA Jadeja,SP Narine,12
RA Jadeja,NM Coulter-Nile,5
JP Faulkner,Kuldeep Yadav,3
JP Faulkner,NM Coulter-Nile,1
BB McCullum,Sandeep Sharma,6
AJ Finch,MM Sharma,14
SK Raina,MM Sharma,30
SK Raina,Sandeep Sharma,19
AJ Finch,Sandeep Sharma,14
SK Raina,T Natarajan,16
AJ Finch,T Natarajan,7
SK Raina,KC Cariappa,9
AJ Finch,KC Cariappa,0
KD Karthik,MM Sharma,21
KD Karthik,KC Cariappa,11
KD Karthik,T Natarajan,17
KD Karthik,AR Patel,25
SK Raina,AR Patel,10
KD Karthik,MP Stoinis,15
RA Jadeja,MP Stoinis,1
RA Jadeja,AR Patel,6
RA Jadeja,KC Cariappa,5
DR Smith,AR Patel,21
AD Nath,KC Cariappa,0
AJ Tye,KC Cariappa,2
AJ Tye,AR Patel,13
AJ Tye,MM Sharma,3
KD Karthik,Sandeep Sharma,12
AJ Tye,Sandeep Sharma,4
Basil Thampi,Sandeep Sharma,9
Basil Thampi,T Natarajan,2
Basil Thampi,MM Sharma,0
Ishan Kishan,S Badree,12
BB McCullum,S Badree,1
SK Raina,S Badree,1
AJ Finch,S Badree,15
AJ Finch,S Aravind,12
AJ Finch,A Choudhary,17
SK Raina,A Choudhary,2
SK Raina,P Negi,8
SK Raina,TM Head,10
AJ Finch,JJ Bumrah,15
AJ Finch,SL Malinga,0
Ishan Kishan,KH Pandya,2
KD Karthik,KH Pandya,4
KD Karthik,Harbhajan Singh,4
RA Jadeja,KH Pandya,7
RA Jadeja,Harbhajan Singh,3
RA Jadeja,SL Malinga,12
JP Faulkner,Harbhajan Singh,0
RA Jadeja,JJ Bumrah,14
JP Faulkner,JJ Bumrah,16
JP Faulkner,KH Pandya,4
IK Pathan,SL Malinga,2
JP Faulkner,SL Malinga,2
IK Pathan,KH Pandya,0
AJ Tye,KH Pandya,0
AJ Tye,JJ Bumrah,11
AJ Tye,MJ McClenaghan,14
JP Faulkner,MJ McClenaghan,6
Basil Thampi,MJ McClenaghan,2
Ankit Soni,MJ McClenaghan,7
Ishan Kishan,JD Unadkat,12
BB McCullum,JD Unadkat,10
Ishan Kishan,Washington Sundar,11
BB McCullum,Washington Sundar,1
Ishan Kishan,BA Stokes,0
Ishan Kishan,Imran Tahir,8
BB McCullum,DT Christian,8
AJ Finch,DT Christian,6
KD Karthik,BA Stokes,8
KD Karthik,SN Thakur,8
RA Jadeja,BA Stokes,11
RA Jadeja,SN Thakur,5
KD Karthik,DT Christian,5
RA Jadeja,DT Christian,3
JP Faulkner,Imran Tahir,3
JP Faulkner,DT Christian,4
JP Faulkner,JD Unadkat,0
PJ Sangwan,JD Unadkat,1
KD Karthik,JD Unadkat,5
Basil Thampi,BA Stokes,1
Basil Thampi,JD Unadkat,1
Ankit Soni,JD Unadkat,0
DR Smith,S Nadeem,30
BB McCullum,S Nadeem,15
BB McCullum,K Rabada,0
SK Raina,K Rabada,14
SK Raina,PJ Cummins,16
KD Karthik,PJ Cummins,14
SK Raina,Mohammed Shami,25
KD Karthik,K Rabada,0
KD Karthik,Mohammed Shami,34
SK Raina,A Mishra,11
KD Karthik,A Mishra,43
SK Raina,MN Samuels,20
KD Karthik,MN Samuels,2
KD Karthik,S Nadeem,19
SK Raina,S Nadeem,6
SK Raina,CJ Anderson,2
KD Karthik,CJ Anderson,18
