batsman,bowler,runs
Shubman Gill,PVD Chameera,17
V Shankar,PVD Chameera,2
MS Wade,Avesh Khan,5
V Shankar,Avesh Khan,8
HH Pandya,PVD Chameera,10
MS Wade,Mohsin Khan,13
HH Pandya,Mohsin Khan,8
HH Pandya,Avesh Khan,12
MS Wade,Ravi Bishnoi,6
HH Pandya,KH Pandya,14
MS Wade,KH Pandya,6
HH Pandya,Ravi Bishnoi,43
DA Miller,KH Pandya,7
DA Miller,DJ Hooda,16
MS Wade,DJ Hooda,1
R Tewatia,DJ Hooda,14
R Tewatia,KH Pandya,3
DA Miller,Ravi Bishnoi,5
R Tewatia,Ravi Bishnoi,16
DA Miller,Avesh Khan,24
A Manohar,Avesh Khan,10
R Tewatia,Avesh Khan,13
A Manohar,PVD Chameera,5
R Tewatia,PVD Chameera,6
MS Wade,Mustafizur Rahman,1
Shubman Gill,Mustafizur Rahman,7
V Shankar,Mustafizur Rahman,6
V Shankar,SN Thakur,23
Shubman Gill,SN Thakur,32
Shubman Gill,KK Ahmed,21
V Shankar,KK Ahmed,8
V Shankar,AR Patel,3
Shubman Gill,AR Patel,25
V Shankar,Kuldeep Yadav,8
HH Pandya,Kuldeep Yadav,15
Shubman Gill,Kuldeep Yadav,20
HH Pandya,AR Patel,19
HH Pandya,KK Ahmed,28
HH Pandya,SN Thakur,7
DA Miller,Kuldeep Yadav,14
DA Miller,AR Patel,3
DA Miller,Mustafizur Rahman,15
R Tewatia,KK Ahmed,7
DA Miller,KK Ahmed,11
DA Miller,SN Thakur,8
R Tewatia,SN Thakur,9
R Tewatia,Mustafizur Rahman,1
A Manohar,Mustafizur Rahman,1
Rashid Khan,Mustafizur Rahman,0
MS Wade,VG Arora,6
Shubman Gill,VG Arora,24
Shubman Gill,Arshdeep Singh,50
Shubman Gill,K Rabada,66
MS Wade,K Rabada,0
B Sai Sudharsan,K Rabada,28
B Sai Sudharsan,VG Arora,4
B Sai Sudharsan,RD Chahar,20
Shubman Gill,RD Chahar,38
B Sai Sudharsan,OF Smith,7
Shubman Gill,OF Smith,9
Shubman Gill,LS Livingstone,15
B Sai Sudharsan,LS Livingstone,19
B Sai Sudharsan,Arshdeep Singh,31
HH Pandya,RD Chahar,10
HH Pandya,Arshdeep Singh,9
HH Pandya,K Rabada,15
DA Miller,K Rabada,7
DA Miller,OF Smith,5
R Tewatia,OF Smith,13
MS Wade,B Kumar,9
Shubman Gill,B Kumar,26
Shubman Gill,M Jansen,16
MS Wade,M Jansen,2
B Sai Sudharsan,B Kumar,20
MS Wade,Washington Sundar,7
B Sai Sudharsan,Washington Sundar,10
B Sai Sudharsan,M Jansen,22
MS Wade,T Natarajan,1
B Sai Sudharsan,T Natarajan,11
HH Pandya,T Natarajan,10
HH Pandya,Washington Sundar,6
HH Pandya,Umran Malik,27
MS Wade,Umran Malik,0
HH Pandya,AK Markram,8
DA Miller,AK Markram,1
DA Miller,Umran Malik,13
DA Miller,Washington Sundar,12
DA Miller,T Natarajan,7
DA Miller,M Jansen,3
HH Pandya,M Jansen,10
A Manohar,M Jansen,7
A Manohar,Umran Malik,9
HH Pandya,B Kumar,7
A Manohar,B Kumar,8
A Manohar,T Natarajan,11
R Tewatia,B Kumar,8
R Tewatia,T Natarajan,25
Rashid Khan,T Natarajan,2
MS Wade,JDS Neesham,12
Shubman Gill,M Prasidh Krishna,16
V Shankar,M Prasidh Krishna,1
V Shankar,KR Sen,10
Shubman Gill,KR Sen,10
HH Pandya,KR Sen,24
HH Pandya,YS Chahal,33
Shubman Gill,YS Chahal,47
HH Pandya,M Prasidh Krishna,28
HH Pandya,R Parag,7
Shubman Gill,R Parag,4
A Manohar,R Parag,1
A Manohar,JDS Neesham,10
HH Pandya,JDS Neesham,7
HH Pandya,R Ashwin,58
A Manohar,R Ashwin,7
A Manohar,YS Chahal,23
A Manohar,KR Sen,5
DA Miller,YS Chahal,42
DA Miller,R Ashwin,28
DA Miller,M Prasidh Krishna,40
DA Miller,KR Sen,20
WP Saha,Mukesh Choudhary,26
Shubman Gill,Mukesh Choudhary,1
WP Saha,M Theekshana,13
V Shankar,M Theekshana,2
A Manohar,M Theekshana,3
A Manohar,Mukesh Choudhary,9
DA Miller,M Theekshana,14
WP Saha,CJ Jordan,3
DA Miller,CJ Jordan,36
DA Miller,Mukesh Choudhary,9
DA Miller,RA Jadeja,24
WP Saha,RA Jadeja,20
DA Miller,MM Ali,14
R Tewatia,MM Ali,3
R Tewatia,RA Jadeja,3
R Tewatia,DJ Bravo,0
Rashid Khan,DJ Bravo,13
Rashid Khan,CJ Jordan,52
DA Miller,DJ Bravo,10
Rashid Khan,M Theekshana,5
AS Joseph,DJ Bravo,0
WP Saha,UT Yadav,22
Shubman Gill,UT Yadav,10
Shubman Gill,TG Southee,0
HH Pandya,TG Southee,18
HH Pandya,UT Yadav,7
WP Saha,TG Southee,1
HH Pandya,Shivam Mavi,18
WP Saha,Shivam Mavi,2
WP Saha,SP Narine,4
HH Pandya,SP Narine,20
HH Pandya,CV Varun,17
WP Saha,CV Varun,10
DA Miller,UT Yadav,1
DA Miller,SP Narine,28
DA Miller,TG Southee,1
DA Miller,CV Varun,11
DA Miller,Shivam Mavi,0
R Tewatia,Shivam Mavi,11
R Tewatia,TG Southee,2
Rashid Khan,TG Southee,0
A Manohar,TG Southee,0
A Manohar,Shivam Mavi,2
A Manohar,AD Russell,0
LH Ferguson,AD Russell,0
AS Joseph,AD Russell,1
R Tewatia,AD Russell,4
Yash Dayal,AD Russell,0
WP Saha,B Kumar,17
WP Saha,M Jansen,26
Shubman Gill,T Natarajan,23
WP Saha,T Natarajan,13
WP Saha,Washington Sundar,17
Shubman Gill,Washington Sundar,21
WP Saha,Umran Malik,2
Shubman Gill,Umran Malik,0
R Tewatia,Umran Malik,7
DA Miller,B Kumar,7
Rashid Khan,B Kumar,11
R Tewatia,M Jansen,7
Rashid Khan,M Jansen,18
WP Saha,GJ Maxwell,6
Shubman Gill,GJ Maxwell,7
Shubman Gill,Mohammed Siraj,33
WP Saha,Mohammed Siraj,17
WP Saha,JR Hazlewood,7
Shubman Gill,JR Hazlewood,3
WP Saha,Shahbaz Ahmed,20
Shubman Gill,Shahbaz Ahmed,22
WP Saha,HV Patel,2
Shubman Gill,HV Patel,45
Shubman Gill,PWH de Silva,1
WP Saha,PWH de Silva,6
