batsman,bowler,runs
HM Amla,AB Dinda,8
M Vohra,AB Dinda,31
M Vohra,DT Christian,6
HM Amla,DT Christian,11
WP Saha,DT Christian,5
WP Saha,BA Stokes,11
HM Amla,BA Stokes,2
HM Amla,Imran Tahir,3
WP Saha,Imran Tahir,3
AR Patel,Imran Tahir,25
AR Patel,BA Stokes,3
AR Patel,RD Chahar,10
HM Amla,RD Chahar,3
HM Amla,R Bhatia,3
AR Patel,R Bhatia,4
GJ Maxwell,Imran Tahir,41
DA Miller,Imran Tahir,38
GJ Maxwell,RD Chahar,18
DA Miller,RD Chahar,4
DA Miller,R Bhatia,16
GJ Maxwell,R Bhatia,36
GJ Maxwell,BA Stokes,12
DA Miller,BA Stokes,6
GJ Maxwell,AB Dinda,1
DA Miller,AB Dinda,28
M Vohra,B Stanlake,12
HM Amla,B Stanlake,14
HM Amla,Iqbal Abdulla,9
M Vohra,Iqbal Abdulla,1
M Vohra,SR Watson,34
HM Amla,SR Watson,9
M Vohra,TS Mills,5
HM Amla,TS Mills,7
HM Amla,YS Chahal,31
AR Patel,YS Chahal,40
AR Patel,Iqbal Abdulla,8
GJ Maxwell,YS Chahal,21
GJ Maxwell,TS Mills,10
GJ Maxwell,SR Watson,5
HM Amla,P Negi,2
GJ Maxwell,P Negi,36
GJ Maxwell,B Stanlake,14
HM Amla,TA Boult,10
M Vohra,UT Yadav,30
M Vohra,TA Boult,10
M Vohra,CR Woakes,9
HM Amla,CR Woakes,10
HM Amla,SP Narine,2
M Vohra,SP Narine,29
M Vohra,PP Chawla,19
MP Stoinis,PP Chawla,4
HM Amla,UT Yadav,2
MP Stoinis,UT Yadav,2
MP Stoinis,SP Narine,3
GJ Maxwell,SP Narine,40
GJ Maxwell,CR Woakes,8
GJ Maxwell,PP Chawla,51
HM Amla,PP Chawla,1
HM Amla,C de Grandhomme,0
GJ Maxwell,C de Grandhomme,20
DA Miller,C de Grandhomme,11
GJ Maxwell,UT Yadav,17
WP Saha,UT Yadav,81
DA Miller,UT Yadav,54
WP Saha,C de Grandhomme,6
DA Miller,PP Chawla,34
WP Saha,PP Chawla,76
DA Miller,SP Narine,23
WP Saha,SP Narine,63
DA Miller,TA Boult,22
WP Saha,TA Boult,10
MM Sharma,UT Yadav,2
AR Patel,UT Yadav,6
MM Sharma,TA Boult,9
VR Aaron,TA Boult,1
VR Aaron,CR Woakes,3
MM Sharma,CR Woakes,1
M Vohra,Z Khan,2
HM Amla,Z Khan,10
HM Amla,S Nadeem,7
M Vohra,S Nadeem,14
WP Saha,S Nadeem,11
WP Saha,Z Khan,32
EJG Morgan,S Nadeem,1
EJG Morgan,CH Morris,4
HM Amla,CH Morris,9
DA Miller,CH Morris,27
EJG Morgan,PJ Cummins,16
DA Miller,PJ Cummins,3
EJG Morgan,A Mishra,1
DA Miller,A Mishra,68
GJ Maxwell,A Mishra,55
AR Patel,A Mishra,18
DA Miller,CJ Anderson,8
AR Patel,CJ Anderson,13
MM Sharma,CJ Anderson,2
AR Patel,Z Khan,21
MM Sharma,Z Khan,7
MM Sharma,CH Morris,7
AR Patel,CH Morris,19
AR Patel,PJ Cummins,2
MM Sharma,PJ Cummins,1
KC Cariappa,PJ Cummins,1
KC Cariappa,CH Morris,0
Sandeep Sharma,CH Morris,2
HM Amla,B Kumar,11
GJ Maxwell,B Kumar,13
M Vohra,BB Sran,36
GJ Maxwell,BB Sran,4
M Vohra,B Kumar,24
M Vohra,S Kaul,15
EJG Morgan,S Kaul,7
EJG Morgan,Mohammad Nabi,7
M Vohra,Mohammad Nabi,16
M Vohra,Rashid Khan,37
EJG Morgan,Rashid Khan,5
EJG Morgan,MC Henriques,20
M Vohra,MC Henriques,22
DA Miller,Mohammad Nabi,5
DA Miller,Rashid Khan,6
WP Saha,Rashid Khan,1
AR Patel,Mohammad Nabi,4
AR Patel,Rashid Khan,2
AR Patel,MC Henriques,22
MM Sharma,BB Sran,7
MM Sharma,Rashid Khan,1
MM Sharma,B Kumar,4
KC Cariappa,B Kumar,0
KC Cariappa,S Kaul,1
I Sharma,B Kumar,2
Sandeep Sharma,B Kumar,2
Sandeep Sharma,S Kaul,3
I Sharma,S Kaul,0
HM Amla,HH Pandya,3
SE Marsh,HH Pandya,15
SE Marsh,MJ McClenaghan,18
HM Amla,MJ McClenaghan,12
SE Marsh,Harbhajan Singh,84
HM Amla,Harbhajan Singh,5
HM Amla,SL Malinga,51
SE Marsh,SL Malinga,34
