batsman,bowler,runs
BB McCullum,Z Khan,10
VVS Laxman,Z Khan,3
BB McCullum,DP Nannes,17
VVS Laxman,DP Nannes,1
BB McCullum,DL Vettori,7
VVS Laxman,DL Vettori,9
BB McCullum,TM Dilshan,5
VVS Laxman,TM Dilshan,16
VVS Laxman,A Mithun,7
BB McCullum,A Mithun,11
DPMD Jayawardene,DL Vettori,3
DPMD Jayawardene,DP Nannes,6
BB McCullum,V Kohli,1
DPMD Jayawardene,V Kohli,7
BJ Hodge,V Kohli,6
DPMD Jayawardene,AUK Pathan,4
BJ Hodge,AUK Pathan,9
RA Jadeja,DL Vettori,2
BJ Hodge,DL Vettori,1
BJ Hodge,TM Dilshan,6
RA Jadeja,TM Dilshan,9
BJ Hodge,Z Khan,5
RA Jadeja,Z Khan,18
RA Jadeja,DP Nannes,6
RV Gomez,DP Nannes,0
PA Patel,DP Nannes,0
PA Patel,Z Khan,1
BB McCullum,AC Thomas,0
PA Patel,AC Thomas,9
PA Patel,SB Wagh,10
VVS Laxman,SB Wagh,0
PA Patel,WD Parnell,2
VVS Laxman,WD Parnell,0
DPMD Jayawardene,WD Parnell,2
BJ Hodge,WD Parnell,6
BJ Hodge,SB Wagh,0
RA Jadeja,WD Parnell,7
BJ Hodge,AC Thomas,1
RA Jadeja,AC Thomas,12
BJ Hodge,M Kartik,23
RA Jadeja,M Kartik,5
BJ Hodge,R Sharma,6
RA Jadeja,R Sharma,10
RA Jadeja,Yuvraj Singh,11
BJ Hodge,Yuvraj Singh,1
BJ Hodge,JD Ryder,2
RA Jadeja,JD Ryder,2
RV Gomez,R Sharma,2
RV Gomez,JD Ryder,3
R Vinay Kumar,JD Ryder,1
S Sreesanth,R Sharma,0
RV Gomez,AC Thomas,8
S Sreesanth,AC Thomas,1
RV Gomez,WD Parnell,13
RP Singh,WD Parnell,0
BB McCullum,SL Malinga,23
BB McCullum,MM Patel,4
DPMD Jayawardene,MM Patel,4
DPMD Jayawardene,SL Malinga,8
BB McCullum,AG Murtaza,7
DPMD Jayawardene,AG Murtaza,9
DPMD Jayawardene,KA Pollard,13
BB McCullum,KA Pollard,26
BB McCullum,Harbhajan Singh,14
DPMD Jayawardene,Harbhajan Singh,18
DPMD Jayawardene,R Sathish,4
BB McCullum,R Sathish,7
RA Jadeja,SL Malinga,0
RA Jadeja,Harbhajan Singh,1
RA Jadeja,MM Patel,7
RA Jadeja,KA Pollard,0
BJ Hodge,SL Malinga,8
RA Jadeja,AG Murtaza,17
BJ Hodge,AG Murtaza,3
BB McCullum,JA Morkel,17
BB McCullum,DE Bollinger,17
DPMD Jayawardene,DE Bollinger,6
DPMD Jayawardene,R Ashwin,10
BB McCullum,R Ashwin,7
PA Patel,R Ashwin,8
BB McCullum,TG Southee,10
PA Patel,TG Southee,13
BB McCullum,SB Jakati,15
PA Patel,SB Jakati,14
BJ Hodge,R Ashwin,8
BJ Hodge,SB Jakati,9
