batsman,bowler,runs
G Gambhir,P Kumar,60
CA Lynn,P Kumar,8
G Gambhir,DS Kulkarni,25
CA Lynn,DS Kulkarni,46
G Gambhir,MS Gony,29
CA Lynn,MS Gony,10
G Gambhir,S Kaushik,23
CA Lynn,S Kaushik,17
CA Lynn,DR Smith,23
CA Lynn,SB Jakati,7
G Gambhir,SB Jakati,47
G Gambhir,SL Malinga,18
CA Lynn,SL Malinga,30
CA Lynn,MJ McClenaghan,49
G Gambhir,MJ McClenaghan,39
CA Lynn,JJ Bumrah,33
G Gambhir,JJ Bumrah,27
G Gambhir,KH Pandya,17
RV Uthappa,KH Pandya,30
CA Lynn,KH Pandya,29
MK Pandey,MJ McClenaghan,36
MK Pandey,KH Pandya,21
YK Pathan,JJ Bumrah,10
MK Pandey,Harbhajan Singh,41
YK Pathan,Harbhajan Singh,40
YK Pathan,KH Pandya,2
SA Yadav,KH Pandya,25
SA Yadav,Harbhajan Singh,29
SA Yadav,MJ McClenaghan,3
MK Pandey,JJ Bumrah,41
SA Yadav,JJ Bumrah,27
SA Yadav,SL Malinga,15
MK Pandey,SL Malinga,29
CR Woakes,SL Malinga,3
CR Woakes,JJ Bumrah,6
SP Narine,SL Malinga,15
SP Narine,MJ McClenaghan,4
SP Narine,Sandeep Sharma,44
G Gambhir,I Sharma,20
G Gambhir,Sandeep Sharma,43
SP Narine,I Sharma,28
G Gambhir,GJ Maxwell,42
SP Narine,GJ Maxwell,24
SP Narine,VR Aaron,16
RV Uthappa,VR Aaron,15
G Gambhir,MM Sharma,39
RV Uthappa,MM Sharma,77
G Gambhir,AR Patel,36
RV Uthappa,AR Patel,72
RV Uthappa,MP Stoinis,17
G Gambhir,MP Stoinis,19
G Gambhir,VR Aaron,44
MK Pandey,VR Aaron,10
MK Pandey,AR Patel,23
MK Pandey,MM Sharma,20
MK Pandey,Sandeep Sharma,44
MK Pandey,MP Stoinis,6
SP Narine,B Kumar,31
G Gambhir,B Kumar,84
SP Narine,A Nehra,5
G Gambhir,A Nehra,20
RV Uthappa,B Kumar,74
G Gambhir,BCJ Cutting,9
RV Uthappa,BCJ Cutting,32
RV Uthappa,Rashid Khan,62
G Gambhir,Rashid Khan,7
MK Pandey,Rashid Khan,12
MK Pandey,BCJ Cutting,25
MK Pandey,MC Henriques,34
RV Uthappa,MC Henriques,47
MK Pandey,Bipul Sharma,42
RV Uthappa,Bipul Sharma,11
MK Pandey,A Nehra,11
RV Uthappa,A Nehra,45
YK Pathan,BCJ Cutting,3
YK Pathan,Bipul Sharma,6
YK Pathan,B Kumar,50
MK Pandey,B Kumar,20
YK Pathan,A Nehra,23
SA Yadav,A Nehra,4
C de Grandhomme,A Nehra,0
C de Grandhomme,B Kumar,8
CR Woakes,B Kumar,1
G Gambhir,Z Khan,83
C de Grandhomme,Z Khan,1
G Gambhir,PJ Cummins,17
RV Uthappa,PJ Cummins,18
MK Pandey,Z Khan,16
YK Pathan,CH Morris,29
MK Pandey,CH Morris,19
YK Pathan,Z Khan,24
MK Pandey,PJ Cummins,11
YK Pathan,PJ Cummins,9
MK Pandey,A Mishra,44
YK Pathan,A Mishra,69
MK Pandey,Mohammed Shami,24
YK Pathan,Mohammed Shami,23
YK Pathan,AD Mathews,19
MK Pandey,AD Mathews,10
SA Yadav,PJ Cummins,4
SA Yadav,CH Morris,8
CR Woakes,PJ Cummins,1
CR Woakes,CH Morris,2
CR Woakes,A Mishra,0
SP Narine,A Mishra,1
SP Narine,P Kumar,13
G Gambhir,JP Faulkner,24
SP Narine,JP Faulkner,16
G Gambhir,Basil Thampi,1
SP Narine,Basil Thampi,14
G Gambhir,SK Raina,15
SP Narine,SK Raina,0
RV Uthappa,SK Raina,14
RV Uthappa,DS Kulkarni,52
RV Uthappa,RA Jadeja,51
G Gambhir,RA Jadeja,31
G Gambhir,DR Smith,9
RV Uthappa,DR Smith,4
RV Uthappa,JP Faulkner,17
MK Pandey,RA Jadeja,11
MK Pandey,JP Faulkner,17
MK Pandey,Basil Thampi,10
RV Uthappa,Basil Thampi,16
MK Pandey,P Kumar,5
RV Uthappa,P Kumar,29
YK Pathan,P Kumar,16
SA Yadav,Basil Thampi,1
YK Pathan,Basil Thampi,1
Shakib Al Hasan,Basil Thampi,1
SP Narine,S Badree,48
G Gambhir,TS Mills,9
SP Narine,S Aravind,35
G Gambhir,S Aravind,27
SP Narine,TS Mills,1
RV Uthappa,TS Mills,4
RV Uthappa,S Aravind,3
RV Uthappa,STR Binny,7
SP Narine,STR Binny,4
MK Pandey,S Badree,10
RV Uthappa,S Badree,0
YK Pathan,S Badree,4
MK Pandey,YS Chahal,24
YK Pathan,YS Chahal,11
SA Yadav,YS Chahal,19
SA Yadav,S Badree,1
C de Grandhomme,YS Chahal,3
CR Woakes,YS Chahal,2
CR Woakes,P Negi,10
SA Yadav,P Negi,4
CR Woakes,S Aravind,2
SA Yadav,S Aravind,11
CR Woakes,TS Mills,4
SA Yadav,TS Mills,1
NM Coulter-Nile,TS Mills,1
NM Coulter-Nile,P Negi,1
Kuldeep Yadav,P Negi,1
Kuldeep Yadav,TS Mills,3
UT Yadav,TS Mills,2
Kuldeep Yadav,S Aravind,0
SP Narine,JD Unadkat,19
G Gambhir,JD Unadkat,24
SP Narine,SN Thakur,15
G Gambhir,SN Thakur,3
G Gambhir,Washington Sundar,26
SP Narine,Washington Sundar,21
RV Uthappa,Washington Sundar,26
RV Uthappa,SN Thakur,9
RV Uthappa,DT Christian,18
G Gambhir,DT Christian,26
RV Uthappa,Imran Tahir,38
G Gambhir,Imran Tahir,28
RV Uthappa,JD Unadkat,34
G Gambhir,RA Tripathi,6
RV Uthappa,RA Tripathi,6
DM Bravo,DT Christian,2
DM Bravo,SN Thakur,4
SP Narine,Z Khan,5
G Gambhir,K Rabada,8
SP Narine,K Rabada,47
RV Uthappa,K Rabada,24
RV Uthappa,Z Khan,32
G Gambhir,CJ Anderson,24
RV Uthappa,CJ Anderson,10
G Gambhir,CH Morris,25
RV Uthappa,CH Morris,48
G Gambhir,A Mishra,54
RV Uthappa,A Mishra,51
MK Pandey,CJ Anderson,31
MK Pandey,K Rabada,0
SP Jackson,K Rabada,1
SP Jackson,CH Morris,11
SP Narine,Mohammed Siraj,22
G Gambhir,Mohammed Siraj,3
G Gambhir,S Kaul,30
RV Uthappa,S Kaul,28
MK Pandey,Mohammed Siraj,1
RV Uthappa,Mohammed Siraj,38
MK Pandey,S Kaul,15
YK Pathan,MC Henriques,22
YK Pathan,Mohammed Siraj,1
SP Jackson,Mohammed Siraj,3
SP Jackson,Rashid Khan,8
YK Pathan,Rashid Khan,5
YK Pathan,S Kaul,3
SP Jackson,S Kaul,1
SP Jackson,B Kumar,4
C de Grandhomme,Mohammed Siraj,9
CR Woakes,S Kaul,6
C de Grandhomme,S Kaul,1
G Gambhir,BA Stokes,11
SP Jackson,BA Stokes,1
SP Jackson,JD Unadkat,5
SP Jackson,Washington Sundar,4
MK Pandey,Washington Sundar,2
MK Pandey,SN Thakur,17
YK Pathan,SN Thakur,3
MK Pandey,Imran Tahir,22
YK Pathan,Imran Tahir,28
C de Grandhomme,Imran Tahir,22
C de Grandhomme,SN Thakur,1
MK Pandey,DT Christian,5
C de Grandhomme,DT Christian,7
C de Grandhomme,BA Stokes,6
