batsman,bowler,runs
KL Rahul,Mohammed Shami,17
E Lewis,Mohammed Shami,1
Q de Kock,Mohammed Shami,17
Q de Kock,VR Aaron,2
E Lewis,VR Aaron,9
MK Pandey,Mohammed Shami,1
MK Pandey,VR Aaron,5
DJ Hooda,VR Aaron,17
DJ Hooda,Mohammed Shami,3
A Badoni,Mohammed Shami,16
DJ Hooda,LH Ferguson,3
A Badoni,LH Ferguson,15
A Badoni,HH Pandya,19
DJ Hooda,HH Pandya,29
DJ Hooda,Rashid Khan,23
A Badoni,Rashid Khan,19
A Badoni,VR Aaron,2
KH Pandya,Rashid Khan,9
KH Pandya,LH Ferguson,5
KH Pandya,Mohammed Shami,10
KH Pandya,VR Aaron,6
PVD Chameera,VR Aaron,1
KL Rahul,Mukesh Choudhary,18
Q de Kock,Mukesh Choudhary,11
Q de Kock,TU Deshpande,39
KL Rahul,TU Deshpande,18
Q de Kock,DJ Bravo,6
KL Rahul,DJ Bravo,4
KL Rahul,RA Jadeja,22
Q de Kock,RA Jadeja,30
KL Rahul,MM Ali,13
Q de Kock,MM Ali,7
Q de Kock,D Pretorius,7
KL Rahul,D Pretorius,0
MK Pandey,D Pretorius,5
MK Pandey,TU Deshpande,0
E Lewis,TU Deshpande,19
E Lewis,D Pretorius,14
DJ Hooda,D Pretorius,2
DJ Hooda,DJ Bravo,11
E Lewis,DJ Bravo,6
A Badoni,DJ Bravo,5
A Badoni,S Dube,7
E Lewis,S Dube,16
A Badoni,Mukesh Choudhary,7
KL Rahul,B Kumar,29
Q de Kock,B Kumar,9
KL Rahul,Washington Sundar,26
Q de Kock,Washington Sundar,0
E Lewis,Washington Sundar,0
E Lewis,B Kumar,1
MK Pandey,Washington Sundar,1
MK Pandey,R Shepherd,10
DJ Hooda,R Shepherd,8
DJ Hooda,Washington Sundar,2
KL Rahul,Umran Malik,13
DJ Hooda,Umran Malik,27
KL Rahul,Abdul Samad,6
DJ Hooda,Abdul Samad,2
DJ Hooda,T Natarajan,10
KL Rahul,T Natarajan,11
KL Rahul,R Shepherd,10
DJ Hooda,B Kumar,8
A Badoni,R Shepherd,29
A Badoni,Washington Sundar,5
A Badoni,B Kumar,4
KH Pandya,T Natarajan,16
JO Holder,T Natarajan,1
A Badoni,T Natarajan,38
JO Holder,R Shepherd,7
KL Rahul,Mustafizur Rahman,39
Q de Kock,Mustafizur Rahman,16
Q de Kock,Lalit Yadav,18
KL Rahul,Lalit Yadav,13
Q de Kock,SN Thakur,11
KL Rahul,SN Thakur,21
Q de Kock,A Nortje,31
KL Rahul,AR Patel,17
Q de Kock,AR Patel,9
KL Rahul,Kuldeep Yadav,28
Q de Kock,Kuldeep Yadav,16
E Lewis,Kuldeep Yadav,3
E Lewis,Lalit Yadav,2
DJ Hooda,Lalit Yadav,4
DJ Hooda,A Nortje,2
DJ Hooda,Kuldeep Yadav,22
DJ Hooda,Mustafizur Rahman,16
KH Pandya,Mustafizur Rahman,21
KH Pandya,SN Thakur,15
DJ Hooda,SN Thakur,11
A Badoni,SN Thakur,10
KL Rahul,TA Boult,20
K Gowtham,TA Boult,0
JO Holder,TA Boult,8
Q de Kock,M Prasidh Krishna,8
JO Holder,M Prasidh Krishna,0
Q de Kock,TA Boult,16
DJ Hooda,M Prasidh Krishna,5
DJ Hooda,TA Boult,43
DJ Hooda,R Ashwin,31
Q de Kock,R Ashwin,8
DJ Hooda,KR Sen,1
Q de Kock,KR Sen,15
Q de Kock,YS Chahal,11
DJ Hooda,YS Chahal,45
A Badoni,KR Sen,2
A Badoni,R Ashwin,11
A Badoni,YS Chahal,1
KH Pandya,R Ashwin,10
KH Pandya,KR Sen,6
KH Pandya,M Prasidh Krishna,13
KH Pandya,YS Chahal,12
MP Stoinis,YS Chahal,21
PVD Chameera,YS Chahal,4
MP Stoinis,TA Boult,3
PVD Chameera,TA Boult,9
Avesh Khan,YS Chahal,6
MP Stoinis,M Prasidh Krishna,24
Avesh Khan,KR Sen,1
MP Stoinis,KR Sen,10
KL Rahul,Tilak Varma,6
Q de Kock,Tilak Varma,1
KL Rahul,JD Unadkat,40
Q de Kock,JD Unadkat,8
KL Rahul,M Ashwin,14
Q de Kock,M Ashwin,9
KL Rahul,JJ Bumrah,35
KL Rahul,TS Mills,33
Q de Kock,TS Mills,0
Q de Kock,FA Allen,6
MK Pandey,FA Allen,18
MK Pandey,M Ashwin,3
KL Rahul,FA Allen,21
MK Pandey,JD Unadkat,7
MK Pandey,JJ Bumrah,8
MK Pandey,TS Mills,9
MP Stoinis,M Ashwin,7
MP Stoinis,FA Allen,1
MP Stoinis,JJ Bumrah,14
MP Stoinis,JD Unadkat,0
DJ Hooda,JD Unadkat,9
DJ Hooda,JJ Bumrah,3
DJ Hooda,TS Mills,10
KH Pandya,JD Unadkat,16
Q de Kock,Mohammed Siraj,35
KL Rahul,Mohammed Siraj,46
Q de Kock,GJ Maxwell,5
KL Rahul,GJ Maxwell,11
KL Rahul,JR Hazlewood,24
Q de Kock,JR Hazlewood,1
MK Pandey,JR Hazlewood,1
KL Rahul,Shahbaz Ahmed,22
MK Pandey,Shahbaz Ahmed,5
KH Pandya,Mohammed Siraj,23
KH Pandya,Shahbaz Ahmed,13
KH Pandya,HV Patel,36
KL Rahul,HV Patel,10
DJ Hooda,Shahbaz Ahmed,20
DJ Hooda,PWH de Silva,20
KH Pandya,PWH de Silva,6
DJ Hooda,HV Patel,7
DJ Hooda,Mohammed Siraj,1
A Badoni,Mohammed Siraj,18
KH Pandya,GJ Maxwell,4
MP Stoinis,GJ Maxwell,8
A Badoni,GJ Maxwell,3
MP Stoinis,Mohammed Siraj,2
MP Stoinis,PWH de Silva,20
A Badoni,PWH de Silva,1
MP Stoinis,JR Hazlewood,12
A Badoni,JR Hazlewood,3
JO Holder,JR Hazlewood,2
MP Stoinis,HV Patel,24
JO Holder,HV Patel,14
PVD Chameera,JR Hazlewood,5
Ravi Bishnoi,HV Patel,6
Q de Kock,DR Sams,4
KL Rahul,DR Sams,29
KL Rahul,HR Shokeen,7
Q de Kock,JJ Bumrah,6
KL Rahul,RP Meredith,21
MK Pandey,RP Meredith,9
MK Pandey,DR Sams,1
MK Pandey,HR Shokeen,4
KL Rahul,KA Pollard,3
MK Pandey,KA Pollard,1
MP Stoinis,KA Pollard,0
MP Stoinis,DR Sams,0
KH Pandya,DR Sams,1
KH Pandya,KA Pollard,0
DJ Hooda,KA Pollard,4
DJ Hooda,RP Meredith,0
A Badoni,RP Meredith,9
A Badoni,JJ Bumrah,3
A Badoni,JD Unadkat,4
JO Holder,RP Meredith,0
Q de Kock,Arshdeep Singh,5
KL Rahul,Arshdeep Singh,31
Q de Kock,Sandeep Sharma,12
KL Rahul,Sandeep Sharma,22
KL Rahul,K Rabada,28
Q de Kock,K Rabada,31
DJ Hooda,K Rabada,1
DJ Hooda,Sandeep Sharma,7
Q de Kock,R Dhawan,4
DJ Hooda,R Dhawan,9
Q de Kock,LS Livingstone,7
DJ Hooda,LS Livingstone,15
DJ Hooda,RD Chahar,7
Q de Kock,RD Chahar,14
KH Pandya,Sandeep Sharma,16
KH Pandya,Arshdeep Singh,12
MP Stoinis,Arshdeep Singh,7
KH Pandya,K Rabada,12
A Badoni,K Rabada,8
JO Holder,K Rabada,0
MP Stoinis,RD Chahar,46
JO Holder,RD Chahar,8
PVD Chameera,RD Chahar,1
JO Holder,Arshdeep Singh,3
PVD Chameera,Arshdeep Singh,4
Mohsin Khan,RD Chahar,6
PVD Chameera,K Rabada,12
Avesh Khan,K Rabada,0
Mohsin Khan,Arshdeep Singh,7
Avesh Khan,Arshdeep Singh,2
KL Rahul,C Sakariya,26
Q de Kock,C Sakariya,12
DJ Hooda,AR Patel,26
DJ Hooda,C Sakariya,9
MP Stoinis,SN Thakur,23
MP Stoinis,Kuldeep Yadav,11
MP Stoinis,C Sakariya,2
MP Stoinis,Mustafizur Rahman,43
Q de Kock,TG Southee,48
DJ Hooda,Shivam Mavi,11
Q de Kock,SP Narine,24
DJ Hooda,SP Narine,10
DJ Hooda,AS Roy,14
Q de Kock,AS Roy,11
Q de Kock,Harshit Rana,24
KH Pandya,SP Narine,7
KH Pandya,Shivam Mavi,2
KH Pandya,Harshit Rana,9
DJ Hooda,Harshit Rana,10
KH Pandya,AS Roy,2
KH Pandya,AD Russell,7
DJ Hooda,AD Russell,1
A Badoni,AD Russell,22
A Badoni,TG Southee,3
KH Pandya,TG Southee,5
MP Stoinis,AD Russell,13
MP Stoinis,SP Narine,10
A Badoni,SP Narine,30
MP Stoinis,Shivam Mavi,23
A Badoni,Shivam Mavi,1
JO Holder,Shivam Mavi,12
JO Holder,TG Southee,1
PVD Chameera,TG Southee,0
KL Rahul,HH Pandya,21
Q de Kock,HH Pandya,20
KL Rahul,Yash Dayal,12
Q de Kock,Yash Dayal,13
DJ Hooda,Yash Dayal,9
KS Sharma,Mohammed Shami,0
KS Sharma,Yash Dayal,4
KH Pandya,Yash Dayal,4
DJ Hooda,AS Joseph,8
KH Pandya,AS Joseph,1
A Badoni,AS Joseph,5
DJ Hooda,R Sai Kishore,4
A Badoni,R Sai Kishore,1
MP Stoinis,R Sai Kishore,1
MP Stoinis,Rashid Khan,7
JO Holder,Rashid Khan,1
Mohsin Khan,R Sai Kishore,1
Avesh Khan,Rashid Khan,12
KL Rahul,M Prasidh Krishna,8
A Badoni,TA Boult,5
KH Pandya,OC McCoy,7
DJ Hooda,OC McCoy,9
MP Stoinis,R Ashwin,11
MP Stoinis,OC McCoy,7
JO Holder,OC McCoy,1
PVD Chameera,OC McCoy,0
Mohsin Khan,YS Chahal,1
Mohsin Khan,OC McCoy,7
Avesh Khan,M Prasidh Krishna,1
Mohsin Khan,M Prasidh Krishna,1
Q de Kock,UT Yadav,24
KL Rahul,UT Yadav,18
KL Rahul,TG Southee,27
KL Rahul,SP Narine,17
KL Rahul,CV Varun,14
Q de Kock,CV Varun,26
Q de Kock,AD Russell,42
KL Rahul,AD Russell,9
Q de Kock,N Rana,10
KL Rahul,N Rana,2
M Vohra,JR Hazlewood,11
M Vohra,Mohammed Siraj,1
M Vohra,Shahbaz Ahmed,7
DJ Hooda,JR Hazlewood,11
KL Rahul,PWH de Silva,18
E Lewis,HV Patel,2
E Lewis,JR Hazlewood,0
KH Pandya,JR Hazlewood,0
PVD Chameera,HV Patel,7
KL Rahul,KK Ahmed,13
KR Mayers,KK Ahmed,5
KL Rahul,Mukesh Kumar,10
KR Mayers,Mukesh Kumar,22
KR Mayers,C Sakariya,4
DJ Hooda,Mukesh Kumar,4
KR Mayers,AR Patel,25
KR Mayers,Kuldeep Yadav,17
KH Pandya,AR Patel,4
MP Stoinis,AR Patel,8
KH Pandya,Kuldeep Yadav,8
MP Stoinis,KK Ahmed,5
N Pooran,KK Ahmed,18
N Pooran,Kuldeep Yadav,15
N Pooran,C Sakariya,11
KH Pandya,C Sakariya,8
KH Pandya,Mukesh Kumar,12
N Pooran,Mukesh Kumar,20
A Badoni,KK Ahmed,12
A Badoni,C Sakariya,13
K Gowtham,C Sakariya,6
KL Rahul,DL Chahar,38
KR Mayers,DL Chahar,34
KL Rahul,BA Stokes,3
KR Mayers,BA Stokes,15
KR Mayers,TU Deshpande,12
KR Mayers,MM Ali,6
DJ Hooda,MM Ali,1
DJ Hooda,MJ Santner,1
KL Rahul,MJ Santner,1
MP Stoinis,MM Ali,25
KH Pandya,MM Ali,2
KH Pandya,MJ Santner,7
MP Stoinis,MJ Santner,9
N Pooran,MJ Santner,3
MP Stoinis,RS Hangargekar,1
N Pooran,RS Hangargekar,14
A Badoni,MM Ali,6
N Pooran,MM Ali,6
A Badoni,RA Jadeja,3
N Pooran,RA Jadeja,17
N Pooran,TU Deshpande,7
A Badoni,TU Deshpande,12
A Badoni,DL Chahar,21
K Gowtham,DL Chahar,14
K Gowtham,TU Deshpande,2
A Badoni,RS Hangargekar,5
K Gowtham,RS Hangargekar,1
MA Wood,TU Deshpande,10
KR Mayers,B Kumar,5
KR Mayers,Washington Sundar,5
KL Rahul,Fazalhaq Farooqi,3
KR Mayers,Fazalhaq Farooqi,4
KL Rahul,AK Markram,6
KR Mayers,AK Markram,1
DJ Hooda,Fazalhaq Farooqi,1
KL Rahul,AU Rashid,11
KH Pandya,AU Rashid,8
KH Pandya,AK Markram,7
KH Pandya,Umran Malik,9
MP Stoinis,Umran Malik,4
MP Stoinis,Fazalhaq Farooqi,9
R Shepherd,AU Rashid,0
N Pooran,AU Rashid,4
MP Stoinis,T Natarajan,4
N Pooran,T Natarajan,28
KR Mayers,Mohammed Siraj,0
KL Rahul,DJ Willey,6
DJ Hooda,DJ Willey,3
DJ Hooda,WD Parnell,5
KL Rahul,WD Parnell,3
KH Pandya,WD Parnell,0
MP Stoinis,DJ Willey,9
MP Stoinis,WD Parnell,5
MP Stoinis,KV Sharma,25
KL Rahul,KV Sharma,2
MP Stoinis,Shahbaz Ahmed,15
N Pooran,KV Sharma,21
N Pooran,Mohammed Siraj,18
A Badoni,KV Sharma,5
N Pooran,HV Patel,20
A Badoni,HV Patel,4
A Badoni,WD Parnell,7
N Pooran,WD Parnell,15
A Badoni,DJ Willey,6
N Pooran,DJ Willey,7
JD Unadkat,HV Patel,7
JD Unadkat,WD Parnell,2
MA Wood,WD Parnell,1
MA Wood,HV Patel,0
Avesh Khan,HV Patel,0
KL Rahul,MW Short,3
KR Mayers,MW Short,7
KR Mayers,Arshdeep Singh,17
KR Mayers,K Rabada,23
KL Rahul,SM Curran,9
KR Mayers,SM Curran,7
KL Rahul,Harpreet Brar,7
KR Mayers,Harpreet Brar,1
DJ Hooda,Harpreet Brar,2
KL Rahul,Sikandar Raza,11
DJ Hooda,Sikandar Raza,0
KH Pandya,Sikandar Raza,7
KH Pandya,SM Curran,13
KH Pandya,RD Chahar,3
KL Rahul,RD Chahar,11
N Pooran,K Rabada,16
MP Stoinis,K Rabada,15
MP Stoinis,SM Curran,24
A Badoni,SM Curran,18
A Badoni,Arshdeep Singh,3
K Gowtham,Arshdeep Singh,1
K Gowtham,SM Curran,0
Yudhvir Singh,SM Curran,0
Ravi Bishnoi,SM Curran,3
KR Mayers,Sandeep Sharma,7
KR Mayers,TA Boult,8
KR Mayers,R Ashwin,4
KL Rahul,R Ashwin,38
KL Rahul,YS Chahal,38
KR Mayers,YS Chahal,23
KR Mayers,JO Holder,9
KL Rahul,JO Holder,6
A Badoni,JO Holder,0
N Pooran,R Ashwin,15
N Pooran,YS Chahal,23
MP Stoinis,JO Holder,6
N Pooran,JO Holder,17
N Pooran,Sandeep Sharma,22
MP Stoinis,Sandeep Sharma,7
Yudhvir Singh,Sandeep Sharma,1
KR Mayers,J Yadav,13
KL Rahul,J Yadav,12
KR Mayers,Mohammed Shami,14
KL Rahul,Rashid Khan,22
KR Mayers,Rashid Khan,17
KR Mayers,MM Sharma,2
