batsman,bowler,runs
PA Patel,AB Dinda,32
JC Buttler,AB Dinda,9
JC Buttler,DL Chahar,20
PA Patel,BA Stokes,1
JC Buttler,BA Stokes,12
PA Patel,Imran Tahir,4
RG Sharma,Imran Tahir,79
JC Buttler,Imran Tahir,4
RG Sharma,DL Chahar,60
N Rana,Imran Tahir,4
AT Rayudu,Imran Tahir,27
AT Rayudu,BA Stokes,2
N Rana,BA Stokes,9
AT Rayudu,A Zampa,11
N Rana,A Zampa,15
N Rana,R Bhatia,6
AT Rayudu,R Bhatia,20
KH Pandya,R Bhatia,2
KH Pandya,BA Stokes,2
KA Pollard,R Bhatia,30
KA Pollard,Imran Tahir,46
KA Pollard,A Zampa,43
HH Pandya,A Zampa,25
HH Pandya,Imran Tahir,16
HH Pandya,AB Dinda,30
KA Pollard,AB Dinda,14
HH Pandya,BA Stokes,11
KA Pollard,BA Stokes,15
TG Southee,BA Stokes,7
PA Patel,TA Boult,15
JC Buttler,TA Boult,5
PA Patel,CR Woakes,2
JC Buttler,CR Woakes,10
PA Patel,SP Narine,7
JC Buttler,SP Narine,13
PA Patel,Kuldeep Yadav,8
JC Buttler,Kuldeep Yadav,9
N Rana,Kuldeep Yadav,17
JC Buttler,AS Rajpoot,0
RG Sharma,AS Rajpoot,22
N Rana,AS Rajpoot,11
RG Sharma,SP Narine,143
N Rana,SP Narine,3
KH Pandya,SP Narine,24
KH Pandya,AS Rajpoot,15
KH Pandya,Kuldeep Yadav,3
KA Pollard,AS Rajpoot,40
KA Pollard,Kuldeep Yadav,5
N Rana,CR Woakes,8
KA Pollard,CR Woakes,5
KA Pollard,SP Narine,40
HH Pandya,CR Woakes,18
N Rana,TA Boult,11
HH Pandya,TA Boult,31
Harbhajan Singh,AS Rajpoot,1
HH Pandya,AS Rajpoot,42
PA Patel,B Kumar,25
JC Buttler,B Kumar,9
JC Buttler,A Nehra,7
PA Patel,A Nehra,32
RG Sharma,A Nehra,59
RG Sharma,Rashid Khan,35
PA Patel,Rashid Khan,2
N Rana,Rashid Khan,6
N Rana,Mustafizur Rahman,9
PA Patel,Mustafizur Rahman,12
N Rana,DJ Hooda,15
PA Patel,DJ Hooda,3
N Rana,BCJ Cutting,2
PA Patel,BCJ Cutting,1
KA Pollard,Rashid Khan,28
KA Pollard,A Nehra,46
N Rana,A Nehra,6
KA Pollard,Mustafizur Rahman,13
N Rana,B Kumar,7
KA Pollard,B Kumar,49
KH Pandya,B Kumar,20
KH Pandya,Rashid Khan,16
KH Pandya,A Nehra,23
KH Pandya,BCJ Cutting,15
HH Pandya,B Kumar,20
HH Pandya,Mustafizur Rahman,2
Harbhajan Singh,Mustafizur Rahman,9
PA Patel,S Badree,1
JC Buttler,S Badree,1
PA Patel,STR Binny,6
JC Buttler,STR Binny,3
RG Sharma,STR Binny,12
MJ McClenaghan,S Badree,0
RG Sharma,S Badree,2
KA Pollard,S Badree,3
N Rana,S Badree,2
KA Pollard,S Aravind,28
N Rana,S Aravind,6
N Rana,TS Mills,6
KA Pollard,TS Mills,12
KA Pollard,YS Chahal,71
N Rana,YS Chahal,14
KH Pandya,S Aravind,9
KH Pandya,YS Chahal,41
KH Pandya,TS Mills,11
KH Pandya,STR Binny,4
KA Pollard,STR Binny,17
KA Pollard,P Negi,41
KH Pandya,P Negi,6
HH Pandya,YS Chahal,38
HH Pandya,TS Mills,6
PA Patel,P Kumar,13
N Rana,P Kumar,10
N Rana,Basil Thampi,14
JC Buttler,Basil Thampi,16
JC Buttler,P Kumar,9
N Rana,MM Patel,8
JC Buttler,MM Patel,5
N Rana,AJ Tye,10
JC Buttler,AJ Tye,2
N Rana,RA Jadeja,21
JC Buttler,RA Jadeja,18
RG Sharma,AJ Tye,24
RG Sharma,RA Jadeja,83
KA Pollard,MM Patel,11
RG Sharma,MM Patel,11
KA Pollard,Basil Thampi,14
RG Sharma,Basil Thampi,5
KA Pollard,DR Smith,11
RG Sharma,DR Smith,1
KA Pollard,RA Jadeja,114
KA Pollard,AJ Tye,12
HH Pandya,AJ Tye,27
RG Sharma,P Kumar,45
PA Patel,Sandeep Sharma,17
JC Buttler,Sandeep Sharma,39
PA Patel,I Sharma,22
JC Buttler,I Sharma,11
PA Patel,MM Sharma,54
JC Buttler,MM Sharma,20
PA Patel,MP Stoinis,11
JC Buttler,MP Stoinis,8
N Rana,MP Stoinis,11
N Rana,AR Patel,11
JC Buttler,AR Patel,18
JC Buttler,Swapnil Singh,4
N Rana,Swapnil Singh,18
N Rana,I Sharma,21
N Rana,Sandeep Sharma,2
