batsman,bowler,runs
GC Smith,P Kumar,0
M Manhas,P Kumar,7
M Manhas,NJ Rimmington,5
JD Ryder,P Kumar,25
JD Ryder,NJ Rimmington,8
M Manhas,R McLaren,6
JD Ryder,R McLaren,17
M Manhas,PP Chawla,23
M Manhas,AM Nayar,5
JD Ryder,AM Nayar,1
RV Uthappa,AM Nayar,12
Yuvraj Singh,R McLaren,1
RV Uthappa,R McLaren,2
Yuvraj Singh,AM Nayar,7
RV Uthappa,NJ Rimmington,1
Yuvraj Singh,NJ Rimmington,5
Yuvraj Singh,P Kumar,14
RV Uthappa,P Kumar,23
JD Ryder,RP Singh,10
GC Smith,S Sreesanth,8
GC Smith,M Muralitharan,2
JD Ryder,M Muralitharan,5
GC Smith,R Vinay Kumar,6
JD Ryder,R Vinay Kumar,3
M Manhas,R Vinay Kumar,6
GC Smith,RP Singh,6
M Manhas,S Sreesanth,8
M Manhas,RA Jadeja,2
GC Smith,RA Jadeja,2
Yuvraj Singh,RA Jadeja,0
Yuvraj Singh,S Sreesanth,11
M Manhas,BJ Hodge,1
Yuvraj Singh,BJ Hodge,3
RV Uthappa,M Muralitharan,32
Yuvraj Singh,M Muralitharan,7
MD Mishra,BJ Hodge,1
RV Uthappa,BJ Hodge,8
MD Mishra,RA Jadeja,12
RV Uthappa,RA Jadeja,11
MD Mishra,RP Singh,5
RV Uthappa,RP Singh,22
MD Mishra,M Muralitharan,17
WD Parnell,M Muralitharan,0
WD Parnell,RA Jadeja,1
R Sharma,RA Jadeja,9
MD Mishra,R Vinay Kumar,2
R Sharma,R Vinay Kumar,1
JD Ryder,Y Venugopal Rao,14
GC Smith,AB Dinda,10
JD Ryder,AB Dinda,1
GC Smith,IK Pathan,2
JD Ryder,IK Pathan,21
M Manhas,IK Pathan,2
JD Ryder,UT Yadav,40
M Manhas,UT Yadav,7
M Manhas,JR Hopes,9
M Manhas,S Nadeem,3
JD Ryder,S Nadeem,28
Yuvraj Singh,JR Hopes,4
JD Ryder,JR Hopes,1
RV Uthappa,UT Yadav,18
Yuvraj Singh,UT Yadav,13
Yuvraj Singh,S Nadeem,20
RV Uthappa,S Nadeem,18
MD Mishra,S Nadeem,1
MD Mishra,UT Yadav,1
MD Mishra,IK Pathan,2
Yuvraj Singh,IK Pathan,21
