batsman,bowler,runs
KL Rahul,C Sakariya,35
MA Agarwal,C Sakariya,11
MA Agarwal,Mustafizur Rahman,19
KL Rahul,Mustafizur Rahman,23
CH Gayle,C Sakariya,0
KL Rahul,CH Morris,31
CH Gayle,CH Morris,8
CH Gayle,Mustafizur Rahman,6
CH Gayle,S Gopal,7
KL Rahul,S Gopal,8
KL Rahul,BA Stokes,5
CH Gayle,BA Stokes,7
CH Gayle,R Tewatia,11
KL Rahul,R Tewatia,16
KL Rahul,R Parag,6
CH Gayle,R Parag,1
DJ Hooda,R Parag,0
DJ Hooda,R Tewatia,1
DJ Hooda,S Gopal,25
DJ Hooda,S Dube,13
KL Rahul,S Dube,7
DJ Hooda,Mustafizur Rahman,2
DJ Hooda,CH Morris,10
DJ Hooda,C Sakariya,13
N Pooran,CH Morris,5
M Shahrukh Khan,Mustafizur Rahman,6
M Shahrukh Khan,C Sakariya,1
JA Richardson,C Sakariya,0
KL Rahul,DL Chahar,35
MA Agarwal,DL Chahar,6
CH Gayle,DL Chahar,9
CH Gayle,SM Curran,1
KL Rahul,SM Curran,4
DJ Hooda,DL Chahar,2
DJ Hooda,SM Curran,1
N Pooran,DL Chahar,0
M Shahrukh Khan,DL Chahar,1
DJ Hooda,SN Thakur,7
JA Richardson,DL Chahar,0
M Shahrukh Khan,RA Jadeja,18
JA Richardson,RA Jadeja,7
JA Richardson,SN Thakur,6
M Shahrukh Khan,SN Thakur,25
M Shahrukh Khan,MM Ali,13
JA Richardson,MM Ali,2
M Ashwin,MM Ali,3
M Ashwin,RA Jadeja,1
M Ashwin,SN Thakur,1
M Ashwin,DJ Bravo,1
M Shahrukh Khan,DJ Bravo,6
Mohammed Shami,DJ Bravo,3
Mohammed Shami,SN Thakur,1
M Shahrukh Khan,SM Curran,0
Mohammed Shami,SM Curran,5
KL Rahul,CR Woakes,6
KL Rahul,LI Meriwala,8
MA Agarwal,LI Meriwala,22
MA Agarwal,CR Woakes,8
KL Rahul,R Ashwin,11
MA Agarwal,R Ashwin,25
KL Rahul,K Rabada,12
MA Agarwal,Lalit Yadav,19
KL Rahul,Lalit Yadav,9
